date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,57900.0,1.563,1.625,1.625,1.5
2000-07-17,28000.0,1.625,1.625,1.5,1.25
2000-07-18,6700.0,1.688,1.688,1.625,1.625
2000-07-19,19000.0,1.625,1.625,1.5,1.5
2000-07-20,4000.0,1.625,1.625,1.625,1.625
2000-07-21,12300.0,1.625,1.625,1.625,1.563
2000-07-24,40200.0,1.625,1.625,1.563,1.438
2000-07-25,66900.0,1.625,1.625,1.5,1.375
2000-07-26,12300.0,1.5,1.625,1.5,1.375
2000-07-27,3400.0,1.438,1.438,1.438,1.375
2000-07-28,10800.0,1.375,1.375,1.375,1.313
2000-07-31,17500.0,1.313,1.375,1.313,1.25
2000-08-01,31700.0,1.313,1.375,1.313,1.188
2000-08-02,14000.0,1.375,1.375,1.25,1.25
2000-08-03,55600.0,1.125,1.313,1.313,1.125
2000-08-04,27400.0,1.125,1.25,1.25,1.125
2000-08-07,16700.0,1.313,1.313,1.25,1.188
2000-08-08,6900.0,1.25,1.313,1.313,1.25
2000-08-09,42800.0,1.188,1.188,1.188,1.063
2000-08-10,5900.0,1.188,1.188,1.188,1.188
2000-08-11,18200.0,1.188,1.188,1.188,1.125
2000-08-14,58900.0,1.25,1.313,1.313,1.188
2000-08-15,46800.0,1.313,1.438,1.25,1.25
2000-08-16,30400.0,1.438,1.5,1.375,1.375
2000-08-17,20400.0,1.625,1.625,1.625,1.375
2000-08-18,9500.0,1.5,1.563,1.563,1.438
2000-08-21,25400.0,1.5,1.563,1.563,1.5
2000-08-22,43400.0,1.625,1.625,1.625,1.375
2000-08-23,10500.0,1.625,1.625,1.625,1.5
2000-08-24,16900.0,1.563,1.625,1.625,1.5
2000-08-25,33800.0,1.5,1.563,1.563,1.438
2000-08-28,35500.0,1.375,1.5,1.438,1.313
2000-08-29,44300.0,1.438,1.5,1.375,1.313
2000-08-30,10200.0,1.5,1.5,1.438,1.375
2000-08-31,6800.0,1.438,1.5,1.5,1.438
2000-09-01,23300.0,1.375,1.5,1.5,1.313
2000-09-05,19600.0,1.375,1.438,1.375,1.313
2000-09-06,20000.0,1.5,1.5,1.313,1.313
2000-09-07,9500.0,1.438,1.5,1.5,1.438
2000-09-08,7300.0,1.438,1.438,1.438,1.375
2000-09-11,8700.0,1.438,1.438,1.438,1.313
2000-09-12,6400.0,1.313,1.438,1.438,1.313
2000-09-13,19600.0,1.375,1.375,1.313,1.313
2000-09-14,19800.0,1.438,1.438,1.375,1.313
2000-09-15,29400.0,1.5,1.5,1.438,1.375
2000-09-18,15300.0,1.438,1.438,1.438,1.375
2000-09-19,60900.0,1.375,1.5,1.5,1.375
2000-09-20,11600.0,1.44,1.44,1.44,1.31
2000-09-21,16900.0,1.375,1.438,1.375,1.313
2000-09-22,32500.0,1.313,1.375,1.375,1.25
2000-09-25,10200.0,1.25,1.375,1.375,1.25
2000-09-26,15600.0,1.25,1.313,1.313,1.25
2000-09-27,15000.0,1.313,1.375,1.375,1.25
2000-09-28,45700.0,1.25,1.313,1.25,1.188
2000-09-29,26400.0,1.25,1.25,1.188,1.188
2000-10-02,52400.0,1.25,1.25,1.188,1.188
2000-10-03,30400.0,1.125,1.25,1.25,1.125
2000-10-04,36500.0,1.125,1.188,1.188,1.125
2000-10-05,900.0,1.25,1.25,1.25,1.25
2000-10-06,4500.0,1.188,1.188,1.125,1.125
2000-10-09,7500.0,1.125,1.25,1.25,1.125
2000-10-10,3900.0,1.125,1.125,1.125,1.063
2000-10-11,79700.0,1.063,1.188,1.188,1.0
2000-10-12,11500.0,1.063,1.063,1.063,1.063
2000-10-13,105800.0,1.125,1.125,1.063,1.0
2000-10-16,6800.0,1.188,1.188,1.063,1.063
2000-10-17,25500.0,1.0,1.188,1.188,1.0
2000-10-18,68000.0,1.0,1.063,1.0,1.0
2000-10-19,47400.0,1.125,1.125,1.063,1.0
2000-10-20,9700.0,1.0,1.125,1.125,1.0
2000-10-23,45500.0,1.063,1.125,1.125,1.063
2000-10-24,13600.0,1.063,1.125,1.0,1.0
2000-10-25,6000.0,1.063,1.063,1.063,1.063
2000-10-26,23100.0,1.0,1.063,1.0,1.0
2000-10-27,30200.0,1.0,1.125,1.0,1.0
2000-10-30,84800.0,1.313,1.438,1.125,1.063
2000-10-31,27000.0,1.25,1.313,1.125,1.125
2000-11-01,20700.0,1.25,1.313,1.188,1.188
2000-11-02,39900.0,1.188,1.188,1.125,1.125
2000-11-03,4500.0,1.125,1.188,1.125,1.125
2000-11-06,7000.0,1.125,1.188,1.188,1.125
2000-11-07,22400.0,1.188,1.25,1.25,1.063
2000-11-08,10900.0,1.125,1.25,1.188,1.063
2000-11-09,5000.0,1.188,1.188,1.125,1.125
2000-11-10,17400.0,1.063,1.25,1.25,1.063
2000-11-13,15800.0,1.188,1.25,1.063,1.063
2000-11-14,9800.0,1.188,1.188,1.188,1.063
2000-11-15,10100.0,1.063,1.125,1.063,1.063
2000-11-16,17400.0,1.188,1.25,1.25,1.063
2000-11-17,42300.0,1.188,1.188,1.125,1.125
2000-11-20,12100.0,1.188,1.25,1.25,1.188
2000-11-21,38300.0,1.25,1.25,1.188,1.125
2000-11-22,12200.0,1.188,1.188,1.125,1.125
2000-11-24,22600.0,1.188,1.188,1.125,1.125
2000-11-27,24800.0,1.125,1.188,1.125,1.063
2000-11-28,9400.0,1.125,1.188,1.188,1.125
2000-11-29,9300.0,1.188,1.188,1.125,1.125
2000-11-30,17500.0,1.125,1.188,1.188,1.125
2000-12-01,31500.0,1.125,1.188,1.188,1.125
2000-12-04,4800.0,1.125,1.188,1.188,1.063
2000-12-05,22100.0,1.188,1.188,1.125,1.125
2000-12-06,23900.0,1.125,1.25,1.125,1.125
2000-12-07,7400.0,1.063,1.125,1.125,1.063
2000-12-08,7300.0,1.125,1.188,1.063,1.063
2000-12-11,5900.0,1.125,1.125,1.125,1.125
2000-12-12,14400.0,1.125,1.188,1.125,1.063
2000-12-13,13500.0,1.063,1.125,1.063,1.063
2000-12-14,11400.0,1.125,1.125,1.063,1.063
2000-12-15,19600.0,1.125,1.125,1.063,1.063
2000-12-18,21700.0,1.063,1.125,1.125,1.063
2000-12-19,106900.0,1.0,1.125,1.125,1.0
2000-12-20,46600.0,1.0,1.063,1.0,1.0
2000-12-21,49000.0,1.063,1.063,1.0,1.0
2000-12-22,24900.0,1.063,1.063,1.0,1.0
2000-12-26,39400.0,1.0,1.06,1.06,1.0
2000-12-27,46100.0,1.125,1.125,1.063,1.0
2000-12-28,32300.0,1.125,1.188,1.063,1.063
2000-12-29,53800.0,1.188,1.25,1.125,1.125
2001-01-02,19000.0,1.063,1.125,1.125,1.063
2001-01-03,15400.0,1.125,1.125,1.063,1.0
2001-01-04,8100.0,1.063,1.125,1.125,1.063
2001-01-05,4900.0,1.125,1.188,1.188,1.063
2001-01-08,41300.0,1.063,1.125,1.125,1.063
2001-01-09,42300.0,1.063,1.125,1.125,1.063
2001-01-10,26100.0,1.125,1.125,1.063,1.063
2001-01-11,23900.0,1.188,1.188,1.125,1.063
2001-01-12,30700.0,1.375,1.375,1.25,1.125
2001-01-16,47200.0,1.625,1.625,1.438,1.375
2001-01-17,49300.0,1.5,1.875,1.75,1.5
2001-01-18,54600.0,1.563,1.75,1.5,1.5
2001-01-19,864900.0,1.688,3.75,1.563,1.5
2001-01-22,217600.0,1.75,1.875,1.688,1.688
2001-01-23,49000.0,1.625,1.813,1.75,1.625
2001-01-24,64100.0,1.625,1.688,1.625,1.563
2001-01-25,65800.0,1.625,1.625,1.563,1.5
2001-01-26,48100.0,1.625,1.625,1.5,1.5
2001-01-29,47100.0,1.61,1.74,1.74,1.6
2001-01-30,28100.0,1.66,1.73,1.73,1.63
2001-01-31,42500.0,1.75,1.75,1.66,1.61
2001-02-01,71200.0,1.8,1.82,1.75,1.74
2001-02-02,179000.0,1.92,2.0,1.89,1.8
2001-02-05,163500.0,2.0,2.06,1.99,1.95
2001-02-06,44400.0,1.95,2.02,2.0,1.95
2001-02-07,26900.0,1.89,1.96,1.96,1.76
2001-02-08,31200.0,1.76,1.86,1.8,1.73
2001-02-09,29000.0,1.7,1.75,1.75,1.63
2001-02-12,28800.0,1.7,1.74,1.74,1.57
2001-02-13,15300.0,1.74,1.79,1.79,1.7
2001-02-14,29800.0,1.69,1.75,1.75,1.65
2001-02-15,5900.0,1.64,1.7,1.7,1.59
2001-02-16,30800.0,1.6,1.7,1.7,1.56
2001-02-20,27000.0,1.59,1.7,1.7,1.47
2001-02-21,41500.0,1.54,1.6,1.54,1.5
2001-02-22,55000.0,1.39,1.5,1.5,1.35
2001-02-23,60600.0,1.34,1.39,1.39,1.15
2001-02-26,11200.0,1.26,1.4,1.35,1.26
2001-02-27,14400.0,1.3,1.39,1.36,1.28
2001-02-28,19200.0,1.28,1.34,1.34,1.26
2001-03-01,18700.0,1.26,1.34,1.3,1.26
2001-03-02,22600.0,1.33,1.33,1.33,1.25
2001-03-05,18400.0,1.42,1.42,1.34,1.3
2001-03-06,14200.0,1.5,1.55,1.4,1.4
2001-03-07,15800.0,1.57,1.6,1.59,1.52
2001-03-08,47600.0,1.6,1.6,1.58,1.5
2001-03-09,25600.0,1.7,1.7,1.69,1.6
2001-03-12,20900.0,1.63,1.82,1.7,1.5
2001-03-13,16200.0,1.5,1.64,1.55,1.45
2001-03-14,17000.0,1.5,1.5,1.4,1.3
2001-03-15,6200.0,1.5,1.5,1.45,1.42
2001-03-16,11600.0,1.45,1.55,1.51,1.42
2001-03-19,8200.0,1.35,1.35,1.35,1.34
2001-03-20,9300.0,1.36,1.4,1.4,1.35
2001-03-21,10300.0,1.35,1.5,1.5,1.35
2001-03-22,4800.0,1.39,1.4,1.4,1.31
2001-03-23,16300.0,1.34,1.5,1.4,1.32
2001-03-26,9500.0,1.35,1.35,1.31,1.25
2001-03-27,12800.0,1.33,1.34,1.24,1.24
2001-03-28,10300.0,1.34,1.34,1.3,1.24
2001-03-29,17700.0,1.22,1.34,1.25,1.21
2001-03-30,21100.0,1.34,1.35,1.3,1.21
2001-04-02,17400.0,1.25,1.35,1.35,1.25
2001-04-03,37700.0,1.2,1.25,1.25,1.2
2001-04-04,29300.0,1.16,1.2,1.2,1.15
2001-04-05,10000.0,1.16,1.2,1.18,1.16
2001-04-06,18600.0,1.3,1.3,1.19,1.18
2001-04-09,21600.0,1.22,1.33,1.33,1.2
2001-04-10,10600.0,1.26,1.3,1.3,1.26
2001-04-11,34200.0,1.24,1.33,1.3,1.24
2001-04-12,14000.0,1.33,1.33,1.3,1.25
2001-04-16,9800.0,1.33,1.33,1.25,1.25
2001-04-17,4000.0,1.3,1.32,1.32,1.25
2001-04-18,55100.0,1.33,1.4,1.2,1.2
2001-04-19,12300.0,1.28,1.35,1.35,1.26
2001-04-20,43000.0,1.3,1.31,1.3,1.27
2001-04-23,18700.0,1.3,1.39,1.39,1.3
2001-04-24,13200.0,1.28,1.35,1.35,1.27
2001-04-25,25400.0,1.25,1.28,1.28,1.25
2001-04-26,7900.0,1.25,1.29,1.29,1.23
2001-04-27,31900.0,1.16,1.25,1.25,1.16
2001-04-30,14900.0,1.23,1.3,1.24,1.16
2001-05-01,16100.0,1.2,1.25,1.16,1.16
2001-05-02,12600.0,1.2,1.2,1.18,1.18
2001-05-03,41800.0,1.18,1.2,1.15,1.1
2001-05-04,4200.0,1.17,1.17,1.15,1.15
2001-05-07,24900.0,1.16,1.25,1.25,1.16
2001-05-08,2700.0,1.17,1.25,1.25,1.17
2001-05-09,12300.0,1.25,1.25,1.2,1.17
