date,5. volume,4. close,2. high,1. open,3. low
2015-01-23,42593223.0,23.23,24.73,20.2,20.16
2015-01-26,8677164.0,22.6,24.39,23.67,22.5
2015-01-27,3272512.0,21.3,22.47,22.0,21.17
2015-01-28,5047364.0,19.78,21.84,21.62,19.6
2015-01-29,3419482.0,18.8,19.95,19.9,18.5103
2015-01-30,2266439.0,18.81,19.48,18.47,18.22
2015-02-02,2071168.0,18.02,19.3,19.18,18.01
2015-02-03,1587435.0,18.24,18.64,18.22,18.12
2015-02-04,2912224.0,17.1,18.35,18.2,17.0
2015-02-05,2682187.0,16.66,17.3099,17.3,16.41
2015-02-06,3929164.0,18.12,18.88,17.39,17.21
2015-02-09,3226650.0,19.6,19.95,18.86,18.45
2015-02-10,2804409.0,20.99,21.0,20.5,19.63
2015-02-11,1698365.0,20.96,21.0,20.89,20.2
2015-02-12,1370320.0,20.17,20.85,20.66,19.75
2015-02-13,711951.0,20.18,20.68,20.19,20.0
2015-02-17,2093602.0,19.05,20.1,19.5,18.8
2015-02-18,1849490.0,18.0,18.5,18.31,17.96
2015-02-19,1311518.0,18.96,19.25,18.33,17.91
2015-02-20,1001692.0,18.85,19.3,18.68,18.65
2015-02-23,670087.0,18.21,18.89,18.8,18.11
2015-02-24,759263.0,18.83,19.0,18.46,18.268
2015-02-25,915580.0,18.67,19.48,18.83,18.47
2015-02-26,461283.0,18.94,19.2,18.64,18.64
2015-02-27,617199.0,18.66,19.12,18.8,18.55
2015-03-02,519605.0,18.79,19.09,18.66,18.65
2015-03-03,832415.0,18.59,19.21,18.79,18.45
2015-03-04,539688.0,19.0,19.05,18.64,18.32
2015-03-05,486149.0,19.14,19.2,19.2,18.8
2015-03-06,685659.0,18.91,19.0999,19.03,18.7
2015-03-09,1321363.0,19.4,20.1499,18.98,18.96
2015-03-10,615743.0,19.64,19.8,19.3,18.8501
2015-03-11,2167167.0,20.53,20.65,20.08,19.24
2015-03-12,6837638.0,18.2,18.2,17.17,16.76
2015-03-13,1715629.0,17.88,18.05,18.05,17.3
2015-03-16,1321313.0,17.13,18.0,17.91,17.01
2015-03-17,1272242.0,17.12,17.37,17.28,16.6
2015-03-18,530063.0,17.01,17.27,17.1,16.91
2015-03-19,536427.0,17.06,17.28,17.0,17.0
2015-03-20,1320237.0,17.21,17.24,17.13,16.88
2015-03-23,509798.0,17.11,17.23,17.21,17.01
2015-03-24,962149.0,17.0,17.18,17.02,16.82
2015-03-25,565673.0,16.97,16.99,16.92,16.82
2015-03-26,884523.0,17.54,17.56,16.83,16.83
2015-03-27,705626.0,18.3,18.3,17.58,17.11
2015-03-30,1151620.0,19.05,19.4,18.5,18.4
2015-03-31,2020679.0,19.75,20.58,19.08,18.4001
2015-04-01,961078.0,18.65,19.69,19.69,18.5501
2015-04-02,884233.0,17.9,18.66,18.56,17.85
2015-04-06,605252.0,17.66,17.94,17.78,17.51
2015-04-07,591988.0,17.61,17.8999,17.62,17.53
2015-04-08,618855.0,17.36,17.85,17.64,17.32
2015-04-09,761855.0,17.1,17.5399,17.33,17.1
2015-04-10,568373.0,17.05,17.36,17.08,17.0
2015-04-13,667142.0,17.1,17.2589,17.24,16.81
2015-04-14,870138.0,17.52,17.89,17.1,17.02
2015-04-15,530456.0,17.69,17.99,17.6,17.5
2015-04-16,548730.0,17.82,18.0,17.95,17.6
2015-04-17,446373.0,17.79,17.79,17.75,17.5
2015-04-20,487017.0,17.93,17.98,17.63,17.5203
2015-04-21,320302.0,17.92,17.98,17.96,17.7101
2015-04-22,644812.0,18.29,18.33,17.88,17.57
2015-04-23,563879.0,18.28,18.61,18.29,18.18
2015-04-24,650762.0,17.75,18.5,18.5,17.61
2015-04-27,437294.0,17.57,18.05,17.97,17.45
2015-04-28,224519.0,17.5,17.79,17.65,17.39
2015-04-29,495706.0,17.21,17.68,17.68,17.1
2015-04-30,391040.0,17.11,17.3,17.22,17.0
2015-05-01,563075.0,17.5,17.55,17.11,16.85
2015-05-04,253138.0,17.4,17.85,17.56,17.3001
2015-05-05,290935.0,17.43,17.68,17.68,17.09
2015-05-06,313662.0,17.04,17.48,17.48,17.0
2015-05-07,360284.0,17.04,17.19,17.05,16.92
2015-05-08,297653.0,17.1,17.2099,17.13,16.91
2015-05-11,268504.0,17.31,17.44,17.16,17.13
2015-05-12,376961.0,17.24,17.44,17.28,16.99
2015-05-13,244617.0,17.2,17.2999,17.24,17.06
2015-05-14,252526.0,17.08,17.25,17.24,17.02
2015-05-15,274783.0,16.95,17.16,17.06,16.95
2015-05-18,418513.0,16.87,17.01,16.95,16.76
2015-05-19,367660.0,16.83,16.94,16.93,16.6
2015-05-20,297914.0,16.86,16.9,16.8,16.65
2015-05-21,229346.0,16.88,17.08,16.9,16.79
2015-05-22,253279.0,17.0,17.05,16.9,16.85
2015-05-26,212640.0,17.01,17.08,17.03,16.86
2015-05-27,857109.0,17.75,17.99,17.01,16.87
2015-05-28,338482.0,17.62,17.77,17.77,17.441
2015-05-29,465776.0,17.64,17.88,17.52,17.16
2015-06-01,224684.0,17.5,17.74,17.74,17.248
2015-06-02,241942.0,17.37,17.65,17.5,17.35
2015-06-03,254315.0,17.34,17.48,17.43,17.25
2015-06-04,321624.0,17.33,17.45,17.29,17.205
2015-06-05,233516.0,17.53,17.59,17.31,17.13
2015-06-08,334447.0,17.62,17.83,17.48,17.3724
2015-06-09,779192.0,16.92,17.672,17.63,16.76
2015-06-10,1887971.0,17.79,18.0,16.96,16.9
2015-06-11,7131876.0,18.29,20.6,19.64,18.06
2015-06-12,1661397.0,17.25,18.14,18.1,17.25
2015-06-15,851944.0,17.12,17.47,17.09,16.83
2015-06-16,1194679.0,17.9,18.07,17.07,16.97
2015-06-17,936238.0,17.37,18.4199,18.0,17.34
2015-06-18,402166.0,17.52,17.9,17.62,17.5
2015-06-19,651786.0,17.42,17.77,17.58,17.3
2015-06-22,566092.0,17.55,17.57,17.48,17.08
2015-06-23,325068.0,17.55,17.85,17.6,17.3301
2015-06-24,2438483.0,18.53,19.35,19.0,18.29
2015-06-25,1443268.0,19.35,19.5,18.83,18.54
2015-06-26,1090077.0,19.1,19.93,19.39,18.76
2015-06-29,762590.0,18.1,19.33,18.7,18.07
2015-06-30,648568.0,18.64,19.15,18.93,18.46
