date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,46900.0,13.56,13.63,13.38,13.13
2000-07-17,4600.0,13.63,13.63,13.34,13.0
2000-07-18,6000.0,13.63,13.63,13.5,13.25
2000-07-19,140400.0,13.0,13.25,13.25,13.0
2000-07-20,24800.0,13.13,13.5,13.5,12.81
2000-07-21,4700.0,13.06,13.25,13.25,13.06
2000-07-24,2800.0,12.75,13.06,13.0,12.75
2000-07-25,18100.0,12.94,13.19,13.19,12.56
2000-07-26,25000.0,13.13,13.13,12.75,12.75
2000-07-27,47600.0,13.0,13.0,12.88,12.63
2000-07-28,4500.0,12.52,13.0,12.88,12.5
2000-07-31,13700.0,13.13,13.13,12.5,12.5
2000-08-01,244800.0,13.19,13.19,13.13,13.0
2000-08-02,45700.0,13.19,13.63,13.25,13.19
2000-08-03,27700.0,13.25,13.31,12.94,12.94
2000-08-04,12100.0,13.25,13.44,13.38,13.19
2000-08-07,31100.0,13.25,13.44,13.44,13.25
2000-08-08,37600.0,13.06,13.25,13.13,13.0
2000-08-09,73300.0,13.0,13.13,13.0,12.81
2000-08-10,76200.0,13.0,13.13,12.5,12.5
2000-08-11,7300.0,13.0,13.06,12.88,12.5
2000-08-14,8400.0,12.88,13.06,12.56,12.56
2000-08-15,29500.0,12.56,13.0,12.81,12.56
2000-08-16,13400.0,12.63,12.94,12.94,12.63
2000-08-17,17100.0,12.38,12.94,12.94,12.31
2000-08-18,56400.0,11.69,13.06,12.75,11.69
2000-08-21,29900.0,12.19,12.5,11.56,11.5
2000-08-22,28700.0,12.06,12.44,12.44,11.75
2000-08-23,6300.0,11.88,12.56,12.56,11.88
2000-08-24,25300.0,12.06,12.25,12.09,11.06
2000-08-25,19800.0,11.94,12.38,12.38,11.81
2000-08-28,16000.0,12.5,12.5,11.75,11.75
2000-08-29,6500.0,12.38,12.56,12.5,12.19
2000-08-30,104500.0,12.38,12.45,12.38,12.13
2000-08-31,57400.0,13.06,13.06,12.81,12.56
2000-09-01,202000.0,13.13,13.13,13.13,13.0
2000-09-05,68400.0,13.06,13.19,12.88,12.81
2000-09-06,287400.0,13.06,13.38,13.19,13.06
2000-09-07,99200.0,13.13,13.13,13.06,12.94
2000-09-08,124200.0,13.13,13.31,13.13,13.0
2000-09-11,234100.0,13.06,13.13,13.13,13.0
2000-09-12,106000.0,13.06,13.13,13.06,13.0
2000-09-13,31900.0,13.06,13.3,13.3,13.0
2000-09-14,53800.0,13.13,13.25,13.06,13.06
2000-09-15,45100.0,13.0,13.13,13.13,12.89
2000-09-18,107800.0,13.0,13.13,13.13,12.75
2000-09-19,3800.0,12.75,12.88,12.81,12.63
2000-09-20,41200.0,12.69,12.81,12.75,12.56
2000-09-21,3400.0,12.56,12.75,12.69,12.56
2000-09-22,84400.0,13.0,13.0,12.38,12.38
