date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,1017800.0,44.25,45.0,42.94,42.44
2000-07-17,531900.0,42.88,43.81,43.69,42.56
2000-07-18,568500.0,43.81,44.06,43.25,42.94
2000-07-19,498300.0,44.5,44.94,43.81,43.81
2000-07-20,461300.0,43.25,44.81,44.56,42.62
2000-07-21,771800.0,42.25,43.44,43.44,41.62
2000-07-24,494300.0,41.62,42.19,42.0,41.0
2000-07-25,418300.0,42.38,43.06,41.88,41.88
2000-07-26,432500.0,41.75,42.62,42.25,41.62
2000-07-27,537100.0,40.69,42.0,41.94,40.0
2000-07-28,424000.0,41.69,41.75,40.75,40.62
2000-07-31,535800.0,41.31,42.5,41.94,41.06
2000-08-01,651200.0,43.62,43.94,41.88,41.12
2000-08-02,483800.0,43.38,44.38,44.38,42.94
2000-08-03,2643000.0,39.69,43.31,41.94,39.56
2000-08-04,1905600.0,38.5,40.12,39.81,38.5
2000-08-07,2918000.0,35.5,38.44,38.38,35.44
2000-08-08,1986600.0,34.69,35.44,34.88,34.0
2000-08-09,1956800.0,34.06,34.81,34.0,33.56
2000-08-10,1133700.0,33.69,34.44,34.44,33.5
2000-08-11,1146500.0,33.62,34.25,33.94,33.44
2000-08-14,2481100.0,37.0,37.0,34.75,34.69
2000-08-15,2080700.0,35.81,36.94,36.94,35.69
2000-08-16,1100400.0,35.38,35.81,35.56,34.75
2000-08-17,1258200.0,35.5,36.81,35.5,35.06
2000-08-18,972700.0,35.88,36.38,35.75,35.69
2000-08-21,702800.0,36.44,36.75,36.38,36.0
2000-08-22,771500.0,36.0,36.94,36.88,36.0
2000-08-23,705500.0,35.75,37.0,36.12,35.06
2000-08-24,692700.0,36.0,36.56,36.19,35.5
2000-08-25,591800.0,36.19,36.38,36.38,35.56
2000-08-28,1035700.0,36.81,37.62,36.38,36.31
2000-08-29,636000.0,37.0,37.38,36.81,36.75
2000-08-30,744700.0,37.0,37.5,37.0,36.88
2000-08-31,960000.0,36.19,37.0,36.81,36.19
2000-09-01,719000.0,35.81,36.56,36.19,35.0
2000-09-05,725200.0,35.75,36.5,35.56,35.56
2000-09-06,720100.0,36.94,37.25,35.75,35.75
