date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,2317000.0,36.0,37.06,37.06,35.81
2000-07-17,2640300.0,35.5,36.25,36.0,35.44
2000-07-18,5846200.0,33.88,35.63,35.5,33.75
2000-07-19,5116900.0,32.94,34.13,34.03,32.63
2000-07-20,8632300.0,32.94,33.63,33.06,32.75
2000-07-21,4244100.0,32.25,33.13,32.75,31.25
2000-07-24,5255000.0,31.69,32.31,32.31,31.31
2000-07-25,5155000.0,31.69,32.06,31.88,31.5
2000-07-26,9050400.0,31.31,32.31,31.81,31.19
2000-07-27,5947200.0,31.94,32.5,31.44,31.38
2000-07-28,4176200.0,32.25,33.63,32.31,31.75
2000-07-31,4271700.0,32.56,32.81,32.19,31.95
2000-08-01,4409600.0,32.5,33.25,32.25,31.63
2000-08-02,6514000.0,33.56,33.75,32.5,32.44
2000-08-03,8989000.0,34.56,34.88,33.31,33.0
2000-08-04,6877100.0,35.5,35.81,34.56,34.5
2000-08-07,4613700.0,36.69,36.75,35.25,34.75
2000-08-08,8621900.0,37.56,38.06,36.44,36.25
2000-08-09,6953300.0,36.19,37.31,37.31,34.81
2000-08-10,3753800.0,34.38,36.31,36.25,34.31
2000-08-11,3365300.0,34.94,35.31,34.81,34.75
2000-08-14,3540300.0,35.75,36.56,35.0,34.88
2000-08-15,2510400.0,34.75,36.06,35.88,34.56
2000-08-16,6530600.0,33.19,33.88,33.25,33.13
2000-08-17,4366600.0,33.0,33.13,33.0,32.44
2000-08-18,3310800.0,33.44,33.94,32.94,32.63
2000-08-21,4049000.0,32.75,33.63,33.56,32.0
2000-08-22,4071600.0,32.94,33.5,32.88,32.34
2000-08-23,3638800.0,32.25,33.06,32.69,32.13
2000-08-24,3884800.0,32.38,32.59,32.56,32.0
2000-08-25,2080400.0,32.94,33.13,32.5,32.44
2000-08-28,2225800.0,33.06,34.0,33.0,32.88
2000-08-29,6173600.0,34.75,35.94,32.94,32.94
2000-08-30,5564400.0,35.63,35.75,34.56,34.38
2000-08-31,4108200.0,34.44,35.56,35.19,34.19
2000-09-01,3419900.0,35.31,35.63,34.81,34.56
2000-09-05,3686000.0,36.19,36.69,35.38,35.0
2000-09-06,2586400.0,36.56,37.25,36.25,36.13
2000-09-07,1463700.0,36.5,37.06,36.63,36.44
2000-09-08,7152500.0,37.69,39.06,36.44,36.13
2000-09-11,5270300.0,37.63,38.44,37.88,36.38
2000-09-12,2099100.0,37.64,38.0,37.94,37.13
2000-09-13,5624600.0,38.38,39.0,37.63,37.25
2000-09-14,2115900.0,37.19,38.63,38.44,36.88
2000-09-15,11525200.0,35.31,38.19,38.06,34.75
2000-09-18,5336100.0,34.06,35.38,35.31,33.94
2000-09-19,4861200.0,33.44,34.75,34.69,32.63
2000-09-20,4278900.0,34.25,34.81,33.63,33.56
2000-09-21,4115900.0,35.38,35.69,34.25,34.19
2000-09-22,3307900.0,34.94,36.13,34.81,34.06
2000-09-25,3697100.0,34.88,35.5,35.0,34.5
2000-09-26,5523300.0,33.81,34.75,34.69,33.38
2000-09-27,3937500.0,34.56,34.81,34.13,33.94
2000-09-28,2934700.0,35.88,36.0,34.81,34.5
2000-09-29,4181000.0,34.94,36.38,35.94,34.5
2000-10-02,7922100.0,32.94,34.5,33.56,32.81
2000-10-03,4915900.0,33.83,34.25,33.25,33.13
2000-10-04,5942600.0,34.48,35.69,34.0,34.0
2000-10-05,5810600.0,33.63,34.88,34.47,33.19
2000-10-06,3321000.0,33.5,34.13,33.91,32.88
2000-10-09,1949800.0,34.19,34.5,33.44,33.38
2000-10-10,3668300.0,33.0,35.0,34.31,33.0
2000-10-11,16752800.0,30.63,32.75,32.63,29.94
2000-10-12,14440100.0,31.25,33.13,30.0,29.31
2000-10-13,9110200.0,32.13,32.69,30.63,30.5
2000-10-16,6141400.0,32.0,32.13,32.06,31.75
2000-10-17,4251600.0,32.0,32.38,32.09,31.88
2000-10-18,3949200.0,33.0,34.25,31.88,31.38
2000-10-19,3476000.0,34.94,34.94,33.13,33.0
2000-10-20,5402400.0,34.31,35.0,33.75,33.75
2000-10-23,5616100.0,33.56,34.31,34.19,33.13
2000-10-24,3373600.0,33.94,34.25,33.75,33.5
2000-10-25,4199200.0,33.0,34.06,34.0,32.75
2000-10-26,5823200.0,33.0,33.19,33.03,32.56
2000-10-27,2788700.0,33.69,34.0,33.06,33.0
2000-10-30,5440400.0,34.56,35.06,33.72,33.69
2000-10-31,6663200.0,36.63,36.75,35.0,34.81
2000-11-01,7439000.0,35.75,36.94,36.69,35.44
2000-11-02,13263900.0,36.19,36.25,33.88,33.19
2000-11-03,3134900.0,35.31,35.94,35.94,34.56
2000-11-06,4297900.0,34.56,36.0,35.5,34.44
2000-11-07,5333000.0,35.75,35.75,33.75,33.25
2000-11-08,7043500.0,35.56,37.19,36.91,35.44
2000-11-09,4568400.0,34.06,35.56,35.5,33.88
2000-11-10,3439300.0,33.0,33.98,33.94,32.94
2000-11-13,3553000.0,34.44,34.88,32.75,32.5
2000-11-14,5160800.0,36.88,37.0,34.63,34.56
2000-11-15,2875400.0,36.75,36.88,36.66,36.0
2000-11-16,2934700.0,35.31,36.5,36.41,35.13
2000-11-17,3627100.0,36.06,36.38,35.31,35.13
2000-11-20,2533500.0,34.94,36.23,35.94,34.5
2000-11-21,4931300.0,36.06,36.25,35.19,34.5
2000-11-22,5789100.0,34.5,36.0,35.63,34.38
2000-11-24,1882200.0,35.44,35.69,34.75,34.63
2000-11-27,5201400.0,36.69,37.38,35.56,35.5
2000-11-28,4719800.0,35.25,36.81,36.75,34.75
2000-11-29,7710500.0,36.44,36.56,35.25,34.63
2000-11-30,16636900.0,32.63,35.0,34.69,32.06
2000-12-01,5616500.0,32.63,33.69,33.25,32.5
2000-12-04,4816000.0,34.13,34.5,32.69,32.38
2000-12-05,6070700.0,35.31,36.5,33.81,33.5
2000-12-06,8525300.0,33.63,35.38,35.31,33.25
2000-12-07,5390900.0,33.19,33.88,33.25,33.0
2000-12-08,5813100.0,33.25,34.0,33.94,32.38
2000-12-11,5362000.0,32.94,33.5,33.0,32.75
2000-12-12,5832400.0,33.19,34.13,33.0,32.38
2000-12-13,6521500.0,32.75,33.63,33.5,32.5
2000-12-14,18573700.0,34.94,35.38,33.5,31.75
2000-12-15,9228000.0,34.88,35.94,34.94,34.25
2000-12-18,8417400.0,36.44,36.88,35.0,34.94
2000-12-19,5798600.0,33.94,36.44,36.38,33.88
2000-12-20,5202600.0,34.44,35.31,33.75,33.69
2000-12-21,6113600.0,35.63,36.69,34.25,34.0
2000-12-22,9668200.0,37.38,37.81,35.58,35.56
2000-12-26,3611900.0,36.06,37.38,37.12,35.31
2000-12-27,9210100.0,37.19,37.56,35.81,35.38
2000-12-28,5505500.0,38.63,38.75,37.19,37.13
2000-12-29,7229800.0,39.94,41.5,39.0,38.88
2001-01-02,13349400.0,41.19,41.56,40.0,40.0
2001-01-03,16253500.0,42.69,42.75,40.88,39.19
2001-01-04,19779200.0,43.63,44.81,41.75,41.75
2001-01-05,11955900.0,41.31,43.88,43.63,40.0
2001-01-08,4264300.0,41.94,42.06,40.81,40.06
2001-01-09,5973600.0,41.81,43.0,42.0,41.69
2001-01-10,10842500.0,40.69,41.31,41.06,39.0
2001-01-11,5128800.0,41.31,41.69,40.56,39.75
2001-01-12,7726600.0,43.06,44.06,41.38,40.44
2001-01-16,5344300.0,43.56,43.94,43.25,42.88
2001-01-17,5520100.0,41.44,44.25,43.88,41.06
2001-01-18,4920800.0,41.44,42.44,41.88,41.25
2001-01-19,6090600.0,40.44,41.69,41.44,40.31
2001-01-22,7135600.0,42.25,42.88,41.0,39.75
2001-01-23,5472400.0,42.5,42.81,42.0,41.63
2001-01-24,6070400.0,42.94,43.0,42.5,41.38
2001-01-25,7484700.0,43.19,43.56,42.81,41.19
2001-01-26,5766900.0,41.25,43.69,43.44,41.13
2001-01-29,5208000.0,44.06,44.25,41.88,41.44
2001-01-30,3954100.0,43.75,44.13,44.0,42.88
2001-01-31,9318900.0,46.25,46.38,43.75,43.69
2001-02-01,6449600.0,46.25,46.31,45.88,44.38
2001-02-02,6157500.0,43.94,46.38,45.88,43.88
2001-02-05,5229800.0,43.19,44.38,44.38,42.02
2001-02-06,5585600.0,43.75,45.13,43.06,43.0
2001-02-07,4313200.0,45.25,45.31,43.75,43.56
2001-02-08,5656000.0,42.88,46.0,45.63,42.81
2001-02-09,4396200.0,41.31,43.88,42.94,40.81
2001-02-12,4024300.0,42.44,42.69,41.69,41.38
2001-02-13,3532500.0,42.94,43.5,42.75,41.31
2001-02-14,3786800.0,43.69,44.31,43.0,42.88
2001-02-15,5465100.0,42.81,44.0,43.94,41.88
2001-02-16,4396800.0,42.69,43.5,41.88,41.63
2001-02-20,5130100.0,44.13,44.25,42.38,42.38
2001-02-21,6097200.0,42.0,44.25,43.81,41.0
2001-02-22,4175700.0,41.88,42.31,42.0,40.56
2001-02-23,5331300.0,41.38,42.06,41.81,39.75
2001-02-26,3528900.0,42.88,43.0,41.88,41.81
2001-02-27,5412200.0,43.0,43.31,42.88,41.92
2001-02-28,4541200.0,41.75,43.75,43.13,40.94
