date,5. volume,4. close,2. high,1. open,3. low
2017-04-28,11297841.0,11.1,13.94,13.5,10.7
2017-05-01,1291300.0,10.77,11.73,11.6,10.7
2017-05-02,991549.0,10.1,10.95,10.95,10.0
2017-05-03,3350888.0,8.72,10.18,10.18,8.18
2017-05-04,1840169.0,9.98,10.04,8.59,8.14
2017-05-05,1691911.0,10.92,11.05,10.15,9.75
2017-05-08,580069.0,10.8,11.14,11.04,10.5
2017-05-09,547407.0,10.55,11.09,10.8,10.4
2017-05-10,672558.0,10.74,10.74,10.56,9.61
2017-05-11,429225.0,11.0,11.35,10.62,10.4
2017-05-12,361702.0,11.35,11.47,11.03,10.6
2017-05-15,430239.0,11.52,11.7,11.45,11.353
2017-05-16,335490.0,11.76,11.82,11.7,11.487
2017-05-17,450084.0,11.66,11.87,11.68,10.91
2017-05-18,404808.0,11.52,11.88,11.5,11.24
2017-05-19,221268.0,11.4,11.713,11.62,11.261
2017-05-22,913037.0,11.08,12.39,12.39,10.99
2017-05-23,1054647.0,10.81,11.74,11.63,10.31
2017-05-24,721771.0,10.91,11.59,11.07,10.83
2017-05-25,437956.0,10.65,11.08,11.05,10.58
2017-05-26,611989.0,10.73,10.878,10.73,10.49
2017-05-30,651309.0,10.18,10.875,10.79,10.0
2017-05-31,927771.0,10.05,10.435,10.18,9.39
2017-06-01,744211.0,9.33,10.3,10.04,9.03
2017-06-02,652697.0,9.53,9.6,9.33,9.26
2017-06-05,630729.0,9.0,9.72,9.57,8.845
2017-06-06,1470019.0,9.53,9.81,9.24,9.06
2017-06-07,6083034.0,12.66,12.83,10.94,10.5
2017-06-08,3614053.0,13.2,14.5,13.12,12.86
2017-06-09,760854.0,13.3,13.7,13.32,12.98
2017-06-12,1351058.0,14.0,14.08,13.53,12.13
2017-06-13,834443.0,15.11,15.49,14.33,14.06
2017-06-14,1466612.0,16.7,16.838,15.39,15.38
2017-06-15,986899.0,17.68,17.94,16.41,16.02
2017-06-16,2568656.0,19.31,19.8,17.6,17.6
2017-06-19,1173543.0,19.54,20.43,19.75,18.81
2017-06-20,734101.0,18.91,19.78,19.66,18.37
2017-06-21,468943.0,19.53,20.0,19.14,19.14
2017-06-22,1686436.0,21.14,22.8,19.7,19.38
2017-06-23,2696392.0,21.43,21.72,21.72,19.82
2017-06-26,1250068.0,23.39,23.7,21.5,21.329
2017-06-27,994376.0,22.17,23.59,23.59,21.75
2017-06-28,932805.0,20.66,22.275,22.07,20.36
2017-06-29,453283.0,20.6,21.15,20.73,20.27
2017-06-30,170770.0,20.47,20.8,20.66,20.2
2017-07-03,292394.0,19.21,20.46,20.42,18.934
2017-07-05,631431.0,21.18,21.5,19.0,18.63
2017-07-06,664956.0,20.18,21.07,21.03,19.29
2017-07-07,484732.0,21.0,21.2,20.15,19.6
2017-07-10,595510.0,21.99,22.25,21.0,20.33
2017-07-11,521678.0,21.56,22.1,22.01,20.63
2017-07-12,626575.0,22.4,22.67,21.66,21.66
2017-07-13,801480.0,22.98,23.52,22.35,22.04
2017-07-14,215579.0,22.93,23.13,22.98,22.55
2017-07-17,394289.0,21.8,23.361,23.21,21.64
2017-07-18,307041.0,21.53,21.92,21.62,21.0901
2017-07-19,255922.0,22.26,22.4,21.55,21.3
2017-07-20,280801.0,21.6,22.42,22.42,21.5
2017-07-21,522098.0,21.4,22.1,21.66,21.232
2017-07-24,519447.0,21.62,21.75,21.44,20.03
2017-07-25,395388.0,20.87,21.48,21.42,20.6
2017-07-26,252644.0,21.35,21.38,20.78,20.55
2017-07-27,291040.0,20.99,21.621,21.19,20.806
2017-07-28,224447.0,20.41,21.24,20.6,20.39
2017-07-31,667808.0,19.52,20.25,20.25,18.95
2017-08-01,477156.0,18.71,19.637,19.44,18.66
2017-08-02,458714.0,19.06,19.53,18.65,18.53
2017-08-03,1070722.0,17.41,19.159,19.06,16.88
2017-08-04,796665.0,18.02,18.03,17.2,16.2
2017-08-07,460261.0,18.57,19.0,18.03,17.76
2017-08-08,965145.0,19.23,19.85,18.75,18.56
2017-08-09,1752817.0,18.09,18.98,18.31,16.5
2017-08-10,892188.0,17.21,17.9699,17.9,16.7001
2017-08-11,800685.0,16.33,17.65,16.53,16.25
2017-08-14,1472884.0,15.37,16.6,16.37,14.8
2017-08-15,1370987.0,14.79,15.54,15.31,14.38
2017-08-16,890440.0,15.15,15.87,14.72,14.6056
2017-08-17,604690.0,15.18,15.43,14.91,14.8
2017-08-18,1894598.0,14.21,15.2,14.98,13.82
2017-08-21,859008.0,14.62,14.73,13.88,13.44
2017-08-22,671678.0,15.51,15.6,14.45,14.26
2017-08-23,1552000.0,15.94,18.04,15.38,15.25
2017-08-24,1245860.0,15.92,16.527,16.08,15.54
2017-08-25,748351.0,14.84,16.44,16.13,14.79
2017-08-28,393405.0,15.5,15.59,14.8,14.6
2017-08-29,454516.0,15.74,15.83,15.38,14.9
2017-08-30,1247212.0,17.53,17.94,15.85,15.55
2017-08-31,1106225.0,17.85,19.19,17.82,17.66
2017-09-01,548532.0,17.34,17.89,17.89,16.34
2017-09-05,421982.0,16.74,17.38,17.22,16.12
2017-09-06,482253.0,17.87,17.9,16.85,16.64
2017-09-07,571883.0,18.75,18.87,18.25,18.19
2017-09-08,393990.0,18.4,19.15,18.73,17.66
2017-09-11,316273.0,18.43,18.7,18.49,17.75
2017-09-12,424788.0,18.52,19.36,18.34,18.14
2017-09-13,404185.0,18.05,19.05,18.49,17.91
2017-09-14,377977.0,18.14,18.428,18.0,17.64
2017-09-15,631950.0,17.66,18.529,18.12,17.51
2017-09-18,658668.0,16.33,17.959,17.64,16.3
2017-09-19,305410.0,16.69,17.175,16.35,16.1
2017-09-20,654950.0,17.59,17.74,16.74,16.51
2017-09-21,461839.0,16.81,17.89,17.41,16.55
2017-09-22,942206.0,16.17,16.71,15.87,15.87
2017-09-25,544387.0,16.5,16.78,16.01,16.0
2017-09-26,559293.0,16.02,16.705,16.39,15.6
2017-09-27,375520.0,15.5,16.25,16.04,15.36
2017-09-28,706718.0,14.9,15.715,15.5,14.55
2017-09-29,794784.0,14.68,15.125,14.91,14.14
2017-10-02,697830.0,15.65,15.88,14.89,14.66
2017-10-03,690471.0,15.43,15.99,15.75,15.32
2017-10-04,679200.0,15.38,15.63,15.45,14.62
2017-10-05,325292.0,15.45,15.94,15.38,15.14
2017-10-06,329107.0,15.26,15.71,15.31,15.17
2017-10-09,294065.0,14.81,15.505,15.22,14.56
2017-10-10,663399.0,13.9,14.9,14.75,13.86
2017-10-11,448981.0,14.25,14.26,13.89,13.58
2017-10-12,238034.0,14.01,14.11,14.11,13.66
2017-10-13,214810.0,14.02,14.41,13.86,13.82
2017-10-16,336749.0,14.0,14.35,14.02,13.75
2017-10-17,271574.0,13.99,14.325,13.9,13.801
2017-10-18,424702.0,13.99,14.29,13.88,13.88
2017-10-19,581818.0,13.46,14.15,13.9,13.38
2017-10-20,789517.0,13.34,13.61,13.48,12.95
2017-10-23,330006.0,13.03,13.369,13.34,12.75
2017-10-24,389639.0,13.64,13.65,12.94,12.86
2017-10-25,477795.0,13.03,13.86,13.53,12.95
2017-10-26,477904.0,12.65,13.59,12.97,12.53
2017-10-27,234965.0,12.76,12.95,12.61,12.5
2017-10-30,248119.0,12.5,12.785,12.61,12.17
2017-10-31,1234017.0,14.18,14.59,12.43,12.43
2017-11-01,367640.0,14.01,14.47,14.39,13.53
2017-11-02,264950.0,14.0,14.28,14.0,13.79
2017-11-03,162469.0,14.06,14.25,14.04,13.87
2017-11-06,779300.0,16.36,16.46,14.06,14.06
2017-11-07,988752.0,15.15,16.47,16.42,14.78
2017-11-08,1406330.0,14.66,15.06,12.9,12.87
2017-11-09,472158.0,13.86,14.62,14.58,13.75
2017-11-10,289675.0,14.19,14.3,13.6,13.58
2017-11-13,424210.0,15.03,15.3,14.13,13.91
2017-11-14,572538.0,15.13,15.57,15.01,14.62
2017-11-15,307481.0,14.95,15.17,14.98,14.69
2017-11-16,417445.0,15.4,15.47,15.08,14.93
2017-11-17,529423.0,15.5,15.76,15.4,15.27
2017-11-20,313155.0,14.94,15.71,15.66,14.632
2017-11-21,365626.0,14.67,15.56,15.04,14.267
2017-11-22,254114.0,15.32,15.46,14.69,14.525
2017-11-24,113937.0,15.43,15.56,15.52,15.2
2017-11-27,229211.0,15.74,15.849,15.4,15.4
2017-11-28,472588.0,16.54,16.69,15.51,15.43
2017-11-29,439442.0,15.59,17.06,16.58,15.36
2017-11-30,740318.0,16.21,16.74,15.76,15.62
2017-12-01,923048.0,17.91,18.72,16.1,16.02
2017-12-04,1351655.0,20.21,20.91,18.62,18.34
2017-12-05,453125.0,20.43,20.65,20.65,19.01
2017-12-06,648393.0,20.55,21.47,20.33,20.26
2017-12-07,407841.0,22.02,22.5399,20.5,20.49
2017-12-08,603624.0,21.24,21.81,20.81,20.0
2017-12-11,324764.0,20.67,21.37,21.37,20.37
2017-12-12,269026.0,21.3,21.66,20.75,20.67
2017-12-13,703328.0,22.08,23.45,21.25,20.96
2017-12-14,409451.0,23.24,23.67,22.4,22.02
2017-12-15,1279773.0,21.87,24.89,24.11,21.5
2017-12-18,420764.0,21.53,22.58,22.1,21.09
2017-12-19,657394.0,20.28,21.86,21.46,20.1
2017-12-20,813217.0,20.99,21.39,20.41,20.07
2017-12-21,511614.0,21.23,21.54,21.42,21.01
2017-12-22,339220.0,21.25,21.44,21.25,21.04
2017-12-26,239438.0,21.23,21.71,21.25,20.8854
2017-12-27,262358.0,20.28,21.2,21.14,20.0778
2017-12-28,346237.0,19.63,20.25,20.15,19.46
2017-12-29,236579.0,19.12,19.9,19.43,19.08
2018-01-02,421791.0,18.31,19.3,19.16,18.22
2018-01-03,720450.0,18.37,18.4,18.17,17.745
2018-01-04,704246.0,18.75,18.935,18.24,17.82
2018-01-05,579038.0,19.71,19.92,18.84,18.79
2018-01-08,241101.0,20.05,20.4,19.7,19.23
2018-01-09,196765.0,20.17,20.22,20.13,19.9
2018-01-10,235100.0,21.04,21.06,19.96,19.74
2018-01-11,297664.0,20.57,21.82,21.15,20.12
2018-01-12,165052.0,20.95,21.0,20.57,20.49
2018-01-16,202293.0,20.51,21.64,20.95,20.325
2018-01-17,142215.0,20.38,21.05,20.65,20.155
2018-01-18,163312.0,20.24,20.44,20.32,19.76
2018-01-19,199217.0,20.86,20.965,20.18,20.145
2018-01-22,211089.0,20.35,21.35,20.85,20.19
2018-01-23,165090.0,21.02,21.0899,20.24,20.08
2018-01-24,298519.0,20.75,21.3576,21.1,20.24
2018-01-25,618127.0,20.34,20.89,20.89,20.16
2018-01-26,239430.0,19.74,20.52,20.35,19.57
2018-01-29,276508.0,18.81,19.52,19.52,18.61
2018-01-30,196943.0,19.0,19.1,18.73,18.51
2018-01-31,212997.0,19.09,19.68,19.15,18.97
2018-02-01,182554.0,18.49,19.07,19.0,18.2801
2018-02-02,153617.0,18.3,18.6764,18.3,18.041
2018-02-05,477200.0,17.57,18.39,18.1,17.5
2018-02-06,445163.0,18.48,18.51,17.14,16.86
2018-02-07,536872.0,18.49,19.59,18.35,18.231
2018-02-08,586867.0,17.66,18.95,18.56,17.6
2018-02-09,420337.0,18.1,18.17,17.84,16.58
2018-02-12,317755.0,19.64,19.74,18.21,17.84
2018-02-13,446402.0,20.46,20.87,19.6,19.3463
2018-02-14,309019.0,20.9,21.48,20.39,19.88
2018-02-15,452262.0,21.86,23.09,21.07,20.8
2018-02-16,281143.0,21.42,22.18,21.94,20.64
2018-02-20,164819.0,21.48,21.78,21.15,21.15
2018-02-21,264978.0,20.63,21.6,21.37,20.08
2018-02-22,106692.0,20.98,20.98,20.63,20.45
2018-02-23,502402.0,21.38,21.6786,21.0,20.895
2018-02-26,450366.0,21.88,22.62,21.57,21.512
2018-02-27,337839.0,20.72,22.1,21.86,20.6
2018-02-28,526289.0,20.04,21.19,20.88,19.98
2018-03-01,756240.0,19.13,20.2754,20.17,19.0
2018-03-02,459684.0,18.73,19.2575,19.02,18.58
2018-03-05,707172.0,18.63,18.865,18.54,17.91
2018-03-06,1077947.0,18.68,18.92,18.81,18.01
2018-03-07,2984094.0,17.46,18.37,16.249,16.02
2018-03-08,1047585.0,17.01,17.66,17.66,16.51
2018-03-09,707605.0,18.03,18.62,18.24,17.89
2018-03-12,419521.0,18.49,18.97,18.05,18.0368
2018-03-13,319198.0,18.87,18.9,18.62,18.29
2018-03-14,1086668.0,21.24,21.96,18.9,18.9
2018-03-15,626962.0,20.02,21.33,21.24,19.85
2018-03-16,415808.0,20.98,21.325,20.16,20.12
2018-03-19,429222.0,20.37,20.99,20.9,19.2
2018-03-20,250043.0,20.26,20.48,20.07,19.61
2018-03-21,431534.0,20.85,21.74,20.22,20.07
2018-03-22,328223.0,20.93,21.48,20.57,20.451
2018-03-23,265448.0,20.96,21.559,21.05,20.645
2018-03-26,358496.0,22.33,22.44,21.27,21.01
2018-03-27,797419.0,22.27,23.2,22.41,21.72
2018-03-28,414504.0,22.61,22.78,22.25,21.89
2018-03-29,328849.0,22.93,23.5,22.74,22.68
2018-04-02,919380.0,22.59,23.48,22.89,21.764
2018-04-03,467525.0,22.71,22.91,22.79,22.365
2018-04-04,377064.0,22.38,22.71,22.33,21.8
2018-04-05,290121.0,23.32,23.48,22.62,22.29
2018-04-06,209948.0,22.91,23.588,23.02,22.47
2018-04-09,660299.0,23.74,25.2248,23.13,23.05
2018-04-10,271085.0,23.98,24.58,24.05,23.3094
2018-04-11,494602.0,22.68,24.1596,23.9,22.31
2018-04-12,166345.0,23.22,23.74,22.76,22.644
2018-04-13,173877.0,23.4,23.83,23.42,23.01
2018-04-16,1258126.0,27.03,27.17,23.74,23.44
2018-04-17,2191041.0,30.1,31.18,27.26,27.26
2018-04-18,953384.0,29.78,31.35,30.34,29.1
2018-04-19,452983.0,29.69,30.83,29.55,29.501
2018-04-20,220419.0,29.37,30.12,29.76,29.0
2018-04-23,505961.0,29.96,30.8625,29.53,29.401
2018-04-24,1888559.0,28.08,29.62,28.12,27.82
2018-04-25,1433493.0,29.26,29.5,27.85,27.7
2018-04-26,5793544.0,27.48,28.0,27.05,26.76
2018-04-27,2206198.0,27.45,27.958,27.62,27.13
2018-04-30,1827429.0,26.21,27.7368,27.72,25.95
2018-05-01,560951.0,26.99,27.25,26.28,25.72
2018-05-02,797934.0,26.7,27.38,27.08,26.23
2018-05-03,633903.0,26.18,27.48,26.55,25.95
2018-05-04,1165474.0,25.47,26.7766,26.21,25.35
2018-05-07,1173569.0,25.24,25.82,25.5,24.76
2018-05-08,968289.0,24.97,25.76,25.0,24.87
2018-05-09,2251282.0,24.76,25.26,24.91,24.0301
2018-05-10,3708633.0,26.78,29.0,29.0,26.75
2018-05-11,931985.0,27.5,27.85,26.85,26.09
2018-05-14,1022123.0,27.18,28.5,27.69,27.15
2018-05-15,1723851.0,26.47,27.07,27.07,25.0501
