date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,1354500.0,83.75,83.75,83.69,82.69
2000-07-17,1430900.0,82.67,84.5,84.0,82.63
2000-07-18,1896800.0,81.44,83.44,82.06,80.94
2000-07-19,1245900.0,81.94,82.25,81.88,81.63
2000-07-20,1363300.0,80.0,82.0,82.0,80.0
2000-07-21,1683500.0,78.5,80.25,80.0,78.5
2000-07-24,2236000.0,77.38,78.94,78.69,77.31
2000-07-25,2034300.0,77.31,78.13,78.0,76.88
2000-07-26,2702100.0,77.31,79.0,78.5,77.31
2000-07-27,2450900.0,80.94,81.13,78.0,77.94
2000-07-28,1436600.0,80.58,82.38,81.25,80.25
2000-07-31,1559300.0,78.98,81.81,80.0,78.69
2000-08-01,1445800.0,78.88,80.19,78.5,78.5
2000-08-02,1869600.0,79.81,80.25,79.38,79.38
2000-08-03,1556900.0,80.0,81.0,80.25,78.88
2000-08-04,1641500.0,79.33,80.25,78.69,77.63
2000-08-07,1103300.0,80.7,81.56,79.69,79.63
2000-08-08,1054100.0,80.36,80.75,80.0,79.69
2000-08-09,2030300.0,82.59,83.25,81.5,81.06
2000-08-10,1274400.0,83.88,84.31,82.63,82.63
2000-08-11,1547300.0,84.0,84.56,83.81,83.13
2000-08-14,1253800.0,84.38,84.69,83.25,83.25
2000-08-15,1059000.0,83.5,85.25,84.5,83.5
2000-08-16,1775000.0,85.06,85.06,83.63,83.63
2000-08-17,1540100.0,87.19,87.75,85.44,85.13
2000-08-18,1553400.0,86.03,86.88,85.69,85.69
2000-08-21,749400.0,86.75,87.19,86.19,85.5
2000-08-22,951800.0,86.63,87.69,87.0,86.25
2000-08-23,2339000.0,88.88,89.69,87.63,87.19
2000-08-24,1537800.0,86.19,86.94,86.63,85.88
2000-08-25,1258200.0,86.88,87.5,86.56,85.69
2000-08-28,918800.0,86.94,88.06,86.13,85.88
2000-08-29,862200.0,86.0,87.38,86.88,85.94
2000-08-30,943200.0,85.11,85.94,85.81,84.94
2000-08-31,1304900.0,84.52,85.94,85.63,84.38
2000-09-01,1638500.0,85.47,86.56,84.69,84.69
2000-09-05,860800.0,85.94,87.19,86.31,85.44
2000-09-06,1397000.0,88.13,88.69,86.56,86.56
2000-09-07,1725000.0,88.31,89.5,89.5,88.19
2000-09-08,1370300.0,86.69,87.94,87.38,86.25
2000-09-11,1739500.0,89.31,90.0,86.69,86.69
2000-09-12,1690700.0,88.56,89.5,88.88,87.94
2000-09-13,1252400.0,88.63,89.44,88.75,88.13
2000-09-14,788300.0,87.58,88.63,88.63,87.31
2000-09-15,3718800.0,90.19,91.44,87.75,87.75
2000-09-18,2540900.0,90.0,92.31,90.88,90.0
2000-09-19,1909900.0,88.06,89.69,89.63,88.06
2000-09-20,3527500.0,87.0,90.63,89.38,86.69
2000-09-21,2353300.0,85.31,86.81,86.63,84.63
2000-09-22,2243300.0,84.25,86.44,85.13,83.69
2000-09-25,2241700.0,82.79,83.69,83.0,81.56
2000-09-26,2141700.0,83.31,84.81,83.75,83.06
2000-09-27,1675700.0,85.44,85.63,83.44,82.81
2000-09-28,1834100.0,84.14,85.94,85.44,84.0
2000-09-29,1352200.0,85.25,86.88,84.69,84.69
2000-10-02,1159700.0,86.69,87.56,86.19,85.88
2000-10-03,1212600.0,86.88,87.75,87.19,86.44
2000-10-04,1445500.0,84.81,87.56,87.5,84.5
2000-10-05,1489500.0,85.5,85.81,84.81,83.44
2000-10-06,1271200.0,84.38,87.19,85.5,83.81
2000-10-09,850600.0,86.0,86.38,84.81,84.81
2000-10-10,1552900.0,87.19,88.0,86.5,85.69
2000-10-11,3047600.0,86.63,88.94,88.94,86.06
2000-10-12,4489400.0,87.31,88.56,86.63,86.56
2000-10-13,2014300.0,84.25,86.94,86.69,84.0
2000-10-16,8955500.0,82.0,82.06,80.0,78.5
2000-10-17,4331400.0,82.88,82.88,81.5,80.75
