date,5. volume,4. close,2. high,1. open,3. low
2016-10-07,11437686.0,22.5,24.35,23.75,22.03
2016-10-10,946205.0,22.26,22.99,22.61,22.0
2016-10-11,713714.0,21.7,22.305,22.16,21.6
2016-10-12,742749.0,21.4,21.8,21.62,21.1
2016-10-13,665763.0,21.0,21.5,21.5,20.83
2016-10-14,285277.0,21.06,21.186,21.05,20.85
2016-10-17,321013.0,20.52,21.03,21.03,20.45
2016-10-18,284453.0,21.15,21.36,20.58,20.5
2016-10-19,373442.0,21.36,21.56,21.27,21.07
2016-10-20,295042.0,21.68,21.75,21.75,21.15
2016-10-21,314343.0,21.92,22.18,21.55,21.53
2016-10-24,384022.0,22.47,23.0,22.15,22.0
2016-10-25,154970.0,22.76,22.97,22.4,22.4
2016-10-26,141965.0,22.69,23.03,23.03,22.45
2016-10-27,240207.0,22.26,22.84,22.82,22.0
2016-10-28,191100.0,22.36,22.7,22.09,22.08
2016-10-31,163277.0,22.36,22.6799,22.46,22.15
2016-11-01,273187.0,21.94,22.49,22.21,21.9
2016-11-02,467842.0,21.58,22.54,21.95,21.5
2016-11-03,175240.0,21.66,21.868,21.55,21.41
2016-11-04,254544.0,22.03,22.16,21.66,21.6
2016-11-07,109346.0,21.28,22.255,22.15,21.28
2016-11-08,166820.0,21.01,21.5,21.21,20.895
2016-11-09,168701.0,21.94,21.98,20.71,20.51
2016-11-10,230563.0,22.27,22.46,22.16,21.9301
2016-11-11,1044200.0,24.07,24.38,22.605,22.32
2016-11-14,526787.0,24.5,24.97,24.5,24.22
2016-11-15,225617.0,23.98,24.61,24.48,23.07
2016-11-16,99345.0,24.0,24.31,24.2,23.44
2016-11-17,121559.0,23.99,24.66,24.24,23.93
2016-11-18,91502.0,23.98,24.22,23.95,23.485
2016-11-21,100084.0,24.1,24.3249,24.32,23.89
2016-11-22,326500.0,25.23,25.28,24.1,24.1
2016-11-23,276305.0,26.11,26.3476,24.98,24.98
2016-11-25,89158.0,26.92,27.0668,26.13,25.91
2016-11-28,137750.0,26.84,27.0267,26.97,26.4221
2016-11-29,423255.0,27.67,27.89,27.45,26.95
2016-11-30,215929.0,27.9,28.22,27.88,27.67
2016-12-01,244855.0,27.79,28.1902,28.0,27.0
2016-12-02,193410.0,27.07,27.894,27.86,26.68
2016-12-05,212610.0,27.04,27.61,27.18,26.74
2016-12-06,189473.0,27.21,27.38,26.99,26.79
2016-12-07,161163.0,28.05,28.24,27.3,27.08
2016-12-08,311158.0,28.76,29.14,28.4,28.05
2016-12-09,420375.0,30.26,30.34,28.97,28.904
2016-12-12,374152.0,30.95,31.33,30.5,30.3614
2016-12-13,493743.0,30.6,31.54,31.44,30.18
2016-12-14,542739.0,30.07,30.64,30.51,29.75
2016-12-15,647717.0,31.57,33.0312,30.29,30.08
2016-12-16,1814073.0,31.77,32.7,31.96,31.21
2016-12-19,316939.0,31.84,32.35,32.0,31.51
2016-12-20,246323.0,32.06,32.3,31.97,31.55
2016-12-21,228412.0,32.36,32.61,32.2,31.57
2016-12-22,252593.0,32.31,33.31,33.0048,32.11
2016-12-23,168124.0,32.27,32.6,32.5,31.75
2016-12-27,309515.0,33.23,33.5,32.43,32.32
2016-12-28,304014.0,32.85,33.59,33.56,32.14
2016-12-29,259427.0,32.09,33.27,33.04,32.0
2016-12-30,179328.0,32.59,32.74,32.05,32.05
2017-01-03,279269.0,32.87,34.14,34.07,32.2
2017-01-04,346742.0,34.21,34.29,32.93,32.56
2017-01-05,344392.0,33.23,34.07,34.07,33.11
2017-01-06,364722.0,32.8,33.455,33.39,32.75
2017-01-09,327283.0,32.41,32.75,32.75,32.11
2017-01-10,206103.0,32.2,32.68,32.47,32.18
2017-01-11,370700.0,32.2,32.63,32.33,31.35
2017-01-12,173426.0,31.73,32.25,32.08,31.54
2017-01-13,332162.0,30.8,31.8975,31.75,30.76
2017-01-17,315131.0,31.27,31.29,30.7,29.411
2017-01-18,162303.0,31.27,31.6004,31.41,30.94
2017-01-19,276620.0,30.69,31.4687,31.27,30.66
2017-01-20,160541.0,31.22,31.35,30.87,30.505
2017-01-23,175045.0,31.73,31.85,31.27,31.2
2017-01-24,96143.0,31.58,31.91,31.9,31.43
2017-01-25,140284.0,31.15,31.8642,31.65,30.89
2017-01-26,177846.0,32.23,32.31,31.09,31.08
2017-01-27,78159.0,32.32,32.37,32.02,31.75
2017-01-30,220885.0,32.76,33.29,32.12,31.75
2017-01-31,221571.0,31.48,32.8117,32.75,31.0
2017-02-01,114770.0,32.05,32.4499,31.63,31.555
2017-02-02,107715.0,31.81,32.48,32.0,31.575
2017-02-03,176012.0,31.89,32.5,31.96,31.77
2017-02-06,143332.0,31.75,32.07,32.01,31.54
2017-02-07,82853.0,31.37,31.99,31.75,31.28
2017-02-08,184018.0,31.8,31.81,31.37,30.75
2017-02-09,220977.0,33.14,33.14,31.95,31.59
2017-02-10,125748.0,33.09,33.64,33.42,32.83
2017-02-13,115313.0,32.74,33.4,33.23,32.51
2017-02-14,87237.0,33.19,33.2692,32.65,32.23
2017-02-15,221057.0,34.35,34.609,33.27,33.27
2017-02-16,219009.0,33.63,35.85,35.49,33.351
