date,5. volume,4. close,2. high,1. open,3. low
2006-05-22,197100.0,37.23,37.29,36.52,35.87
2006-05-23,620900.0,37.96,39.22,37.75,37.75
2006-05-24,638600.0,36.52,37.57,37.13,35.87
2006-05-25,367000.0,38.32,38.32,37.18,36.98
2006-05-26,269400.0,38.5504,38.74,38.74,37.7703
2006-05-30,559100.0,38.17,39.72,39.5,38.11
2006-05-31,350700.0,38.85,39.13,38.9,38.12
2006-06-01,641300.0,38.53,38.58,37.65,37.17
2006-06-02,277300.0,39.13,39.39,39.31,38.8
2006-06-05,436000.0,38.13,40.27,39.36,38.095
2006-06-06,663600.0,37.01,38.03,38.03,36.716
2006-06-07,484100.0,36.14,37.55,36.07,35.82
2006-06-08,812800.0,35.27,35.38,35.27,33.62
2006-06-09,462300.0,35.13,36.19,35.75,34.86
2006-06-12,584700.0,33.78,35.63,35.0,33.76
2006-06-13,1580900.0,32.2,33.15,32.97,31.82
2006-06-14,646800.0,33.03,33.5,32.85,32.25
2006-06-15,882200.0,34.94,35.05,34.4,34.0
2006-06-16,602300.0,34.57,35.0,35.0,34.3
2006-06-19,366100.0,33.6,34.47,34.27,33.57
2006-06-20,388500.0,34.34,34.73,33.91,33.6
2006-06-21,551000.0,35.86,36.04,34.6,34.6
2006-06-22,590000.0,35.64,36.21,36.0,35.17
2006-06-23,467800.0,36.28,36.5,35.17,35.15
2006-06-26,301500.0,36.63,36.8,36.75,36.15
2006-06-27,470200.0,35.48,37.05,36.97,35.44
2006-06-28,415200.0,35.31,35.93,35.7,35.0
2006-06-29,588500.0,37.96,37.96,35.95,35.94
2006-06-30,1069400.0,38.7,39.06,38.7,38.32
2006-07-03,561200.0,40.23,40.23,39.4,39.32
2006-07-05,685600.0,39.37,40.46,40.2,38.85
2006-07-06,411100.0,39.73,39.99,39.5,39.04
2006-07-07,500500.0,39.03,39.88,39.68,38.95
2006-07-10,401400.0,38.67,39.13,38.39,38.25
2006-07-11,512700.0,39.76,39.76,39.15,38.79
2006-07-12,519500.0,39.49,40.46,40.11,39.37
2006-07-13,647900.0,38.33,39.5,39.48,38.28
2006-07-14,671200.0,38.97,39.13,38.9,38.34
2006-07-17,777700.0,37.4,38.6722,38.32,37.4
2006-07-18,809900.0,37.0,37.96,37.89,36.43
2006-07-19,517600.0,38.44,38.51,36.9,36.9
2006-07-20,415200.0,36.83,38.33,38.21,36.83
2006-07-21,646200.0,35.81,37.3,37.08,35.81
2006-07-24,1086500.0,36.69,36.82,35.5,35.19
2006-07-25,949400.0,37.69,37.79,36.83,36.42
2006-07-26,361800.0,38.36,38.39,37.49,37.18
2006-07-27,518000.0,37.5,39.37,39.35,37.37
2006-07-28,371400.0,38.78,38.78,37.78,37.6901
2006-07-31,233900.0,38.76,38.86,38.73,38.23
2006-08-01,536600.0,39.75,39.75,38.59,38.3
2006-08-02,944300.0,40.66,40.7,40.34,39.81
2006-08-03,496400.0,39.91,40.45,40.29,39.56
2006-08-04,501700.0,39.5901,40.77,40.67,39.54
2006-08-07,279900.0,40.12,40.42,39.8,39.72
2006-08-08,361100.0,39.72,40.45,39.99,39.5654
2006-08-09,631000.0,40.58,40.864,40.04,39.8
2006-08-10,745500.0,39.75,40.38,40.3,39.19
2006-08-11,512100.0,38.69,40.24,40.1,38.68
2006-08-14,420300.0,38.04,38.84,38.52,37.88
2006-08-15,298300.0,38.56,38.72,38.15,38.15
2006-08-16,199600.0,39.19,39.4616,39.23,39.0629
2006-08-17,277300.0,38.28,39.09,39.05,38.02
2006-08-18,317100.0,38.38,38.55,38.55,37.62
2006-08-21,408400.0,40.29,40.29,39.15,39.0
2006-08-22,304100.0,40.49,40.5,40.17,39.67
2006-08-23,402700.0,40.38,41.22,40.95,40.2301
2006-08-24,327300.0,39.75,40.69,40.6,39.6
2006-08-25,188200.0,39.98,40.34,40.1,39.8
2006-08-28,345900.0,39.09,39.88,39.87,39.05
2006-08-29,853100.0,39.35,39.35,39.05,38.45
2006-08-30,525600.0,39.51,40.1,39.86,39.1001
2006-08-31,535200.0,40.59,40.6,40.29,40.02
2006-09-01,241700.0,40.89,41.08,40.25,40.01
2006-09-05,669700.0,42.1,42.17,41.65,41.5
2006-09-06,664700.0,41.7,42.58,41.84,41.56
2006-09-07,851900.0,40.3,40.97,40.5,40.21
2006-09-08,754000.0,39.24,39.6,39.6,39.1
2006-09-11,1646500.0,36.4,37.78,37.51,36.2572
2006-09-12,725900.0,36.07,36.95,36.41,35.73
2006-09-13,387200.0,36.35,36.74,36.36,36.15
2006-09-14,860000.0,34.95,36.64,36.5,34.77
2006-09-15,784400.0,35.23,35.4699,35.01,34.34
2006-09-18,625000.0,36.15,36.24,35.11,35.11
2006-09-19,615000.0,34.68,36.05,35.9,34.63
2006-09-20,1136600.0,34.36,35.28,35.02,34.3
2006-09-21,453900.0,34.8,35.1199,34.7,34.21
2006-09-22,886000.0,34.85,35.65,35.65,34.8
2006-09-25,711100.0,34.46,34.84,34.79,33.86
2006-09-26,814100.0,35.6299,35.64,34.56,34.49
2006-09-27,594900.0,36.39,36.41,36.04,35.23
2006-09-28,499300.0,35.96,36.69,36.41,35.96
2006-09-29,342000.0,35.65,36.22,35.4,35.3997
2006-10-02,275600.0,35.73,36.44,35.95,35.55
2006-10-03,1277500.0,33.46,34.7,34.62,33.38
2006-10-04,1014300.0,33.77,33.77,33.4,32.41
2006-10-05,642500.0,34.51,34.8,34.46,34.04
2006-10-06,458800.0,34.37,34.86,34.48,33.77
2006-10-09,477700.0,34.1,35.07,35.0,34.07
2006-10-10,473800.0,34.43,34.69,33.5317,33.53
2006-10-11,510400.0,33.81,34.6,34.6,33.78
2006-10-12,626200.0,34.7,34.78,33.76,33.72
2006-10-13,977200.0,35.79,35.8,35.41,35.16
2006-10-16,946300.0,36.05,36.2,36.2,35.41
2006-10-17,402300.0,35.8,35.99,35.99,35.1402
2006-10-18,336200.0,35.18,35.99,35.99,35.1
2006-10-19,782900.0,36.34,36.45,35.65,35.59
2006-10-20,492400.0,35.74,36.6,36.29,35.73
2006-10-23,481800.0,36.08,36.08,35.18,35.07
2006-10-24,675900.0,36.33,36.6,35.51,35.51
2006-10-25,1022900.0,37.35,37.35,36.2,36.01
2006-10-26,985300.0,37.27,37.64,37.5,36.91
2006-10-27,564400.0,36.84,37.57,37.2,36.84
2006-10-30,522300.0,37.01,38.04,38.04,37.01
2006-10-31,837600.0,37.96,37.97,37.01,37.0
2006-11-01,856800.0,38.04,38.88,38.53,37.75
2006-11-02,551500.0,38.34,38.8,38.15,37.92
2006-11-03,1442500.0,38.8,38.95,38.3,38.25
2006-11-06,860200.0,38.43,39.25,38.9,38.41
2006-11-07,365200.0,38.55,38.95,38.76,38.3
2006-11-08,341100.0,38.26,38.68,38.3,37.92
2006-11-09,585600.0,39.9,39.97,38.85,38.64
2006-11-10,681900.0,39.01,39.71,39.56,38.79
2006-11-13,492200.0,38.92,38.9389,38.26,38.05
2006-11-14,578000.0,38.4,39.28,39.26,38.31
2006-11-15,553300.0,38.88,39.06,37.91,37.75
2006-11-16,1309500.0,37.32,39.04,38.95,37.32
2006-11-17,672900.0,37.35,37.67,37.04,36.67
2006-11-20,343900.0,37.32,38.17,37.86,37.2542
2006-11-21,845400.0,38.69,38.74,37.89,37.87
2006-11-22,463300.0,38.84,39.5164,39.22,38.59
2006-11-24,589200.0,39.9,40.21,39.93,39.65
2006-11-27,545700.0,39.96,40.45,40.29,39.86
2006-11-28,817000.0,40.4,40.4,39.99,39.7
2006-11-29,825500.0,40.53,40.53,40.19,40.0342
2006-11-30,1448500.0,41.98,41.98,41.17,41.03
2006-12-01,1237500.0,41.54,41.9896,41.85,41.22
2006-12-04,1141800.0,42.09,42.12,41.74,41.21
2006-12-05,960500.0,41.58,42.32,42.1,41.24
2006-12-06,804600.0,40.91,41.6344,40.96,40.8
2006-12-07,1242700.0,41.25,41.49,41.07,40.22
2006-12-08,790400.0,40.5,41.62,41.55,40.3
2006-12-11,518300.0,40.83,41.07,40.45,40.45
2006-12-12,873400.0,40.36,40.7,40.54,39.842
2006-12-13,585200.0,40.4,40.57,40.25,39.83
2006-12-14,1725400.0,40.55,40.7,40.43,40.17
2006-12-15,1263400.0,39.76,40.789,40.58,39.51
2006-12-18,729500.0,39.32,39.89,39.73,39.19
2006-12-19,851600.0,40.42,40.42,39.3,39.3
2006-12-20,1064200.0,39.56,40.45,40.42,39.5
2006-12-21,1078800.0,39.0,39.57,39.54,38.61
2006-12-22,611300.0,38.69,38.95,38.95,38.3077
2006-12-26,439800.0,39.03,39.66,39.25,38.87
2006-12-27,307800.0,39.79,39.79,39.47,39.27
2006-12-28,405000.0,40.17,40.35,40.05,39.88
2006-12-29,768100.0,39.88,40.0,40.0,39.55
2007-01-03,950700.0,38.43,40.23,40.19,38.11
2007-01-04,680300.0,37.72,38.24,38.1,37.53
2007-01-05,1869400.0,37.21,37.3356,36.89,36.65
2007-01-08,946900.0,37.3,37.4388,37.3,36.77
2007-01-09,742800.0,37.05,37.2,36.75,36.25
2007-01-10,831500.0,36.61,36.8,36.27,36.19
2007-01-11,1044200.0,36.93,37.4646,36.77,36.69
2007-01-12,695700.0,37.9,37.96,37.05,36.95
2007-01-16,472300.0,37.52,38.0,37.97,37.25
2007-01-17,703000.0,37.7,38.02,37.52,37.36
2007-01-18,729900.0,36.97,38.24,37.96,36.85
2007-01-19,484200.0,37.53,37.7,37.2,36.99
2007-01-22,534600.0,37.27,37.89,37.58,37.01
2007-01-23,1458100.0,39.1,39.1,38.2,38.06
2007-01-24,704800.0,39.56,39.56,38.82,38.3389
2007-01-25,1179800.0,39.11,40.1,39.81,38.87
2007-01-26,445200.0,39.2,39.24,39.15,38.5
2007-01-29,1024700.0,38.55,39.29,38.82,38.3701
2007-01-30,530200.0,38.97,39.07,38.8,38.55
2007-01-31,643000.0,39.6,39.78,38.97,38.961
2007-02-01,700600.0,39.85,40.42,40.14,39.83
2007-02-02,640900.0,39.3172,39.5,39.33,38.95
2007-02-05,242900.0,39.48,39.6344,39.6,39.25
2007-02-06,260900.0,39.73,40.02,39.91,39.4199
2007-02-07,391900.0,39.31,39.9,39.55,39.13
2007-02-08,920300.0,40.26,40.26,39.3,39.07
2007-02-09,917900.0,40.11,40.81,40.42,39.92
2007-02-12,434118.0,39.61,40.32,39.94,39.41
2007-02-13,363388.0,40.23,40.37,40.23,40.02
2007-02-14,473701.0,40.89,40.96,40.6,40.3401
2007-02-15,446300.0,41.2,41.2,40.9,40.66
2007-02-16,368100.0,40.94,41.027,40.8,40.71
2007-02-20,853500.0,40.08,40.3799,40.32,39.85
2007-02-21,1071000.0,41.57,41.81,40.32,40.15
2007-02-22,660900.0,41.8,42.23,42.0,41.56
2007-02-23,1077200.0,41.83,43.32,42.4,41.76
2007-02-26,589104.0,42.35,42.49,42.4438,41.9
2007-02-27,1639800.0,39.35,41.46,41.25,38.73
2007-02-28,1259900.0,39.9,40.12,39.4,38.83
2007-03-01,614392.0,39.15,39.799,38.78,38.66
2007-03-02,1297100.0,37.68,39.03,38.5,37.66
2007-03-05,878300.0,36.92,37.84,36.7,36.25
2007-03-06,965900.0,38.08,38.2175,37.59,37.59
2007-03-07,1060000.0,38.09,38.72,38.1,37.99
2007-03-08,630400.0,38.35,38.79,38.65,38.0801
2007-03-09,576800.0,38.03,38.7,38.7,37.97
2007-03-12,780000.0,38.65,38.73,38.02,37.93
2007-03-13,1068600.0,37.15,38.75,38.5699,37.06
2007-03-14,1172600.0,37.36,37.48,37.01,36.46
2007-03-15,1055100.0,38.24,38.44,37.68,37.68
2007-03-16,1329200.0,38.36,39.03,38.65,38.15
2007-03-19,651533.0,38.85,39.03,38.67,38.6
2007-03-20,671456.0,39.22,39.47,39.44,39.0501
2007-03-21,399700.0,40.11,40.11,39.48,39.06
2007-03-22,584550.0,39.97,40.38,40.33,39.84
2007-03-23,430800.0,39.83,40.0,39.91,39.48
2007-03-26,514469.0,40.14,40.28,40.28,39.6201
2007-03-27,505600.0,39.45,39.9425,39.88,39.4
2007-03-28,554000.0,39.64,39.95,39.72,39.46
2007-03-29,689100.0,39.45,39.8254,39.6,39.2
2007-03-30,399500.0,39.57,39.8,39.7,39.3605
2007-04-02,410200.0,40.15,40.15,39.38,39.19
2007-04-03,921600.0,40.48,40.7352,40.08,40.0
2007-04-04,435045.0,41.19,41.29,40.74,40.74
2007-04-05,457700.0,41.17,41.5,41.25,41.08
2007-04-09,341800.0,41.05,41.63,41.25,40.93
2007-04-10,294100.0,41.38,41.73,41.6,41.29
2007-04-11,1485950.0,41.1,41.99,41.8,40.84
2007-04-12,446716.0,41.28,41.28,41.16,40.81
2007-04-13,854834.0,42.35,42.6,41.55,41.5101
2007-04-16,694918.0,42.88,42.88,42.52,42.44
2007-04-17,539060.0,42.29,42.77,42.6,42.26
2007-04-18,472900.0,42.09,42.49,42.41,42.0
2007-04-19,1269650.0,41.07,41.42,41.11,40.25
2007-04-20,357900.0,41.47,41.86,41.65,41.325
2007-04-23,440630.0,41.09,41.54,41.47,40.98
2007-04-24,1293900.0,40.55,41.09,41.04,40.35
2007-04-25,813730.0,41.01,41.1399,40.8399,40.58
2007-04-26,1033789.0,40.06,40.6,40.6,39.92
2007-04-27,408800.0,40.34,40.43,40.16,40.04
2007-04-30,387800.0,39.5573,40.39,40.39,39.5
2007-05-01,689800.0,39.3,39.58,39.45,38.95
2007-05-02,829839.0,40.36,40.4,39.16,39.11
2007-05-03,580789.0,40.71,40.89,40.4,40.0743
2007-05-04,394032.0,40.71,41.4,41.12,40.63
2007-05-07,387264.0,40.98,41.37,41.22,40.98
2007-05-08,724100.0,40.75,40.78,40.76,40.27
2007-05-09,365668.0,40.6,40.99,40.51,40.3701
2007-05-10,901422.0,39.48,40.31,40.31,39.35
2007-05-11,430800.0,39.75,40.0424,39.82,39.67
2007-05-14,1028700.0,39.16,40.12,40.11,38.96
2007-05-15,422000.0,39.07,39.66,39.0601,38.98
2007-05-16,1004250.0,38.44,39.05,38.96,38.14
2007-05-17,1301880.0,38.26,38.54,38.36,38.05
2007-05-18,752715.0,39.01,39.21,38.66,38.53
2007-05-21,1060850.0,39.47,39.75,38.85,38.85
2007-05-22,388926.0,38.86,39.5,39.5,38.75
2007-05-23,706000.0,39.32,39.65,39.24,39.11
2007-05-24,1005200.0,38.09,39.29,39.1,37.98
2007-05-25,476443.0,38.26,38.47,38.22,37.91
2007-05-29,665852.0,37.95,38.63,38.5,37.91
2007-05-30,641000.0,37.99,38.03,37.86,37.5
2007-05-31,782750.0,39.16,39.2,38.25,38.18
2007-06-01,1548000.0,40.06,40.14,39.73,39.713
2007-06-04,656820.0,40.05,40.14,40.0,39.71
2007-06-05,724000.0,39.73,40.03,39.77,39.47
2007-06-06,1056985.0,39.33,39.66,39.5,39.0
2007-06-07,1552642.0,38.01,39.33,39.2,37.97
2007-06-08,1027600.0,38.29,38.51,37.91,37.4
2007-06-11,709048.0,38.23,38.53,38.2,37.9
2007-06-12,971200.0,37.43,38.03,37.77,37.3
2007-06-13,1161400.0,37.99,37.99,37.56,37.41
2007-06-14,468900.0,38.38,38.51,38.1699,38.04
2007-06-15,620100.0,39.09,39.14,38.78,38.54
2007-06-18,747450.0,38.98,39.28,39.2,38.9
2007-06-19,757200.0,39.47,39.47,38.81,38.74
2007-06-20,600700.0,38.94,39.4,39.4,38.6201
2007-06-21,827400.0,39.15,39.15,38.78,38.14
2007-06-22,848800.0,38.79,39.09,38.86,38.39
2007-06-25,867185.0,37.85,39.23,38.55,37.83
2007-06-26,1323320.0,37.1,37.86,37.86,36.72
2007-06-27,1252700.0,37.4,37.4,37.06,36.63
2007-06-28,495100.0,37.63,38.089,37.4,37.4
2007-06-29,508500.0,37.89,38.02,37.76,37.62
2007-07-02,727380.0,38.84,38.84,38.33,38.26
2007-07-03,299679.0,38.73,38.8816,38.79,38.56
2007-07-05,816300.0,39.25,39.25,38.91,38.6
2007-07-06,1608300.0,40.53,40.56,39.3,39.25
2007-07-09,1353900.0,40.88,41.236,40.92,40.72
2007-07-10,914125.0,40.66,41.09,40.82,40.5
2007-07-11,720400.0,40.66,40.66,40.42,40.16
2007-07-12,1065100.0,41.28,41.37,40.82,40.58
2007-07-13,583700.0,41.31,41.62,41.34,41.21
2007-07-16,700950.0,41.06,41.39,41.39,40.59
