date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,296900.0,44.75,45.25,44.88,44.63
2000-07-17,272200.0,43.81,44.75,44.75,43.44
2000-07-18,305900.0,44.75,44.88,43.81,43.69
2000-07-19,425700.0,45.19,45.81,44.88,44.75
2000-07-20,257600.0,44.5,45.75,45.25,44.44
2000-07-21,278500.0,43.13,44.5,44.25,43.13
2000-07-24,423600.0,43.19,43.56,42.88,42.5
2000-07-25,426100.0,44.19,45.38,43.31,43.31
2000-07-26,1242900.0,46.5,47.94,44.38,44.38
2000-07-27,526300.0,45.75,47.44,46.5,45.5
2000-07-28,349200.0,46.56,46.88,45.88,45.56
2000-07-31,661800.0,46.25,46.88,46.56,45.88
2000-08-01,342400.0,46.25,46.69,46.06,46.0
2000-08-02,474300.0,46.25,46.56,46.31,45.56
2000-08-03,294700.0,46.38,46.94,46.44,46.06
2000-08-04,332900.0,46.88,47.06,46.5,46.0
2000-08-07,300100.0,46.75,46.88,46.75,45.5
2000-08-08,243700.0,46.44,46.44,46.31,45.69
2000-08-09,244200.0,46.13,46.31,46.19,45.25
2000-08-10,348700.0,47.0,47.81,46.25,46.25
2000-08-11,270900.0,46.69,47.75,47.25,46.31
2000-08-14,238300.0,46.31,46.75,46.56,46.0
2000-08-15,187700.0,46.19,46.94,46.25,46.13
2000-08-16,425300.0,45.88,46.13,46.06,45.19
2000-08-17,232500.0,45.44,45.88,45.19,45.19
2000-08-18,630800.0,44.5,45.44,45.38,44.44
2000-08-21,501700.0,45.0,45.25,44.5,44.31
2000-08-22,289900.0,44.56,45.13,45.06,44.19
2000-08-23,222000.0,44.88,44.94,44.25,44.06
2000-08-24,267600.0,44.44,44.94,44.75,44.38
2000-08-25,552400.0,43.75,44.88,44.38,43.75
2000-08-28,768800.0,44.13,44.69,43.94,43.81
2000-08-29,313100.0,44.0,44.44,44.19,43.81
2000-08-30,446900.0,43.13,44.19,44.19,43.13
2000-08-31,346100.0,42.69,43.13,43.13,42.25
2000-09-01,862100.0,42.44,43.0,43.0,41.56
2000-09-05,901400.0,42.13,42.63,42.38,41.56
2000-09-06,671600.0,44.44,45.13,42.63,42.38
2000-09-07,460200.0,44.75,45.19,44.44,44.06
2000-09-08,269700.0,44.81,45.0,44.56,44.25
2000-09-11,213200.0,44.19,45.19,45.19,44.13
2000-09-12,268900.0,45.13,45.25,44.13,44.0
2000-09-13,292400.0,45.25,45.31,44.75,44.5
2000-09-14,704400.0,45.63,45.94,45.19,45.06
2000-09-15,674600.0,46.81,46.94,45.63,45.63
2000-09-18,1003200.0,48.13,48.94,48.88,47.44
2000-09-19,600400.0,48.56,48.63,48.0,47.88
2000-09-20,568700.0,49.13,49.13,48.44,47.5
2000-09-21,554600.0,49.75,50.19,48.94,48.94
2000-09-22,514700.0,50.94,52.06,49.94,49.81
2000-09-25,449800.0,49.44,50.75,50.69,49.25
2000-09-26,450500.0,50.13,50.5,49.31,49.31
2000-09-27,637600.0,52.19,52.75,50.5,50.25
2000-09-28,745900.0,53.5,54.38,52.63,52.56
2000-09-29,605100.0,54.13,54.69,53.56,53.44
2000-10-02,514000.0,52.5,53.75,53.69,51.5
2000-10-03,839600.0,50.88,52.44,52.38,50.81
2000-10-04,687700.0,51.63,51.63,51.0,50.63
2000-10-05,284500.0,52.38,52.88,52.0,51.81
2000-10-06,314400.0,52.75,53.25,52.5,52.25
2000-10-09,293500.0,53.63,53.75,52.63,52.63
2000-10-10,362600.0,52.63,53.69,53.63,52.44
2000-10-11,377400.0,52.81,53.25,52.19,52.13
2000-10-12,323200.0,52.19,52.81,52.81,51.63
2000-10-13,526600.0,50.69,52.56,52.06,50.44
2000-10-16,751400.0,51.13,51.69,51.0,50.13
2000-10-17,561800.0,50.19,51.31,51.13,50.0
2000-10-18,354700.0,50.31,50.44,50.19,49.63
2000-10-19,371400.0,49.31,50.75,50.31,49.0
2000-10-20,253600.0,48.75,49.38,49.25,48.56
2000-10-23,361100.0,49.75,50.25,49.25,48.44
2000-10-24,739100.0,51.56,51.94,50.13,50.13
2000-10-25,1138300.0,52.69,53.0,50.31,49.25
2000-10-26,1027000.0,51.88,53.31,53.13,51.38
2000-10-27,293700.0,52.56,52.69,51.75,51.63
2000-10-30,532100.0,53.88,54.88,52.56,52.56
2000-10-31,708000.0,54.31,55.0,53.0,52.38
2000-11-01,514700.0,54.56,55.5,54.56,54.06
2000-11-02,497100.0,53.75,54.63,54.56,53.63
2000-11-03,329000.0,54.31,54.63,53.81,53.69
2000-11-06,688100.0,56.38,57.38,54.56,54.44
2000-11-07,486500.0,57.31,57.38,56.88,56.5
2000-11-08,820500.0,58.0,58.94,57.31,57.19
2000-11-09,587200.0,58.63,59.13,58.0,58.0
2000-11-10,1073600.0,60.38,61.0,58.69,58.69
2000-11-13,976800.0,59.81,60.25,60.13,58.94
2000-11-14,719600.0,59.0,59.69,59.69,58.44
2000-11-15,446300.0,59.88,60.44,58.44,58.31
2000-11-16,471000.0,60.69,61.13,59.94,59.63
2000-11-17,642700.0,60.0,61.13,60.56,59.81
2000-11-20,765000.0,59.06,60.81,60.06,59.06
2000-11-21,895700.0,59.56,59.63,59.13,58.13
2000-11-22,766500.0,59.69,60.69,59.81,58.81
2000-11-24,226500.0,59.31,59.69,59.69,59.13
2000-11-27,459400.0,60.5,60.94,59.38,59.0
2000-11-28,1323700.0,61.94,63.06,60.88,60.38
2000-11-29,1024700.0,64.38,64.38,62.13,61.88
2000-11-30,1163100.0,63.25,65.13,63.88,63.25
2000-12-01,753400.0,63.0,63.75,63.75,61.81
2000-12-04,634400.0,62.63,63.19,62.94,62.25
2000-12-05,806400.0,60.31,62.44,62.44,59.63
2000-12-06,842600.0,60.69,61.19,60.5,59.25
2000-12-07,647700.0,61.31,62.19,61.06,61.06
2000-12-08,470200.0,60.75,61.25,61.25,58.94
2000-12-11,1461300.0,58.0,60.0,60.0,57.69
2000-12-12,459500.0,58.0,58.63,58.06,57.63
2000-12-13,474300.0,59.13,59.31,58.06,57.81
2000-12-14,537900.0,59.25,60.31,58.94,58.56
2000-12-15,579400.0,58.69,59.75,58.75,58.63
2000-12-18,295000.0,60.81,60.94,58.88,58.88
2000-12-19,313500.0,61.25,61.94,60.81,60.69
2000-12-20,392400.0,61.63,62.44,61.25,61.25
2000-12-21,402100.0,61.5,62.13,61.38,61.13
2000-12-22,426400.0,61.69,62.0,61.5,60.94
2000-12-26,389800.0,64.38,64.94,61.88,61.56
2000-12-27,998400.0,65.63,66.44,64.44,64.44
2000-12-28,493300.0,65.44,66.0,65.5,64.38
2000-12-29,922100.0,64.38,65.94,65.44,64.38
2001-01-02,533000.0,65.13,66.13,64.19,64.19
2001-01-03,1224200.0,61.38,65.13,65.06,61.06
2001-01-04,1412000.0,57.0,61.31,61.19,55.13
2001-01-05,624700.0,57.75,58.44,57.38,56.75
2001-01-08,478100.0,59.19,59.44,58.0,57.5
2001-01-09,431700.0,59.25,59.44,59.0,58.44
2001-01-10,482200.0,58.5,59.25,59.13,58.0
2001-01-11,419300.0,57.31,58.5,58.38,57.31
2001-01-12,366300.0,57.19,57.44,57.31,55.88
2001-01-16,448100.0,58.88,58.94,57.56,57.56
2001-01-17,388100.0,57.88,59.0,59.0,57.69
2001-01-18,369100.0,58.25,58.81,58.0,57.94
2001-01-19,343100.0,57.25,58.0,58.0,56.75
2001-01-22,256300.0,57.0,57.31,56.88,56.5
2001-01-23,430400.0,57.31,58.44,57.75,57.06
2001-01-24,406800.0,58.44,58.63,57.5,57.31
2001-01-25,687900.0,58.38,58.75,58.56,58.0
2001-01-26,562100.0,58.5,59.38,58.56,57.94
2001-01-29,340000.0,59.31,59.75,58.75,58.57
2001-01-30,648300.0,59.01,61.0,61.0,58.7
2001-01-31,624500.0,59.5,59.75,59.25,58.71
2001-02-01,513200.0,59.8,60.14,59.55,58.7
2001-02-02,317300.0,59.81,60.25,59.8,59.4
2001-02-05,424100.0,60.7,61.81,60.0,59.88
2001-02-06,375800.0,61.05,61.2,60.55,60.35
2001-02-07,532600.0,62.0,62.0,61.25,60.9
2001-02-08,639200.0,63.64,63.9,61.95,61.95
2001-02-09,514400.0,64.04,64.3,63.7,63.65
2001-02-12,511200.0,64.67,64.67,64.03,63.8
2001-02-13,724600.0,64.92,65.05,64.67,63.8
2001-02-14,979800.0,63.52,64.75,64.75,62.55
2001-02-15,356900.0,63.23,63.52,63.52,62.45
2001-02-16,378000.0,64.39,64.5,63.35,63.35
2001-02-20,394600.0,65.0,65.5,64.0,63.58
2001-02-21,386100.0,63.95,64.6,64.52,63.45
2001-02-22,571900.0,63.01,64.33,63.96,62.59
2001-02-23,438600.0,62.82,63.35,63.19,62.31
2001-02-26,493700.0,63.92,63.92,63.2,62.72
2001-02-27,393500.0,63.9,64.0,63.47,63.31
2001-02-28,472200.0,64.09,64.1,63.75,63.6
2001-03-01,379800.0,64.9,65.15,64.1,64.08
2001-03-02,777900.0,63.5,65.0,64.91,62.0
2001-03-05,375900.0,64.0,64.0,63.85,62.75
2001-03-06,273600.0,63.54,63.55,63.45,62.6
2001-03-07,270400.0,63.72,63.72,63.48,63.09
2001-03-08,350000.0,64.5,64.5,63.75,63.32
2001-03-09,259500.0,64.65,64.95,64.7,64.38
2001-03-12,1101000.0,65.21,65.51,64.9,64.55
2001-03-13,721300.0,64.75,65.2,65.2,64.27
2001-03-14,553000.0,64.52,64.95,64.55,64.27
2001-03-15,532900.0,65.2,65.25,64.72,64.16
2001-03-16,860900.0,66.1,66.5,66.5,65.51
2001-03-19,701000.0,66.41,67.3,66.11,66.11
2001-03-20,558100.0,66.45,66.9,66.41,66.05
2001-03-21,693700.0,65.82,66.47,66.15,65.2
2001-03-22,676000.0,64.96,65.62,65.62,63.8
2001-03-23,604700.0,64.71,65.04,64.96,63.63
2001-03-26,465400.0,64.64,65.0,64.6,64.15
2001-03-27,587700.0,66.55,66.86,65.6,65.51
2001-03-28,944800.0,67.9,68.0,66.96,66.9
2001-03-29,941700.0,68.97,69.0,68.25,67.65
2001-03-30,985800.0,69.32,70.15,69.25,69.0
2001-04-02,624500.0,68.78,69.58,69.32,68.51
2001-04-03,1156100.0,67.48,68.8,68.8,66.9
2001-04-04,755500.0,67.33,67.34,66.9,66.42
2001-04-05,790900.0,66.8,67.93,67.93,66.25
2001-04-06,585600.0,66.33,67.22,66.55,66.0
2001-04-09,512300.0,67.05,67.48,66.56,66.56
2001-04-10,715100.0,67.0,67.11,67.05,66.21
2001-04-11,564600.0,66.45,66.75,66.75,65.52
2001-04-12,429500.0,65.89,66.97,66.5,65.78
2001-04-16,786100.0,65.5,66.41,65.9,64.83
2001-04-17,981000.0,64.9,65.61,65.51,64.9
2001-04-18,1245000.0,62.95,65.05,65.0,62.55
2001-04-19,676700.0,63.53,64.1,62.45,62.21
2001-04-20,858800.0,61.99,64.16,64.1,61.5
2001-04-23,1110400.0,60.78,61.99,61.99,60.5
2001-04-24,670200.0,60.84,61.2,60.77,60.38
2001-04-25,728800.0,62.35,62.5,60.95,60.8
2001-04-26,628400.0,62.21,62.76,61.75,61.5
2001-04-27,390800.0,62.65,63.0,61.9,61.65
2001-04-30,1122700.0,60.41,62.75,62.75,60.05
2001-05-01,1416400.0,59.77,60.65,60.6,59.1
2001-05-02,1668600.0,60.2,61.74,59.6,59.55
2001-05-03,635600.0,59.89,60.3,59.9,59.5
2001-05-04,360200.0,60.25,60.25,59.55,59.17
2001-05-07,545800.0,61.3,61.5,60.5,59.71
2001-05-08,1470600.0,61.53,62.15,62.1,59.7
2001-05-09,474000.0,60.88,61.7,61.7,60.2
2001-05-10,504200.0,60.0,60.75,60.75,60.0
2001-05-11,227200.0,59.81,60.0,60.0,59.69
2001-05-14,341200.0,60.0,60.0,59.9,59.64
2001-05-15,220600.0,59.5,60.0,60.0,59.2
2001-05-16,381700.0,60.0,60.2,59.5,59.35
2001-05-17,351200.0,59.7,60.3,60.25,59.55
