date,5. volume,4. close,2. high,1. open,3. low
2007-11-09,4039400.0,9.76,10.49,9.69,9.61
2007-11-12,1050300.0,9.25,9.9,9.76,8.83
2007-11-13,765500.0,9.6,9.75,9.1,7.25
2007-11-14,269000.0,9.0,9.5,9.5,9.0
2007-11-15,249200.0,9.01,9.5,9.01,9.0
2007-11-16,552000.0,8.95,9.25,9.05,8.9
2007-11-19,260800.0,8.95,9.2,9.08,8.95
2007-11-20,67000.0,9.04,9.09,9.09,8.8
2007-11-21,411300.0,9.07,9.15,8.96,8.85
2007-11-23,2200.0,8.98,9.05,9.0,8.79
2007-11-26,448500.0,8.6,9.1,8.99,8.5
2007-11-27,281100.0,7.83,8.99,8.58,7.8
2007-11-28,234600.0,8.51,8.65,8.01,7.9
2007-11-29,50300.0,8.6,9.0,8.34,8.0
2007-11-30,225300.0,8.97,9.25,9.0,8.6
2007-12-03,93900.0,9.61,9.68,9.2,8.96
2007-12-04,37600.0,9.4,9.75,9.5,9.4
2007-12-05,69500.0,9.47,9.65,9.65,9.27
2007-12-06,9400.0,9.1,9.43,9.41,9.1
2007-12-07,102300.0,9.3,9.53,9.5,9.05
2007-12-10,57200.0,9.47,9.8,9.32,9.1
2007-12-11,57500.0,9.5,9.59,9.41,9.11
2007-12-12,188200.0,9.34,9.75,9.74,8.83
2007-12-13,13800.0,9.13,9.3699,9.31,9.0
2007-12-14,22400.0,9.07,9.29,9.16,8.9
2007-12-17,61700.0,8.55,9.05,9.01,8.55
2007-12-18,73600.0,8.26,8.6,8.45,7.79
2007-12-19,99900.0,8.99,9.0,8.76,8.5
2007-12-20,49200.0,8.8,9.0,9.0,8.55
2007-12-21,142800.0,8.61,8.94,8.715,8.45
2007-12-24,68000.0,8.99,9.0,8.5,8.35
2007-12-26,33800.0,8.9,8.91,8.88,8.73
2007-12-27,219200.0,9.01,9.2,8.9,8.8
2007-12-28,97000.0,9.03,9.13,9.0,8.83
2007-12-31,113700.0,8.99,9.15,9.09,8.99
2008-01-02,133500.0,9.1,9.1,9.08,8.99
2008-01-03,121800.0,9.13,9.2,9.08,9.01
2008-01-04,70200.0,9.03,9.11,9.09,8.9
2008-01-07,45200.0,8.71,9.42,9.42,8.41
2008-01-08,87200.0,8.39,8.84,8.8,8.25
2008-01-09,39600.0,8.11,8.49,8.17,8.1001
