date,5. volume,4. close,2. high,1. open,3. low
2014-04-16,4441800.0,26.15,27.22,27.0,26.0
2014-04-17,299300.0,26.09,26.23,26.23,25.96
2014-04-21,142400.0,25.95,26.261,26.14,25.75
2014-04-22,365700.0,26.25,26.29,26.0,25.87
2014-04-23,158800.0,26.88,26.94,26.09,25.9
2014-04-24,104400.0,27.77,27.79,27.0,26.41
2014-04-25,140300.0,26.96,27.8,27.7,26.8
2014-04-28,111500.0,27.0,27.425,26.87,26.51
2014-04-29,57600.0,26.95,27.0,27.0,26.41
2014-04-30,154300.0,26.56,26.9,26.9,26.56
2014-05-01,102400.0,26.73,26.755,26.4,26.3556
2014-05-02,307200.0,26.87,27.21,26.58,26.58
2014-05-05,132400.0,26.67,26.93,26.93,26.2
2014-05-06,38900.0,26.44,26.7,26.47,26.28
2014-05-07,58200.0,26.73,27.01,26.4,26.25
2014-05-08,84400.0,26.29,26.952,26.91,26.1
2014-05-09,109800.0,27.55,28.14,26.2,26.0
2014-05-12,265600.0,28.0,28.18,27.66,26.87
2014-05-13,119300.0,29.5,29.595,28.36,28.1415
2014-05-14,88200.0,29.23,29.54,29.51,29.0
2014-05-15,118600.0,29.15,29.73,29.0,28.79
2014-05-16,51000.0,29.25,29.5299,29.15,29.029
2014-05-19,96300.0,29.98,30.22,29.08,29.01
2014-05-20,77400.0,29.71,30.26,30.0,29.57
2014-05-21,105600.0,30.1,30.2,29.66,29.66
2014-05-22,117000.0,30.3,30.51,30.21,30.08
2014-05-23,26200.0,30.24,30.5,30.49,30.0566
2014-05-27,54800.0,30.37,30.45,30.26,30.0598
2014-05-28,50800.0,30.28,30.4,30.4,30.1
2014-05-29,74600.0,30.43,30.45,30.45,30.17
2014-05-30,113500.0,31.46,31.73,30.36,30.29
2014-06-02,78900.0,31.28,32.0,31.67,30.89
2014-06-03,259700.0,32.2,32.79,31.18,31.18
2014-06-04,133100.0,32.28,32.61,32.12,31.71
2014-06-05,97600.0,32.41,32.81,32.18,31.66
2014-06-06,130300.0,32.76,33.41,32.41,32.2019
2014-06-09,173700.0,33.51,33.975,32.81,32.75
2014-06-10,140800.0,33.33,33.885,33.5,32.91
2014-06-11,106500.0,33.32,33.65,33.33,32.805
2014-06-12,195900.0,34.24,34.79,33.47,33.31
2014-06-13,129400.0,34.1,34.7425,34.17,33.75
2014-06-16,140300.0,34.07,34.68,34.06,33.85
2014-06-17,183500.0,34.1,34.16,33.405,33.3
2014-06-18,187700.0,33.61,34.4,34.31,33.4
2014-06-19,120500.0,33.81,33.91,33.65,33.46
2014-06-20,495400.0,34.33,34.46,33.77,33.59
2014-06-23,126600.0,35.53,35.85,34.19,34.19
2014-06-24,152200.0,34.99,35.8,35.67,34.86
2014-06-25,106900.0,34.37,34.74,34.74,34.09
2014-06-26,107800.0,34.55,35.49,34.55,33.97
2014-06-27,647400.0,33.2,35.07,34.49,33.2
2014-06-30,194000.0,33.61,33.8,33.34,32.19
2014-07-01,89600.0,33.6,34.0,33.65,33.5
2014-07-02,126200.0,33.71,34.201,33.62,33.5
2014-07-03,47200.0,33.63,33.9,33.87,33.52
2014-07-07,88600.0,32.71,33.685,33.56,32.49
2014-07-08,140500.0,31.35,32.775,32.66,31.26
2014-07-09,82700.0,30.85,31.49,31.41,30.51
2014-07-10,163900.0,30.61,30.75,30.7,29.66
2014-07-11,128000.0,30.32,31.03,30.72,29.98
2014-07-14,79200.0,30.42,30.6699,30.55,30.09
2014-07-15,150700.0,30.63,30.9,30.34,29.89
2014-07-16,162900.0,30.83,31.22,30.87,30.485
2014-07-17,203500.0,30.56,30.9,30.77,30.4
2014-07-18,168300.0,31.47,31.67,30.44,30.43
2014-07-21,213100.0,32.86,33.21,31.5,31.3
2014-07-22,149200.0,33.61,34.062,33.13,33.0
2014-07-23,66600.0,33.9,33.99,33.54,33.39
2014-07-24,99700.0,34.58,35.0,34.15,33.795
2014-07-25,73700.0,33.81,34.96,34.46,33.52
2014-07-28,137600.0,33.1,33.777,33.38,33.0
2014-07-29,124700.0,32.76,33.27,33.27,32.46
2014-07-30,96700.0,34.08,34.235,33.01,32.8
2014-07-31,131900.0,34.06,36.01,33.71,33.3
2014-08-01,122800.0,34.05,34.25,34.12,33.68
2014-08-04,80800.0,34.16,34.48,34.31,33.6
2014-08-05,127400.0,33.92,34.6,34.3,33.32
2014-08-06,59300.0,33.96,34.32,33.84,33.62
2014-08-07,75500.0,33.82,34.55,34.18,33.35
2014-08-08,34100.0,34.01,34.14,33.68,33.36
2014-08-11,42300.0,34.08,34.68,34.64,33.71
2014-08-12,45200.0,34.24,34.57,33.95,33.8
2014-08-13,263900.0,35.06,35.35,34.47,34.1901
2014-08-14,103700.0,34.86,35.33,35.12,34.3
2014-08-15,66800.0,34.96,35.11,35.05,34.4
2014-08-18,105900.0,34.87,35.64,35.08,34.69
2014-08-19,44800.0,34.36,35.0,34.98,34.1
2014-08-20,79700.0,33.49,34.6211,34.32,33.12
2014-08-21,85000.0,34.05,34.43,33.41,32.235
2014-08-22,36800.0,34.07,34.33,34.1,33.4
2014-08-25,57200.0,34.24,34.85,34.23,33.9
2014-08-26,33200.0,34.92,35.18,34.39,33.88
2014-08-27,20000.0,35.06,35.47,35.47,35.0
2014-08-28,49200.0,35.16,35.42,35.0,34.8
2014-08-29,63600.0,36.29,36.74,35.21,34.2701
2014-09-02,76500.0,35.9,37.3676,36.56,35.58
2014-09-03,68600.0,35.15,36.3,36.3,34.94
2014-09-04,58500.0,34.97,35.43,35.39,34.204
2014-09-05,100300.0,35.12,36.33,34.82,34.82
2014-09-08,32800.0,34.77,35.1,35.0,34.32
2014-09-09,36400.0,34.15,35.1699,34.63,33.83
2014-09-10,92200.0,34.18,34.425,34.16,33.7
2014-09-11,57900.0,35.16,35.32,33.96,33.85
2014-09-12,28000.0,34.83,35.21,35.16,34.69
2014-09-15,45300.0,33.93,34.505,34.372,33.71
