date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,25590300.0,78.94,79.75,79.5,78.44
2000-07-17,26996400.0,78.19,79.56,78.25,77.5
2000-07-18,35308600.0,78.5,79.5,77.62,77.44
2000-07-19,69962300.0,73.12,77.5,76.06,72.81
2000-07-20,27345300.0,74.81,75.25,73.44,73.12
2000-07-21,28050300.0,72.31,75.0,74.75,71.87
2000-07-24,28082800.0,70.56,72.12,72.06,70.0
2000-07-25,32094300.0,69.0,71.0,70.81,68.37
2000-07-26,42702300.0,67.81,69.5,69.06,67.25
2000-07-27,37168800.0,69.37,70.12,67.87,67.5
2000-07-28,37822800.0,69.69,71.81,70.94,69.62
2000-07-31,35141900.0,69.81,71.12,70.19,69.25
2000-08-01,23581800.0,68.69,70.06,69.94,68.19
2000-08-02,24134600.0,69.37,70.44,68.56,68.5
2000-08-03,27271700.0,70.25,70.37,68.19,68.12
2000-08-04,19053700.0,69.12,69.87,69.44,68.19
2000-08-07,26370900.0,70.0,71.12,70.19,69.75
2000-08-08,69019400.0,74.12,74.69,70.06,70.0
2000-08-09,31972800.0,74.25,74.87,73.75,73.12
2000-08-10,24493000.0,72.62,74.06,73.81,71.75
2000-08-11,17814800.0,72.44,72.69,72.44,71.62
2000-08-14,26713500.0,72.19,73.37,72.31,71.37
2000-08-15,20357100.0,71.62,73.0,72.0,71.5
2000-08-16,22488100.0,71.0,72.25,71.87,70.56
2000-08-17,18056400.0,71.56,72.0,71.12,70.56
2000-08-18,27219400.0,71.0,71.44,71.12,70.0
2000-08-21,17059800.0,70.62,70.81,70.69,70.06
2000-08-22,27214100.0,71.25,72.44,70.81,70.22
2000-08-23,18363400.0,70.75,71.12,70.81,70.37
2000-08-24,21202700.0,71.12,71.19,70.62,69.94
2000-08-25,26364700.0,70.62,71.69,70.69,70.56
2000-08-28,28210800.0,71.31,72.12,70.19,70.12
2000-08-29,29700100.0,70.94,72.75,71.19,70.87
2000-08-30,26749400.0,70.0,70.94,70.69,69.69
2000-08-31,36287700.0,69.81,72.0,70.87,69.69
2000-09-01,18814900.0,70.19,70.62,70.0,69.69
2000-09-05,25377600.0,70.12,70.69,70.0,69.81
2000-09-06,31480400.0,69.44,70.69,70.06,69.31
2000-09-07,55855600.0,70.06,72.06,70.0,69.44
2000-09-08,28354800.0,69.31,70.87,70.37,69.19
2000-09-11,24247600.0,68.81,69.69,69.12,68.06
2000-09-12,23390600.0,68.12,69.31,68.75,67.62
2000-09-13,20372400.0,68.25,68.75,67.56,67.19
2000-09-14,39251500.0,65.81,68.75,68.69,65.69
2000-09-15,49957600.0,64.19,65.62,65.44,63.31
2000-09-18,34518900.0,63.0,64.62,64.25,62.19
2000-09-19,39655600.0,65.0,65.75,63.63,63.38
2000-09-20,33895700.0,64.25,65.0,64.87,63.19
2000-09-21,24476100.0,64.19,65.12,64.0,63.56
2000-09-22,42238300.0,63.25,63.5,61.13,61.0
2000-09-25,26742100.0,61.25,63.5,63.25,60.44
2000-09-26,77852400.0,62.69,65.87,60.94,60.44
2000-09-27,53077800.0,60.63,63.56,63.44,59.81
2000-09-28,26180200.0,61.31,61.88,60.81,60.63
2000-09-29,37026800.0,60.31,61.31,61.0,58.63
2000-10-02,29281200.0,59.13,60.81,60.5,58.25
2000-10-03,42687000.0,56.56,59.81,59.56,56.5
2000-10-04,68226700.0,55.44,56.56,56.38,54.5
2000-10-05,40549700.0,55.38,57.25,55.5,55.25
2000-10-06,30897000.0,55.56,56.75,55.81,54.75
2000-10-09,29161800.0,54.19,55.75,55.63,53.0
2000-10-10,31033100.0,54.56,55.56,53.94,53.81
2000-10-11,50602900.0,55.75,56.94,54.0,54.0
2000-10-12,45109800.0,54.38,56.88,56.31,53.81
2000-10-13,52260600.0,53.75,54.88,53.88,52.13
2000-10-16,59879500.0,50.38,53.81,53.5,49.56
2000-10-17,40638300.0,50.44,52.44,51.88,50.25
2000-10-18,55268200.0,51.75,53.25,49.63,48.44
2000-10-19,128496600.0,61.88,62.19,58.44,58.0
2000-10-20,80189300.0,65.19,66.12,61.31,61.13
2000-10-23,92585200.0,62.13,66.25,64.62,60.69
2000-10-24,47213700.0,61.5,62.94,62.63,60.19
2000-10-25,83801900.0,61.25,63.44,61.94,60.44
2000-10-26,57413300.0,64.44,65.06,61.0,60.81
2000-10-27,62146200.0,67.69,69.19,64.69,64.62
2000-10-30,55028800.0,69.06,70.12,67.5,67.37
2000-10-31,52237000.0,68.87,69.5,69.0,68.0
2000-11-01,40654700.0,69.62,70.06,68.5,68.44
2000-11-02,38992600.0,70.31,70.84,70.37,69.62
2000-11-03,34355500.0,68.25,69.62,69.25,68.06
2000-11-06,37425700.0,69.5,70.12,68.69,68.25
2000-11-07,52165600.0,70.5,71.87,69.75,69.5
2000-11-08,103074700.0,69.44,72.37,71.12,68.0
2000-11-09,45529300.0,70.87,71.31,68.5,68.44
2000-11-10,46872200.0,67.37,70.31,69.94,66.81
2000-11-13,41682400.0,66.44,68.12,66.69,64.41
2000-11-14,42109300.0,68.81,69.81,68.0,67.31
2000-11-15,30211100.0,70.06,70.87,69.06,68.69
2000-11-16,46064300.0,68.94,71.5,69.44,68.94
2000-11-17,53262800.0,69.06,70.0,69.44,67.8
2000-11-20,40078600.0,67.19,68.5,68.12,65.56
2000-11-21,29743800.0,67.75,69.25,67.37,67.37
2000-11-22,38171600.0,68.25,69.5,66.06,66.0
2000-11-24,17219600.0,69.94,70.44,69.0,68.5
2000-11-27,42653800.0,70.69,72.25,71.44,70.62
2000-11-28,63723100.0,67.0,69.75,69.37,66.81
2000-11-29,49140200.0,65.06,67.12,66.81,63.25
2000-11-30,98600400.0,57.38,62.06,62.0,57.0
2000-12-01,54904900.0,56.63,60.63,58.06,56.06
2000-12-04,40203600.0,56.44,59.0,57.25,55.19
2000-12-05,50867200.0,59.88,60.5,59.19,58.25
2000-12-06,45280400.0,56.69,60.06,60.0,56.06
2000-12-07,72654200.0,53.13,54.0,53.44,52.25
2000-12-08,60469900.0,54.44,55.88,54.63,53.44
2000-12-11,47788100.0,58.06,58.75,55.5,55.0
2000-12-12,31553000.0,58.38,60.0,57.81,56.75
2000-12-13,49180200.0,57.25,60.5,60.5,56.81
2000-12-14,35600700.0,55.5,58.73,57.94,55.38
2000-12-15,58449900.0,49.19,52.0,51.05,47.75
2000-12-18,53593700.0,47.81,50.0,49.0,47.0
2000-12-19,60135900.0,44.81,48.0,47.44,44.5
2000-12-20,74518900.0,41.5,44.0,42.81,41.38
2000-12-21,81586500.0,43.44,45.13,40.75,40.31
2000-12-22,54775900.0,46.44,47.13,44.75,44.75
2000-12-26,33470800.0,46.88,48.56,46.88,45.88
2000-12-27,34501900.0,46.44,46.81,46.13,45.0
2000-12-28,38809600.0,44.56,46.25,45.13,43.88
2000-12-29,49988800.0,43.38,45.81,43.94,43.0
2001-01-02,41206600.0,43.38,45.0,44.13,42.88
2001-01-03,67981100.0,47.94,48.88,43.19,43.13
2001-01-04,56198500.0,48.44,50.5,47.81,46.88
2001-01-05,46707300.0,49.13,49.88,48.5,47.56
2001-01-08,39908800.0,48.94,49.75,48.94,46.69
2001-01-09,57482700.0,51.81,52.63,50.0,49.75
2001-01-10,45115100.0,52.88,53.81,51.0,50.75
2001-01-11,50927400.0,55.0,55.75,53.0,52.31
2001-01-12,36856000.0,53.5,55.0,54.88,52.5
2001-01-16,34231200.0,52.56,53.5,53.38,51.13
2001-01-17,36422100.0,52.94,54.88,53.63,52.56
2001-01-18,54894400.0,55.5,56.19,53.69,52.63
2001-01-19,104674400.0,61.0,61.44,60.0,58.88
2001-01-22,38336500.0,60.13,61.0,60.75,59.0
2001-01-23,35147600.0,60.56,60.94,59.75,58.94
2001-01-24,55227500.0,62.94,63.44,61.0,60.75
2001-01-25,42828700.0,61.81,64.0,62.75,61.56
2001-01-26,46540000.0,64.0,64.31,61.0,61.0
2001-01-29,42491900.0,64.5,64.62,63.56,63.5
2001-01-30,28638400.0,63.38,64.75,64.5,62.88
2001-01-31,40949400.0,61.06,63.75,63.0,61.0
2001-02-01,35896400.0,62.38,62.63,60.81,60.38
2001-02-02,35550000.0,60.81,63.38,62.5,60.75
2001-02-05,25699600.0,61.94,62.06,60.75,60.25
2001-02-06,48221000.0,62.56,63.81,62.06,61.69
2001-02-07,63030900.0,64.69,65.06,62.0,61.81
2001-02-08,44020600.0,62.25,64.5,63.75,62.0
2001-02-09,50287600.0,59.13,61.56,61.31,58.5
2001-02-12,35644700.0,58.75,59.44,58.81,57.19
2001-02-13,38035300.0,58.19,61.06,59.63,58.13
2001-02-14,30864200.0,58.38,59.0,57.63,56.38
2001-02-15,32813900.0,58.81,60.19,59.0,57.88
2001-02-16,33479200.0,57.31,58.25,57.0,56.13
2001-02-20,30365400.0,55.88,58.25,57.38,55.38
2001-02-21,31973600.0,56.25,58.06,55.25,55.19
2001-02-22,50408200.0,55.19,56.81,56.31,53.88
2001-02-23,46310300.0,56.75,57.5,54.44,54.31
2001-02-26,43968400.0,59.56,59.94,57.63,57.38
2001-02-27,49574300.0,59.38,61.19,59.38,58.67
2001-02-28,42304200.0,59.0,60.08,59.56,58.19
2001-03-01,40890800.0,59.36,59.5,58.56,56.25
2001-03-02,39900400.0,56.69,58.13,57.5,56.44
2001-03-05,24691800.0,57.44,58.63,57.25,56.56
2001-03-06,33390900.0,59.44,60.0,58.63,58.38
2001-03-07,29871800.0,60.69,61.13,59.88,59.31
2001-03-08,27313000.0,59.25,60.59,60.31,58.44
2001-03-09,51897200.0,56.69,58.19,57.94,54.88
2001-03-12,57188000.0,51.94,55.0,54.69,51.63
2001-03-13,45517800.0,54.19,54.75,52.19,52.0
2001-03-14,45343100.0,54.0,55.25,52.5,52.19
2001-03-15,35819200.0,53.69,56.08,55.31,53.5
2001-03-16,56424400.0,54.56,55.13,52.5,52.48
2001-03-19,30518200.0,54.31,55.5,54.5,53.13
2001-03-20,45911400.0,52.69,56.13,54.56,52.63
2001-03-21,62494300.0,50.06,53.25,52.25,49.75
2001-03-22,63181600.0,54.0,54.06,50.56,50.5
2001-03-23,49759800.0,56.56,57.0,54.94,54.38
2001-03-26,31559300.0,56.06,57.5,57.13,55.56
2001-03-27,47567800.0,58.25,58.56,56.06,55.88
2001-03-28,39340800.0,55.56,57.94,57.38,55.38
2001-03-29,43492500.0,55.38,57.19,55.38,54.56
