date,5. volume,4. close,2. high,1. open,3. low
2017-10-27,6158275.0,17.4,18.36,16.5,15.76
2017-10-30,1341803.0,18.05,18.19,17.13,17.02
2017-10-31,791861.0,18.17,18.44,17.99,17.39
2017-11-01,290534.0,18.11,18.65,18.13,17.98
2017-11-02,150290.0,18.11,18.42,18.1,17.85
2017-11-03,323597.0,18.1,18.28,18.04,17.68
2017-11-06,109266.0,18.02,18.15,18.09,17.911
2017-11-07,477801.0,17.7,18.09,17.98,17.4101
2017-11-08,216140.0,17.57,17.845,17.75,17.38
2017-11-09,257696.0,17.17,17.8,17.8,16.94
2017-11-10,92855.0,17.08,17.3,17.17,17.0
2017-11-13,184050.0,16.57,17.5,17.31,16.53
2017-11-14,149806.0,16.0,16.67,16.56,15.75
2017-11-15,255124.0,15.8,16.13,16.02,15.27
2017-11-16,170484.0,15.64,16.03,15.68,15.39
2017-11-17,106800.0,15.84,16.0,15.7,15.5
2017-11-20,158565.0,16.01,16.19,15.78,15.7499
2017-11-21,698070.0,16.2,17.44,16.0,15.69
2017-11-22,265189.0,16.28,16.8316,16.43,16.097
2017-11-24,154479.0,16.63,17.17,16.39,16.25
2017-11-27,1033161.0,16.27,16.74,16.54,16.19
2017-11-28,1064262.0,16.97,17.48,16.55,16.46
2017-11-29,352289.0,16.62,17.08,16.82,15.81
2017-11-30,421545.0,17.4,17.95,16.58,16.58
2017-12-01,153029.0,17.25,17.59,17.41,16.83
2017-12-04,109041.0,17.18,17.71,17.21,17.01
2017-12-05,162634.0,17.0,17.42,17.28,16.5
2017-12-06,256673.0,16.57,17.17,16.92,16.24
2017-12-07,118041.0,16.58,16.678,16.33,16.03
2017-12-08,59313.0,16.44,17.045,16.57,16.25
2017-12-11,127545.0,16.8,16.8,16.44,16.033
2017-12-12,102619.0,16.88,17.1119,16.84,16.76
2017-12-13,199515.0,16.67,17.1625,16.96,16.42
2017-12-14,72848.0,16.71,16.74,16.66,16.46
2017-12-15,295980.0,16.9,17.2,16.8,16.33
2017-12-18,33068.0,17.33,17.36,17.22,17.01
2017-12-19,149418.0,17.32,17.37,17.32,17.15
2017-12-20,233857.0,17.85,17.91,17.66,17.3
2017-12-21,195647.0,18.56,18.68,18.17,17.89
2017-12-22,312772.0,19.01,19.535,18.7,18.56
2017-12-26,69235.0,19.41,19.49,19.1981,18.911
2017-12-27,84469.0,19.11,19.38,19.29,19.11
2017-12-28,36500.0,19.53,19.89,19.405,19.225
2017-12-29,127945.0,19.61,20.0,19.54,19.465
2018-01-02,180909.0,20.03,20.33,19.85,19.76
2018-01-03,521621.0,20.1,21.2,20.17,20.07
2018-01-04,278770.0,20.0,20.31,20.2,19.49
2018-01-05,65217.0,19.9,20.26,20.14,19.84
2018-01-08,129771.0,20.0,20.31,19.88,19.12
2018-01-09,217835.0,19.95,20.305,20.16,19.79
2018-01-10,75951.0,20.25,20.71,19.98,19.84
2018-01-11,1286116.0,20.0,20.705,20.23,19.47
2018-01-12,275410.0,20.25,20.6,20.08,20.08
2018-01-16,213791.0,20.41,20.92,20.39,20.2
2018-01-17,59076.0,20.29,20.52,20.52,20.11
2018-01-18,130354.0,20.25,20.4699,20.34,19.92
2018-01-19,79894.0,20.11,20.32,20.3,20.0
2018-01-22,116182.0,20.21,20.35,20.05,19.95
2018-01-23,194743.0,20.1,20.85,20.22,19.535
2018-01-24,251145.0,20.7,21.23,20.3,20.2575
2018-01-25,98382.0,20.46,20.86,20.69,20.4
2018-01-26,139706.0,20.74,21.61,20.55,20.38
2018-01-29,182779.0,21.06,21.325,20.74,20.7
2018-01-30,144336.0,20.65,21.07,20.93,20.491
2018-01-31,183981.0,20.7,20.83,20.62,20.4901
2018-02-01,214249.0,20.85,21.125,20.8,20.44
2018-02-02,250551.0,19.65,21.0,20.84,19.59
2018-02-05,129550.0,19.42,19.8,19.49,19.12
2018-02-06,153817.0,19.67,19.81,19.22,19.22
2018-02-07,189795.0,19.03,19.66,19.6,18.94
2018-02-08,190443.0,18.58,19.3682,19.25,18.23
2018-02-09,151089.0,18.27,18.85,18.83,17.64
2018-02-12,306530.0,18.39,19.09,18.24,18.24
2018-02-13,225992.0,18.55,18.58,18.47,17.9801
2018-02-14,220708.0,18.98,19.179,18.47,18.36
2018-02-15,340165.0,19.26,19.382,19.16,18.75
2018-02-16,417716.0,19.9,20.13,19.71,19.28
2018-02-20,507607.0,20.55,21.18,19.87,19.87
2018-02-21,195824.0,19.99,20.77,20.74,19.871
2018-02-22,157612.0,19.95,20.25,20.0,19.64
2018-02-23,336270.0,19.43,19.72,19.72,19.12
2018-02-26,282404.0,19.8,19.95,19.39,19.135
2018-02-27,858091.0,19.91,20.31,19.77,19.52
