date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,1167500.0,73.81,77.31,75.88,72.0
2000-07-17,439800.0,73.0,75.0,74.94,72.75
2000-07-18,765300.0,71.56,75.0,69.0,69.0
2000-07-19,789600.0,67.0,69.5,69.0,65.56
2000-07-20,595800.0,68.81,70.5,66.94,66.75
2000-07-21,1049700.0,69.69,71.0,69.0,68.0
2000-07-24,1171300.0,62.25,70.25,69.75,61.0
2000-07-25,1397100.0,61.38,65.25,64.75,61.25
2000-07-26,1583600.0,56.81,61.38,61.38,55.13
2000-07-27,1381500.0,52.75,55.75,55.0,52.0
2000-07-28,2136100.0,54.0,57.94,53.0,50.0
2000-07-31,1546800.0,60.0,60.13,57.0,54.0
2000-08-01,1460900.0,58.81,60.5,60.0,58.38
2000-08-02,1439300.0,60.0,60.97,58.0,57.06
2000-08-03,1536100.0,62.63,64.0,54.0,54.0
2000-08-04,811600.0,63.75,65.0,64.13,62.75
2000-08-07,1028900.0,68.75,69.31,64.19,63.94
2000-08-08,533800.0,67.25,71.0,67.25,67.0
2000-08-09,567700.0,65.25,68.56,68.13,64.31
2000-08-10,651800.0,66.0,67.5,63.75,62.5
2000-08-11,549700.0,64.44,66.63,66.13,61.38
2000-08-14,452400.0,65.06,65.88,65.25,63.0
2000-08-15,1847200.0,71.2,72.5,65.38,65.19
2000-08-16,1109300.0,73.0,75.06,75.06,72.13
2000-08-17,540900.0,74.38,74.75,72.0,71.75
2000-08-18,853000.0,77.0,77.88,74.06,73.94
2000-08-21,1935300.0,78.19,81.19,79.81,77.0
2000-08-22,2745300.0,70.81,75.75,74.13,70.13
2000-08-23,1470000.0,74.94,75.06,69.69,68.25
2000-08-24,1385900.0,76.94,77.69,74.5,73.13
2000-08-25,637700.0,75.0,77.75,76.13,74.63
2000-08-28,788600.0,78.0,79.0,75.38,74.5
2000-08-29,622400.0,77.81,78.5,78.31,77.0
2000-08-30,742000.0,78.5,79.56,76.94,76.13
2000-08-31,1620400.0,79.38,82.5,79.69,78.13
2000-09-01,850600.0,79.5,81.75,81.0,78.63
2000-09-05,1025600.0,79.63,81.44,81.38,79.06
2000-09-06,958900.0,74.13,79.94,79.94,73.5
2000-09-07,999000.0,78.13,78.25,75.25,72.13
2000-09-08,927700.0,73.5,79.0,77.25,73.25
2000-09-11,1191200.0,70.5,73.0,72.56,67.75
2000-09-12,524900.0,70.06,74.25,70.56,69.0
2000-09-13,999900.0,70.03,71.19,69.88,68.38
2000-09-14,901400.0,69.38,73.5,70.38,68.5
2000-09-15,1010800.0,70.89,71.88,69.0,68.5
2000-09-18,681200.0,66.75,71.5,71.06,66.0
2000-09-19,1254600.0,68.81,69.0,63.69,63.0
2000-09-20,948200.0,66.56,68.25,66.94,65.5
2000-09-21,1445100.0,69.42,70.94,67.06,67.0
2000-09-22,1613600.0,70.63,71.5,62.56,62.5
2000-09-25,1948200.0,75.69,76.75,72.81,72.25
2000-09-26,1405600.0,77.5,78.38,76.5,73.0
2000-09-27,2817200.0,81.75,85.38,76.88,76.88
2000-09-28,1390900.0,84.25,84.75,81.0,79.0
2000-09-29,1557800.0,81.88,84.75,81.88,80.5
2000-10-02,1419100.0,79.94,86.25,83.0,77.88
2000-10-03,1251100.0,75.63,81.0,80.38,75.0
2000-10-04,1748200.0,74.75,76.0,73.63,72.63
2000-10-05,2187700.0,73.0,75.31,75.31,71.44
2000-10-06,4279900.0,68.44,73.69,73.19,67.44
2000-10-09,2771900.0,69.94,71.0,66.69,62.0
2000-10-10,1733100.0,64.63,70.38,67.0,64.0
2000-10-11,2232400.0,65.19,68.75,60.69,58.25
2000-10-12,1673400.0,62.63,70.5,66.63,62.0
2000-10-13,2412400.0,65.13,67.0,63.06,62.39
2000-10-16,1413400.0,63.63,65.13,65.13,62.13
2000-10-17,1930200.0,59.0,63.63,63.38,58.31
2000-10-18,1737300.0,58.06,61.44,55.19,52.56
2000-10-19,1228700.0,63.69,64.5,61.81,60.88
2000-10-20,1614000.0,69.63,71.25,62.19,61.75
2000-10-23,758800.0,68.06,70.63,70.19,65.88
2000-10-24,808200.0,65.88,68.88,67.75,65.63
2000-10-25,1606300.0,60.13,65.0,64.06,59.69
2000-10-26,1107400.0,62.69,65.0,60.5,56.25
2000-10-27,879000.0,61.25,64.3,62.75,59.0
2000-10-30,800500.0,56.94,61.61,60.25,56.88
2000-10-31,1246900.0,62.14,63.13,59.19,57.38
2000-11-01,1268900.0,62.13,63.0,60.63,58.5
2000-11-02,803700.0,66.88,68.5,64.31,63.25
2000-11-03,1119300.0,71.25,72.5,66.0,65.5
2000-11-06,2646000.0,76.75,80.0,72.94,72.5
2000-11-07,1076000.0,71.56,75.5,75.5,69.0
2000-11-08,779500.0,69.44,72.38,72.38,68.38
2000-11-09,2352200.0,62.19,68.5,65.25,59.13
2000-11-10,3355200.0,58.81,67.5,64.31,57.25
2000-11-13,2208500.0,59.06,65.5,55.88,54.0
2000-11-14,1961400.0,69.88,70.38,63.0,62.5
2000-11-15,1766100.0,68.95,70.81,68.63,65.81
2000-11-16,981400.0,64.63,68.75,67.0,64.0
2000-11-17,744900.0,63.38,68.44,65.13,61.25
2000-11-20,1244800.0,58.5,61.06,61.03,57.81
2000-11-21,1593800.0,57.38,61.5,61.0,54.38
2000-11-22,1707300.0,54.38,56.75,55.0,52.0
2000-11-24,687800.0,57.5,59.63,55.0,55.0
2000-11-27,1516100.0,55.56,62.0,61.63,53.27
2000-11-28,1593100.0,51.42,57.0,56.41,50.19
2000-11-29,2651700.0,48.25,52.25,52.19,44.38
2000-11-30,4090100.0,40.5,44.13,44.13,36.38
2000-12-01,3267000.0,44.5,48.75,43.0,42.75
2000-12-04,1976100.0,45.19,46.25,44.78,41.75
2000-12-05,4155100.0,48.13,50.13,48.38,43.88
2000-12-06,3962200.0,41.25,48.5,47.19,41.0
2000-12-07,3271600.0,40.5,42.69,39.25,37.13
2000-12-08,3555800.0,49.75,50.0,44.69,40.52
2000-12-11,3156800.0,49.75,50.75,48.13,46.88
2000-12-12,1706300.0,48.38,49.38,48.5,46.75
2000-12-13,2812800.0,44.63,49.0,48.19,43.75
2000-12-14,2370900.0,41.56,44.69,44.31,40.5
2000-12-15,4560100.0,37.44,41.38,38.94,37.25
2000-12-18,2745300.0,38.67,40.0,39.0,38.13
2000-12-19,3942500.0,35.75,42.75,39.25,35.0
2000-12-20,4605800.0,31.88,38.88,33.94,30.13
2000-12-21,3521900.0,27.88,35.75,31.44,27.5
2000-12-22,3954500.0,35.06,38.25,30.13,30.13
2000-12-26,1432600.0,33.63,35.88,35.5,31.38
2000-12-27,1414400.0,35.88,37.25,33.25,31.88
2000-12-28,1746800.0,36.06,37.0,34.44,33.88
2000-12-29,2063200.0,32.77,37.19,36.0,32.0
2001-01-02,1211700.0,29.94,33.44,33.0,29.81
2001-01-03,3793200.0,39.13,39.44,29.0,28.25
2001-01-04,3397700.0,43.63,44.63,38.44,37.38
2001-01-05,1803200.0,37.09,43.44,43.25,36.25
2001-01-08,2390700.0,40.63,42.25,36.06,36.06
2001-01-09,1262100.0,41.44,42.25,41.19,39.19
2001-01-10,1637200.0,44.31,44.5,39.31,38.38
2001-01-11,1865200.0,48.0,49.88,43.25,42.5
2001-01-12,2787500.0,47.0,51.75,48.81,46.5
2001-01-16,1729100.0,43.31,47.25,47.25,42.56
2001-01-17,2469100.0,44.88,48.0,46.63,44.69
2001-01-18,3950700.0,53.48,54.75,44.88,43.88
2001-01-19,4244600.0,52.06,57.0,55.0,51.25
2001-01-22,1573800.0,50.0,52.5,50.5,48.56
2001-01-23,1806800.0,54.98,56.0,49.38,49.13
2001-01-24,1882200.0,54.75,55.5,54.94,51.56
2001-01-25,1833400.0,49.25,53.0,52.88,48.13
2001-01-26,1080200.0,50.81,51.41,46.5,46.16
2001-01-29,1475700.0,51.06,51.13,49.25,47.5
2001-01-30,1015500.0,52.19,53.28,51.88,50.88
2001-01-31,1493100.0,51.63,54.25,52.25,50.5
2001-02-01,1549400.0,51.89,52.25,51.63,49.38
2001-02-02,1335500.0,46.88,53.13,51.94,46.5
2001-02-05,1531600.0,46.81,47.13,46.81,44.06
2001-02-06,1043500.0,47.06,48.0,45.94,45.83
2001-02-07,3001600.0,44.88,47.13,46.75,42.38
2001-02-08,1601200.0,44.63,47.69,45.13,44.44
2001-02-09,1081700.0,44.31,44.56,44.25,42.69
2001-02-12,1476400.0,43.13,44.31,43.81,41.0
2001-02-13,1948900.0,44.44,46.5,43.94,43.44
2001-02-14,2878700.0,47.69,49.0,43.88,42.0
2001-02-15,4618800.0,56.44,57.38,54.25,53.88
2001-02-16,4504900.0,59.5,61.0,53.56,53.5
2001-02-20,2922100.0,53.56,59.25,58.0,53.5
2001-02-21,2693800.0,56.0,58.25,51.56,51.0
2001-02-22,3397100.0,58.38,60.0,55.69,54.0
2001-02-23,4311100.0,54.34,59.0,58.06,52.5
2001-02-26,3132600.0,53.13,54.25,52.75,50.81
2001-02-27,2224300.0,49.94,53.88,51.81,49.63
2001-02-28,3266900.0,44.69,52.5,49.56,43.75
2001-03-01,3813700.0,48.22,49.0,44.13,40.0
