date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,291475.0,15.0,15.25,14.84,14.69
2000-07-17,237050.0,15.0,15.31,14.69,14.38
2000-07-18,92875.0,14.88,15.03,15.03,14.75
2000-07-19,95525.0,14.5,15.0,14.78,14.38
2000-07-20,53500.0,15.0,15.0,14.88,14.88
2000-07-21,159225.0,15.0,15.13,15.0,14.94
2000-07-24,163200.0,14.88,15.13,15.0,14.69
2000-07-25,122050.0,14.88,15.13,14.94,14.56
2000-07-26,137550.0,14.75,15.06,14.94,14.5
2000-07-27,214050.0,14.75,15.0,14.88,14.75
2000-07-28,103475.0,14.81,15.0,14.81,14.69
2000-07-31,96400.0,14.63,15.0,14.91,14.5
2000-08-01,283950.0,13.63,14.94,14.5,12.88
2000-08-02,387875.0,14.38,14.5,13.28,12.5
2000-08-03,210975.0,14.38,14.75,14.13,13.63
2000-08-04,109675.0,13.94,14.38,14.38,13.88
2000-08-07,77400.0,14.44,14.5,13.91,13.81
2000-08-08,89325.0,14.38,14.63,14.22,14.06
2000-08-09,134900.0,14.38,14.75,14.56,14.13
2000-08-10,248550.0,14.25,14.5,14.13,14.0
2000-08-11,45100.0,14.38,14.38,14.06,13.88
2000-08-14,170275.0,14.63,14.88,14.25,14.22
2000-08-15,110575.0,14.63,14.75,14.5,14.48
2000-08-16,104825.0,14.63,14.66,14.63,14.56
2000-08-17,101725.0,14.5,14.63,14.44,14.13
2000-08-18,114550.0,14.5,14.63,14.63,14.13
2000-08-21,71200.0,14.38,14.75,14.63,14.38
2000-08-22,64575.0,13.88,14.38,14.38,13.81
2000-08-23,90225.0,13.25,13.84,13.84,13.0
2000-08-24,162750.0,13.75,14.06,13.31,13.25
2000-08-25,80475.0,13.63,14.06,13.75,13.63
2000-08-28,42450.0,13.63,14.19,13.56,13.56
2000-08-29,22975.0,13.81,14.0,13.75,13.69
2000-08-30,68100.0,13.88,14.0,13.75,13.75
2000-08-31,135325.0,14.0,14.0,13.88,13.5
2000-09-01,413550.0,13.94,14.13,13.75,13.75
2000-09-05,454225.0,14.0,14.0,13.81,13.81
2000-09-06,264050.0,13.81,14.06,13.88,13.75
2000-09-07,76950.0,13.88,14.0,13.75,13.75
2000-09-08,199900.0,13.88,14.0,13.91,13.75
2000-09-11,122950.0,13.5,13.88,13.63,13.5
2000-09-12,389200.0,13.31,13.5,13.41,13.19
2000-09-13,297225.0,13.0,13.44,13.34,13.0
2000-09-14,132225.0,13.0,13.5,13.22,13.0
2000-09-15,247675.0,13.13,13.5,13.25,13.0
2000-09-18,203450.0,13.11,13.25,13.25,13.06
2000-09-19,170275.0,13.44,13.44,13.19,13.0
2000-09-20,834175.0,13.0,13.44,13.44,12.75
2000-09-21,734650.0,13.75,13.75,12.97,12.94
2000-09-22,179125.0,14.0,14.06,13.38,13.38
2000-09-25,258300.0,14.0,14.13,13.91,13.81
2000-09-26,472800.0,14.25,14.81,14.13,14.0
2000-09-27,189300.0,14.63,15.0,14.25,14.19
2000-09-28,526775.0,15.13,15.19,14.75,14.75
2000-09-29,256975.0,15.22,15.38,15.06,14.94
2000-10-02,1278675.0,15.75,15.94,15.25,14.75
2000-10-03,1238875.0,16.0,16.5,15.78,15.31
2000-10-04,468375.0,16.0,16.42,16.41,15.94
2000-10-05,233525.0,16.5,16.5,15.92,15.89
2000-10-06,464850.0,16.0,16.25,16.0,15.94
2000-10-09,449375.0,16.5,16.63,16.25,16.13
2000-10-10,1008875.0,17.02,17.25,16.59,16.59
2000-10-11,989850.0,17.06,17.38,16.88,16.88
2000-10-12,481650.0,17.0,17.38,17.05,16.81
2000-10-13,507300.0,17.25,17.25,17.19,16.81
2000-10-16,702800.0,17.5,17.72,17.69,16.75
2000-10-17,404250.0,17.31,17.56,17.5,16.75
2000-10-18,183550.0,16.88,17.25,17.25,16.75
2000-10-19,104375.0,17.19,17.19,16.88,16.88
2000-10-20,260950.0,17.25,17.63,17.13,17.08
2000-10-23,155225.0,17.06,17.42,17.42,16.25
2000-10-24,134000.0,16.94,17.19,16.38,16.38
2000-10-25,490500.0,14.94,17.13,16.77,14.94
2000-10-26,722275.0,16.63,16.63,14.09,14.06
2000-10-27,288800.0,16.75,17.0,16.44,16.44
2000-10-30,1284425.0,17.88,18.0,16.52,16.38
2000-10-31,402475.0,17.5,18.38,18.31,16.75
2000-11-01,114550.0,16.75,17.5,17.25,16.75
2000-11-02,47325.0,17.0,17.0,17.0,16.56
2000-11-03,101725.0,16.98,17.0,16.58,15.63
2000-11-06,156125.0,17.5,17.5,16.86,16.75
2000-11-07,208300.0,17.06,17.38,17.38,16.94
2000-11-08,164075.0,17.0,17.13,17.06,16.94
2000-11-09,177800.0,17.0,17.13,17.13,16.88
2000-11-10,298975.0,16.31,17.13,16.81,15.88
2000-11-13,255200.0,15.13,16.23,15.94,14.63
2000-11-14,145950.0,16.25,16.5,14.66,14.63
2000-11-15,188850.0,16.5,17.0,16.25,16.13
2000-11-16,137550.0,15.56,16.5,16.5,15.5
2000-11-17,229100.0,15.19,16.23,16.23,14.63
2000-11-20,172050.0,15.81,16.06,15.14,14.63
2000-11-21,102600.0,16.0,16.13,16.0,15.75
2000-11-22,143725.0,14.69,16.19,16.0,14.5
2000-11-24,79150.0,14.88,15.19,14.7,14.69
2000-11-27,590450.0,17.0,17.0,14.97,14.97
2000-11-28,86225.0,15.63,16.75,16.72,15.63
2000-11-29,154350.0,15.75,15.75,15.63,14.75
2000-11-30,244575.0,15.88,16.06,15.03,14.94
2000-12-01,344975.0,16.88,17.0,15.75,15.75
2000-12-04,347625.0,16.94,17.0,16.98,16.75
2000-12-05,175150.0,17.0,17.0,16.75,16.63
2000-12-06,960675.0,16.5,17.0,16.77,16.38
2000-12-07,113225.0,15.94,16.88,16.88,15.94
2000-12-08,280400.0,14.94,16.06,16.06,14.88
2000-12-11,482100.0,14.0,15.25,15.2,14.0
2000-12-12,449375.0,13.5,14.06,13.38,13.38
2000-12-13,584275.0,11.75,13.75,13.52,11.5
2000-12-14,1287975.0,9.875,12.38,11.81,9.75
2000-12-15,3144300.0,9.625,12.13,10.09,9.625
2000-12-18,1867825.0,9.063,10.0,9.938,8.0
2000-12-19,835050.0,10.25,10.75,9.344,9.188
2000-12-20,303400.0,9.516,10.19,10.06,9.0
2000-12-21,653275.0,10.19,10.5,9.25,9.25
2000-12-22,233075.0,10.0,11.0,10.13,10.0
2000-12-26,270225.0,10.62,10.62,10.0,10.0
2000-12-27,282175.0,9.5,10.63,10.61,9.375
2000-12-28,258300.0,10.0,10.25,9.609,9.188
2000-12-29,488725.0,10.19,10.19,9.813,9.359
2001-01-02,254750.0,10.31,10.5,10.25,9.5
2001-01-03,491825.0,10.0,10.34,10.34,9.438
2001-01-04,396300.0,9.813,10.38,9.875,9.625
2001-01-05,193275.0,9.563,10.19,9.75,9.25
2001-01-08,317550.0,9.688,10.0,9.859,9.375
2001-01-09,276425.0,10.25,10.38,9.844,9.844
2001-01-10,409550.0,10.0,10.31,10.25,9.875
2001-01-11,467500.0,11.88,12.63,10.0,10.0
2001-01-12,92875.0,12.38,12.75,11.81,11.69
2001-01-16,380800.0,12.5,12.75,12.63,12.25
2001-01-17,121625.0,13.25,13.38,12.81,12.75
2001-01-18,77400.0,13.0,13.38,12.98,12.69
2001-01-19,137550.0,12.5,13.38,13.38,12.5
2001-01-22,74725.0,12.38,12.88,12.33,12.31
2001-01-23,33600.0,12.84,12.88,12.88,12.38
2001-01-24,88450.0,12.06,12.5,12.5,12.0
2001-01-25,93325.0,11.63,12.38,12.13,11.63
2001-01-26,152150.0,11.63,11.63,11.63,10.75
2001-01-29,161425.0,13.25,13.75,11.73,11.73
2001-01-30,321100.0,13.0,13.25,13.13,12.63
2001-01-31,171150.0,12.5,12.75,12.75,12.5
2001-02-01,49975.0,13.0,13.0,12.5,12.5
2001-02-02,66775.0,12.91,13.11,12.81,12.81
2001-02-05,29625.0,12.75,12.81,12.81,12.5
2001-02-06,7950.0,12.75,12.75,12.75,12.72
2001-02-07,65000.0,12.81,12.88,12.73,12.73
2001-02-08,156550.0,13.06,13.25,13.23,13.06
2001-02-09,83575.0,13.19,13.36,13.11,13.0
2001-02-12,39350.0,13.44,13.5,13.25,13.25
2001-02-13,127375.0,14.0,14.0,13.25,13.0
2001-02-14,356050.0,14.13,15.13,14.25,13.44
2001-02-15,71650.0,14.25,14.38,14.23,13.88
2001-02-16,72525.0,14.31,14.39,14.39,14.25
2001-02-20,233975.0,13.38,14.38,14.31,13.0
2001-02-21,131350.0,13.69,13.75,13.31,13.25
2001-02-22,345425.0,13.69,14.13,13.75,13.19
2001-02-23,946950.0,13.38,14.0,13.75,13.13
2001-02-26,78725.0,14.44,14.63,13.73,13.31
2001-02-27,149050.0,14.75,14.75,14.63,14.0
2001-02-28,177350.0,14.81,14.88,14.63,14.5
2001-03-01,601075.0,15.0,15.13,14.53,14.5
2001-03-02,518375.0,14.69,15.03,15.03,14.69
2001-03-05,99950.0,14.88,15.0,14.81,14.44
2001-03-06,22100.0,14.5,14.81,14.72,14.5
2001-03-07,61475.0,14.27,14.63,14.39,14.25
2001-03-08,56150.0,14.38,14.56,14.56,14.13
2001-03-09,261375.0,14.19,14.31,14.19,14.13
2001-03-12,111900.0,14.13,14.19,14.13,14.0
2001-03-13,218475.0,14.25,14.25,13.97,13.88
2001-03-14,197250.0,13.44,14.25,13.7,13.25
2001-03-15,107900.0,13.25,13.63,13.63,13.19
2001-03-16,114100.0,13.0,13.2,13.2,12.25
2001-03-19,53075.0,12.56,12.75,12.27,12.25
2001-03-20,25200.0,12.44,12.75,12.5,12.38
2001-03-21,84900.0,11.38,12.75,12.27,11.38
2001-03-22,79600.0,10.63,11.5,11.33,10.0
2001-03-23,116750.0,12.13,12.13,11.0,10.77
2001-03-26,55275.0,12.31,12.69,12.0,12.0
2001-03-27,173800.0,13.44,13.44,12.63,12.38
2001-03-28,131800.0,12.75,13.5,13.38,12.5
2001-03-29,130025.0,12.38,12.94,12.75,12.38
2001-03-30,20325.0,12.5,12.69,12.38,12.38
2001-04-02,54825.0,11.88,12.31,12.31,11.81
2001-04-03,175575.0,11.25,11.69,11.25,10.88
2001-04-04,70325.0,11.25,11.69,11.13,11.06
2001-04-05,171600.0,11.5,11.5,11.38,11.25
2001-04-06,169825.0,12.88,13.5,11.63,11.52
2001-04-09,348075.0,12.52,12.85,12.85,12.51
2001-04-10,72525.0,12.75,12.75,12.5,11.65
2001-04-11,9275.0,12.85,12.85,12.75,12.75
2001-04-12,57050.0,13.0,13.0,12.9,12.35
2001-04-16,21650.0,12.74,13.05,13.0,12.74
2001-04-17,154350.0,13.12,13.12,12.72,12.68
2001-04-18,166300.0,13.27,13.28,13.0,12.75
2001-04-19,396300.0,12.06,13.27,13.27,11.97
2001-04-20,471025.0,12.0,12.2,12.15,11.7
2001-04-23,1540950.0,13.45,13.5,12.39,12.22
2001-04-24,1337950.0,15.2,15.5,13.52,13.52
2001-04-25,1177400.0,16.5,16.99,15.05,14.95
2001-04-26,877950.0,17.0,17.17,16.87,16.56
2001-04-27,290575.0,16.25,16.97,16.97,16.04
2001-04-30,726250.0,16.3,16.77,16.28,16.21
2001-05-01,212300.0,16.26,16.5,16.5,16.0
2001-05-02,416200.0,16.4,16.55,16.24,16.15
2001-05-03,261375.0,16.5,16.55,16.4,16.3
2001-05-04,669175.0,16.5,16.57,16.5,16.15
