date,5. volume,4. close,2. high,1. open,3. low
2017-07-28,9445864.0,21.7,22.11,19.56,19.29
2017-07-31,4377508.0,24.13,25.11,22.43,22.29
2017-08-01,3755382.0,26.48,28.7,26.25,25.3
2017-08-02,3620679.0,31.06,31.19,28.45,27.7
2017-08-03,5761471.0,27.2,33.49,33.39,26.51
2017-08-04,1670614.0,25.84,27.76,27.74,25.51
2017-08-07,2618219.0,25.27,28.22,25.72,24.7
2017-08-08,1311402.0,25.52,25.9,25.62,24.44
2017-08-09,982928.0,26.33,26.58,25.0,24.72
2017-08-10,595347.0,25.44,26.4,26.0,25.11
2017-08-11,636489.0,24.85,25.924,25.03,24.21
2017-08-14,554891.0,24.96,25.31,25.11,24.5
2017-08-15,1990388.0,28.59,28.85,24.84,24.55
2017-08-16,2239602.0,27.19,30.21,28.85,26.643
2017-08-17,1332220.0,26.58,28.469,26.91,26.0
2017-08-18,1142513.0,26.7,27.245,26.59,25.31
2017-08-21,1356402.0,27.56,28.54,26.62,26.45
2017-08-22,2017600.0,25.27,27.3,25.64,25.2
2017-08-23,917375.0,25.75,26.18,25.05,25.0
2017-08-24,1579584.0,25.79,26.073,25.74,25.101
2017-08-25,969795.0,24.89,25.8,25.47,24.87
2017-08-28,672460.0,24.83,25.126,24.8,24.51
2017-08-29,923460.0,23.87,24.79,24.55,23.6
2017-08-30,1453034.0,23.04,23.87,23.65,22.66
2017-08-31,950491.0,22.29,23.37,22.09,22.07
2017-09-01,997580.0,23.6,23.68,22.15,22.15
2017-09-05,1499783.0,24.99,25.19,23.59,23.255
2017-09-06,1371191.0,25.86,25.93,24.62,24.551
2017-09-07,1562540.0,25.36,26.05,26.05,25.21
2017-09-08,1664297.0,24.1,26.4,26.4,24.01
2017-09-11,1253448.0,25.82,26.04,24.3,24.16
2017-09-12,648448.0,25.41,26.247,25.85,25.01
2017-09-13,930987.0,26.89,26.95,25.25,25.25
2017-09-14,791090.0,26.72,27.96,26.69,26.425
2017-09-15,2052823.0,26.53,27.35,26.5,26.05
2017-09-18,702581.0,26.92,27.125,26.69,25.6
2017-09-19,464782.0,26.58,27.3,26.92,26.36
2017-09-20,564930.0,27.28,27.29,26.58,26.38
2017-09-21,380733.0,26.25,27.35,27.04,26.13
2017-09-22,989289.0,27.97,28.0,26.39,26.2
2017-09-25,1516193.0,26.02,28.695,27.87,25.64
2017-09-26,1061291.0,25.21,26.517,26.0,25.04
2017-09-27,754989.0,25.24,25.78,25.32,25.03
2017-09-28,414475.0,25.42,25.73,25.35,24.89
2017-09-29,825660.0,25.09,25.54,25.21,24.65
2017-10-02,417037.0,25.05,25.47,24.97,24.81
2017-10-03,543082.0,24.92,25.19,24.9,24.808
2017-10-04,417484.0,24.92,25.27,24.83,24.81
2017-10-05,840750.0,25.0,25.32,24.81,24.55
2017-10-06,771544.0,25.0,25.01,24.9,24.05
2017-10-09,1251799.0,26.33,26.59,25.0,25.0
2017-10-10,644497.0,25.33,26.49,26.49,25.01
2017-10-11,374983.0,25.33,25.92,25.28,25.2
2017-10-12,339120.0,25.65,25.7,25.28,25.07
2017-10-13,434998.0,26.03,26.15,25.41,25.236
2017-10-16,275988.0,25.76,25.987,25.61,25.33
2017-10-17,1249552.0,26.99,27.2,25.56,25.55
2017-10-18,842745.0,26.08,27.67,26.76,25.825
2017-10-19,684631.0,25.68,26.31,26.15,25.03
2017-10-20,572241.0,25.25,26.0,25.76,25.18
2017-10-23,644273.0,24.34,25.708,25.25,24.25
2017-10-24,636743.0,24.09,24.717,24.25,23.85
2017-10-25,617253.0,23.4,24.486,23.97,23.12
2017-10-26,430144.0,23.11,23.5,23.38,22.8
2017-10-27,716384.0,23.01,23.26,23.06,22.7
2017-10-30,725866.0,23.28,23.65,22.86,22.72
2017-10-31,375377.0,23.54,23.81,23.2,23.12
2017-11-01,257167.0,23.28,23.74,23.74,23.1
2017-11-02,373040.0,23.74,24.25,23.1,23.05
2017-11-03,509959.0,22.9,23.6,23.51,22.72
2017-11-06,471900.0,22.54,23.007,22.8,22.23
2017-11-07,515609.0,22.95,23.205,22.36,22.25
2017-11-08,660993.0,21.7,22.95,22.93,21.51
2017-11-09,1131102.0,23.2,23.3,21.76,21.76
2017-11-10,2237831.0,20.93,21.7,21.0,19.81
2017-11-13,684594.0,21.29,21.64,20.81,20.73
2017-11-14,536562.0,21.15,21.33,21.3,20.76
2017-11-15,478200.0,21.76,21.8,21.19,20.852
2017-11-16,406648.0,21.05,21.74,21.74,21.03
2017-11-17,337453.0,21.12,21.35,21.0,20.99
2017-11-20,633476.0,20.85,21.33,20.94,20.81
2017-11-21,420289.0,20.78,21.19,21.0,20.76
2017-11-22,936200.0,19.94,20.723,20.68,19.5
2017-11-24,200901.0,20.08,20.43,20.11,19.9
2017-11-27,918064.0,21.43,21.53,20.25,20.06
2017-11-28,1013251.0,22.86,23.48,21.6,21.51
2017-11-29,844918.0,22.81,23.3664,23.2,22.77
2017-11-30,255154.0,22.78,23.15,23.15,22.4
2017-12-01,810861.0,23.44,23.76,22.3,22.02
2017-12-04,783116.0,24.69,24.776,23.88,23.67
2017-12-05,1217691.0,24.73,25.85,24.6,24.0114
2017-12-06,283112.0,25.07,25.45,24.84,24.5229
2017-12-07,624172.0,24.32,25.3,24.92,24.05
2017-12-08,519453.0,24.11,24.62,24.45,24.01
2017-12-11,810927.0,24.54,25.38,24.24,24.1
2017-12-12,1293951.0,26.94,27.57,24.52,24.5
2017-12-13,910698.0,24.29,26.85,26.85,23.75
2017-12-14,448701.0,25.3,25.88,24.5,24.3589
2017-12-15,594039.0,26.01,26.32,26.13,25.545
2017-12-18,335266.0,25.9,26.2622,26.18,25.78
2017-12-19,417961.0,26.25,26.7048,25.6,25.58
2017-12-20,331915.0,26.48,26.92,26.9,26.0601
2017-12-21,763566.0,27.25,28.48,26.79,25.82
2017-12-22,362812.0,27.0,27.449,27.34,26.48
2017-12-26,173539.0,27.32,27.76,26.79,26.31
