date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,122800.0,27.75,29.5,29.5,27.5
2000-07-17,245800.0,30.56,31.38,27.81,27.63
2000-07-18,233500.0,29.19,30.44,30.06,29.13
2000-07-19,137800.0,27.63,29.66,29.66,27.5
2000-07-20,187200.0,28.44,29.25,28.41,28.0
2000-07-21,314700.0,28.69,29.88,29.25,28.0
2000-07-24,101700.0,28.75,29.5,29.5,26.75
2000-07-25,123800.0,26.23,28.19,28.06,25.25
2000-07-26,148700.0,28.13,28.63,25.69,25.0
2000-07-27,125200.0,26.56,28.75,28.31,25.13
2000-07-28,94600.0,24.63,26.59,26.56,24.63
2000-07-31,114600.0,28.06,29.13,24.88,24.66
2000-08-01,98200.0,28.56,29.75,28.06,27.0
2000-08-02,48400.0,28.44,28.5,27.75,26.63
2000-08-03,140900.0,28.94,28.94,27.06,26.88
2000-08-04,154200.0,29.38,30.13,29.0,28.94
2000-08-07,88000.0,30.19,30.63,29.44,29.38
2000-08-08,71500.0,29.81,30.63,30.19,29.19
2000-08-09,121100.0,29.69,31.56,30.69,29.69
2000-08-10,65400.0,28.0,30.25,30.25,28.0
2000-08-11,102900.0,29.44,30.0,27.63,26.25
2000-08-14,69000.0,30.06,30.13,29.13,29.13
2000-08-15,1766600.0,33.5,35.0,29.75,29.13
2000-08-16,457800.0,33.69,34.88,34.81,33.44
2000-08-17,170200.0,33.5,33.75,33.03,32.25
2000-08-18,95900.0,33.13,33.75,33.69,32.25
2000-08-21,156800.0,32.38,33.75,33.31,31.0
2000-08-22,135100.0,31.94,32.63,32.56,31.13
2000-08-23,122900.0,31.13,32.0,31.38,30.0
2000-08-24,199700.0,33.0,33.38,30.81,30.0
2000-08-25,92400.0,33.0,33.75,33.13,32.5
2000-08-28,58200.0,31.81,33.06,32.56,31.5
2000-08-29,72600.0,32.94,33.0,31.91,31.25
2000-08-30,104500.0,33.75,33.94,33.25,33.0
2000-08-31,206200.0,35.44,36.25,33.88,33.88
2000-09-01,136400.0,34.13,35.75,35.63,33.5
2000-09-05,154800.0,32.75,35.75,34.63,32.63
2000-09-06,74200.0,32.63,33.06,32.72,32.25
2000-09-07,89700.0,32.94,33.13,32.19,31.94
2000-09-08,41500.0,32.38,33.38,33.06,32.31
2000-09-11,103800.0,31.13,32.5,32.44,29.88
2000-09-12,66400.0,32.13,32.31,31.5,31.31
2000-09-13,82200.0,31.94,32.44,32.0,30.56
2000-09-14,184600.0,30.94,32.0,32.0,30.0
2000-09-15,261900.0,36.0,36.25,30.69,30.5
2000-09-18,207600.0,32.06,35.5,35.5,31.0
2000-09-19,68400.0,32.75,32.88,32.88,31.38
2000-09-20,264800.0,33.38,33.67,32.69,32.06
2000-09-21,81000.0,31.75,33.5,33.13,31.63
2000-09-22,136800.0,33.13,33.13,31.38,31.0
2000-09-25,72700.0,33.13,34.0,33.81,32.5
2000-09-26,82800.0,30.88,33.5,33.13,30.88
2000-09-27,108600.0,31.0,32.0,31.84,30.44
2000-09-28,189200.0,32.0,32.88,30.94,30.88
2000-09-29,225000.0,32.63,33.44,31.94,31.75
2000-10-02,685500.0,29.56,33.13,32.38,29.5
2000-10-03,130200.0,29.75,31.25,29.88,29.0
2000-10-04,106300.0,29.56,29.88,29.73,27.81
2000-10-05,160500.0,28.44,31.5,29.63,28.0
2000-10-06,112300.0,29.63,29.63,28.48,28.06
2000-10-09,105800.0,29.06,30.38,29.0,28.5
2000-10-10,96000.0,28.88,29.19,28.84,28.5
2000-10-11,101400.0,27.13,28.56,28.5,27.0
2000-10-12,122700.0,26.06,27.75,27.0,26.0
2000-10-13,93600.0,25.94,25.94,25.69,25.13
2000-10-16,82300.0,27.88,28.06,25.92,25.88
2000-10-17,138500.0,25.88,28.25,27.8,25.88
2000-10-18,209900.0,26.38,26.5,25.5,25.0
2000-10-19,165800.0,27.69,27.81,26.75,25.38
2000-10-20,201300.0,25.75,27.38,27.0,25.25
2000-10-23,163900.0,26.38,26.63,25.63,25.13
2000-10-24,114800.0,25.69,27.69,25.63,25.19
2000-10-25,104700.0,25.63,28.25,26.13,25.25
2000-10-26,163500.0,26.19,26.25,25.06,25.06
2000-10-27,334200.0,24.13,26.5,26.19,24.0
2000-10-30,576800.0,21.38,24.19,24.02,21.25
2000-10-31,374700.0,26.75,28.0,23.22,22.44
2000-11-01,136000.0,26.0,27.75,26.13,25.38
2000-11-02,434600.0,26.56,27.69,26.0,25.38
2000-11-03,302100.0,26.06,26.75,26.75,25.81
2000-11-06,41900.0,25.69,26.25,26.0,25.25
2000-11-07,285000.0,25.44,26.13,26.0,25.13
2000-11-08,105000.0,25.63,26.94,25.44,25.44
2000-11-09,113200.0,25.44,26.56,25.63,25.0
2000-11-10,125700.0,25.63,26.5,25.0,24.94
2000-11-13,198400.0,23.63,25.31,24.42,23.63
2000-11-14,66900.0,24.69,25.0,24.25,24.25
2000-11-15,77200.0,26.0,26.56,24.25,24.25
2000-11-16,85200.0,24.69,26.56,26.13,24.5
2000-11-17,92900.0,24.94,25.63,25.0,24.5
2000-11-20,517300.0,20.75,24.88,24.88,20.5
2000-11-21,201100.0,20.88,21.75,21.0,20.81
2000-11-22,323000.0,20.31,21.38,20.36,19.63
2000-11-24,49700.0,23.06,23.06,20.25,20.0
2000-11-27,268800.0,26.13,26.31,23.64,23.0
2000-11-28,961600.0,27.19,30.5,28.38,26.13
2000-11-29,743300.0,24.69,28.25,27.31,24.44
2000-11-30,236200.0,24.38,25.06,22.91,22.88
2000-12-01,580000.0,27.81,28.0,24.75,24.25
2000-12-04,248400.0,27.56,28.13,28.0,26.94
2000-12-05,404300.0,29.0,29.0,27.59,27.5
2000-12-06,206500.0,29.5,29.5,28.88,28.75
2000-12-07,189300.0,29.5,29.5,29.0,28.88
2000-12-08,410100.0,32.88,32.88,29.13,29.13
2000-12-11,515500.0,36.06,36.13,33.0,32.63
2000-12-12,264300.0,35.0,36.13,35.5,34.25
2000-12-13,297200.0,35.63,35.88,34.69,34.0
2000-12-14,221000.0,35.06,35.75,35.63,34.5
2000-12-15,200000.0,34.81,34.92,34.88,34.5
2000-12-18,374400.0,40.0,40.0,34.8,34.75
2000-12-19,648500.0,39.88,41.69,39.58,38.94
2000-12-20,430900.0,36.31,39.56,39.5,36.0
2000-12-21,251600.0,39.06,39.56,36.13,36.0
2000-12-22,175800.0,38.94,40.0,39.34,37.94
2000-12-26,183900.0,38.94,38.94,38.94,38.94
2000-12-27,317600.0,37.5,39.0,38.13,37.19
2000-12-28,222600.0,37.25,37.5,37.13,36.69
2000-12-29,615500.0,35.27,41.0,37.5,34.88
2001-01-02,263800.0,35.56,37.5,36.44,35.13
2001-01-03,442600.0,34.06,35.92,35.25,32.0
2001-01-04,363800.0,32.44,34.44,34.25,32.0
2001-01-05,281700.0,31.13,32.19,32.19,30.38
2001-01-08,178800.0,30.25,31.06,31.06,30.0
2001-01-09,160400.0,31.0,31.38,30.25,30.25
2001-01-10,205700.0,32.25,34.38,31.0,30.69
2001-01-11,125800.0,33.63,33.69,32.5,32.5
2001-01-12,272500.0,34.75,36.81,33.44,33.44
2001-01-16,305100.0,39.0,39.13,35.06,35.0
2001-01-17,340900.0,36.75,40.25,39.0,36.5
2001-01-18,132700.0,35.06,37.31,36.73,34.25
2001-01-19,167900.0,33.88,36.06,35.44,33.38
2001-01-22,112800.0,34.56,35.13,34.25,33.83
2001-01-23,135600.0,36.75,36.88,34.5,34.38
2001-01-24,316700.0,37.13,38.75,36.38,36.13
2001-01-25,101700.0,36.69,38.0,37.0,36.13
2001-01-26,461700.0,33.13,35.94,35.94,31.5
2001-01-29,269300.0,31.75,33.38,32.88,31.0
2001-01-30,315500.0,30.75,32.25,31.77,29.88
2001-01-31,193500.0,32.75,34.88,30.75,30.31
2001-02-01,87200.0,32.88,33.0,33.0,31.88
2001-02-02,104500.0,32.31,33.13,32.45,32.13
2001-02-05,85800.0,32.19,32.25,32.19,31.75
2001-02-06,130100.0,34.81,34.81,32.25,32.13
2001-02-07,79100.0,33.81,34.31,34.31,32.94
2001-02-08,67000.0,33.38,34.63,33.56,33.31
2001-02-09,143400.0,32.13,33.31,33.31,31.94
2001-02-12,125600.0,34.94,35.94,32.06,32.06
2001-02-13,117700.0,33.5,36.94,34.88,33.31
2001-02-14,86500.0,34.69,35.0,33.56,32.38
2001-02-15,53300.0,34.0,35.06,34.63,33.06
2001-02-16,66500.0,33.81,34.0,33.63,32.38
2001-02-20,41700.0,31.94,33.88,33.88,31.44
2001-02-21,85400.0,32.19,32.5,30.94,30.94
2001-02-22,104300.0,30.94,32.0,31.98,30.69
2001-02-23,116600.0,32.0,32.31,30.64,30.0
2001-02-26,82600.0,32.94,32.94,31.94,31.5
2001-02-27,66000.0,32.56,33.38,32.98,32.19
2001-02-28,62400.0,31.38,33.25,33.0,31.19
2001-03-01,183900.0,29.5,32.13,31.0,28.5
2001-03-02,222900.0,30.0,30.31,29.5,29.38
2001-03-05,129900.0,29.19,30.0,29.75,29.06
2001-03-06,145600.0,27.92,29.38,29.31,27.69
2001-03-07,99300.0,27.63,28.63,27.55,27.5
2001-03-08,186100.0,26.5,28.25,28.25,26.5
2001-03-09,217000.0,26.02,27.0,27.0,25.75
2001-03-12,347600.0,22.5,25.8,25.75,22.25
2001-03-13,296200.0,23.69,23.69,22.06,21.13
2001-03-14,80500.0,23.38,23.56,23.25,22.56
2001-03-15,142000.0,24.0,24.5,23.63,23.61
2001-03-16,339800.0,22.94,23.94,23.92,22.75
2001-03-19,440400.0,25.13,26.19,22.81,22.81
2001-03-20,1513600.0,24.25,25.5,25.38,24.13
2001-03-21,651300.0,22.88,24.69,24.38,22.5
2001-03-22,1603200.0,23.5,25.31,22.56,21.25
2001-03-23,191100.0,23.88,24.88,23.75,23.75
2001-03-26,155200.0,24.63,25.63,24.31,24.31
2001-03-27,108900.0,24.38,24.63,24.5,23.94
2001-03-28,65100.0,24.5,24.63,24.0,23.88
2001-03-29,342000.0,23.94,24.63,24.31,23.0
2001-03-30,372800.0,22.19,24.25,24.25,22.19
2001-04-02,177800.0,22.38,22.88,22.5,22.19
2001-04-03,299800.0,21.13,22.75,22.27,20.88
2001-04-04,409000.0,21.44,21.75,21.06,20.88
2001-04-05,192900.0,22.88,22.88,21.69,21.63
2001-04-06,112100.0,22.31,22.81,22.5,21.5
2001-04-09,100700.0,23.01,23.29,22.49,21.99
2001-04-10,160400.0,25.15,25.5,23.25,23.25
2001-04-11,99900.0,23.91,25.5,25.5,23.58
2001-04-12,60000.0,25.69,25.69,24.25,23.95
2001-04-16,55800.0,24.55,25.69,25.69,24.51
2001-04-17,95300.0,24.55,24.95,24.44,24.41
2001-04-18,189000.0,28.04,28.06,24.6,24.59
2001-04-19,150400.0,29.8,29.8,27.5,27.18
2001-04-20,232000.0,28.2,29.36,29.25,28.07
2001-04-23,78400.0,26.0,28.39,28.39,26.0
2001-04-24,52800.0,25.78,27.01,26.54,25.61
2001-04-25,57000.0,26.8,28.04,26.32,25.89
2001-04-26,67000.0,27.87,28.6,26.99,26.76
2001-04-27,143700.0,29.04,29.04,27.38,27.27
2001-04-30,200000.0,31.01,31.3,29.04,28.66
2001-05-01,155100.0,31.08,31.35,30.67,29.95
2001-05-02,140400.0,30.6,31.1,31.1,30.21
2001-05-03,163800.0,29.8,31.0,30.88,29.3
2001-05-04,234200.0,28.64,29.77,29.5,28.51
2001-05-07,239400.0,27.79,28.84,28.84,27.4
2001-05-08,208700.0,27.55,27.8,27.79,26.85
2001-05-09,170700.0,27.09,27.59,27.25,27.01
2001-05-10,74000.0,27.24,27.59,27.59,27.05
2001-05-11,86100.0,26.44,27.23,27.23,26.0
2001-05-14,129100.0,26.45,26.58,26.58,26.2
2001-05-15,80200.0,26.71,26.95,26.45,26.2
2001-05-16,104300.0,27.91,28.88,26.48,26.29
2001-05-17,144700.0,30.01,30.99,28.36,28.1
2001-05-18,119400.0,30.02,30.5,30.0,29.65
2001-05-21,68200.0,31.52,31.88,30.88,30.88
2001-05-22,100300.0,31.36,31.88,31.54,30.7
2001-05-23,126800.0,31.2,31.35,31.16,31.07
2001-05-24,319100.0,31.19,31.23,31.12,30.6
2001-05-25,97400.0,31.16,31.39,31.11,31.02
2001-05-29,66200.0,31.03,31.55,31.15,31.0
2001-05-30,148000.0,31.03,31.4,31.05,30.9
2001-05-31,145700.0,31.91,31.95,30.96,30.95
2001-06-01,252300.0,33.64,33.92,31.54,31.54
2001-06-04,184900.0,34.85,34.87,33.94,32.76
2001-06-05,421100.0,36.8,36.8,34.71,34.7
2001-06-06,465500.0,36.61,36.99,36.28,36.07
2001-06-07,238400.0,36.54,36.95,36.78,36.24
2001-06-08,81100.0,35.88,36.59,36.59,35.88
2001-06-11,313500.0,37.05,38.0,35.8,35.8
2001-06-12,232700.0,35.11,36.39,36.38,34.99
2001-06-13,221300.0,34.15,35.77,35.25,34.15
2001-06-14,102900.0,33.8,34.14,33.81,33.27
2001-06-15,304200.0,34.99,35.0,33.8,33.75
2001-06-18,136200.0,33.45,35.2,34.93,33.38
2001-06-19,308100.0,33.94,33.99,33.7,33.42
2001-06-20,258100.0,34.23,34.7,33.94,33.55
2001-06-21,167500.0,35.78,37.0,34.44,34.44
2001-06-22,266900.0,34.15,35.74,35.63,34.03
2001-06-25,79100.0,33.74,34.16,34.16,33.05
2001-06-26,124300.0,34.08,34.4,33.74,33.49
2001-06-27,60500.0,34.04,34.69,34.2,33.96
2001-06-28,528000.0,34.1,34.51,34.01,33.89
2001-06-29,247500.0,34.65,34.85,34.05,33.93
2001-07-02,113500.0,33.83,35.3,34.16,33.75
2001-07-03,66100.0,34.09,34.2,33.84,32.9
2001-07-05,83900.0,32.12,33.3,33.23,32.1
2001-07-06,185600.0,30.55,32.08,32.08,29.75
2001-07-09,129100.0,31.18,31.75,30.52,30.25
2001-07-10,188000.0,29.5,31.76,31.13,29.4
2001-07-11,86000.0,28.99,29.76,29.26,28.6
2001-07-12,295800.0,27.2,28.5,28.5,26.75
2001-07-13,290300.0,27.6,28.3,27.11,26.75
2001-07-16,179400.0,25.95,28.0,28.0,25.44
2001-07-17,181400.0,27.0,27.71,25.9,25.71
2001-07-18,69400.0,27.97,28.1,26.99,26.66
2001-07-19,182600.0,28.88,29.3,28.16,28.16
2001-07-20,47700.0,29.43,30.1,29.18,28.81
2001-07-23,104900.0,28.6,29.75,29.75,28.44
2001-07-24,116400.0,27.03,28.9,28.63,26.03
2001-07-25,100800.0,27.6,27.6,27.06,25.7
2001-07-26,102900.0,27.5,27.63,27.54,26.97
2001-07-27,95300.0,26.75,27.7,27.61,26.7
2001-07-30,85800.0,26.73,27.05,27.0,26.25
2001-07-31,168000.0,26.87,27.13,26.29,26.28
2001-08-01,535200.0,29.27,29.48,29.3,28.0
2001-08-02,274700.0,27.57,29.5,29.45,27.3
2001-08-03,167700.0,27.15,27.79,27.79,26.25
2001-08-06,90200.0,26.95,27.15,27.02,26.95
2001-08-07,111900.0,28.2,28.2,27.0,26.95
2001-08-08,92400.0,25.82,28.25,28.25,25.51
2001-08-09,184400.0,27.34,27.38,25.82,25.82
2001-08-10,63600.0,26.76,27.69,26.51,26.5
2001-08-13,200500.0,28.28,28.56,27.22,26.76
2001-08-14,101500.0,28.73,29.08,28.25,28.0
2001-08-15,130100.0,27.45,29.09,28.85,27.0
2001-08-16,117800.0,28.6,28.89,27.26,27.26
2001-08-17,79300.0,27.94,28.12,27.62,27.51
2001-08-20,47700.0,27.94,27.94,27.94,27.94
2001-08-21,172200.0,27.75,28.2,27.85,27.69
2001-08-22,68400.0,28.49,28.6,27.67,27.67
2001-08-23,141900.0,30.13,30.3,28.05,27.84
2001-08-24,70600.0,30.5,30.79,29.8,29.46
2001-08-27,185100.0,31.19,31.44,30.8,30.56
2001-08-28,72500.0,30.6,31.24,31.19,30.6
2001-08-29,45700.0,30.99,30.99,30.99,30.26
2001-08-30,98000.0,30.15,31.75,31.75,29.74
2001-08-31,71900.0,30.12,30.2,29.8,29.66
2001-09-04,82200.0,29.9,30.86,29.72,29.32
2001-09-05,125500.0,30.79,30.84,30.09,29.88
2001-09-06,118800.0,29.4,30.57,30.44,28.87
2001-09-07,137300.0,28.24,29.05,29.05,27.88
2001-09-10,225400.0,27.17,28.23,28.0,26.71
2001-09-17,209300.0,23.0,26.41,25.81,23.0
2001-09-18,418700.0,22.83,23.98,23.96,22.83
2001-09-19,269900.0,21.75,23.34,23.34,21.55
2001-09-20,89700.0,20.75,22.31,22.31,20.75
2001-09-21,146100.0,20.6,21.44,21.44,20.24
2001-09-24,279500.0,21.87,22.37,22.37,21.1
2001-09-25,244700.0,21.87,21.87,21.87,21.87
2001-09-26,265700.0,21.29,21.75,21.75,21.1
2001-09-27,342300.0,22.52,22.6,21.15,21.05
2001-09-28,233000.0,22.24,23.6,22.65,22.24
2001-10-01,76800.0,22.72,23.25,22.2,21.33
2001-10-02,77900.0,24.0,24.0,24.0,22.45
2001-10-03,127800.0,26.15,26.45,26.45,23.5
2001-10-04,112000.0,25.43,26.45,26.45,25.43
2001-10-05,122200.0,24.84,25.86,25.86,24.05
2001-10-08,190500.0,24.02,24.84,24.84,23.76
2001-10-09,63200.0,24.37,24.74,24.74,23.71
2001-10-10,141400.0,27.1,27.1,24.39,24.28
2001-10-11,201600.0,27.01,28.34,27.03,26.99
2001-10-12,5386700.0,23.24,23.65,23.46,22.09
2001-10-15,1317000.0,23.1,23.2,23.19,22.01
2001-10-16,583000.0,23.0,23.43,23.1,22.46
2001-10-17,817300.0,22.61,23.25,22.95,22.2
2001-10-18,140900.0,22.57,22.91,22.53,22.37
2001-10-19,479500.0,22.34,22.86,22.65,22.05
