date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,4563.0,15.19,15.25,15.12,15.12
2000-07-17,6044.0,15.44,15.5,15.25,15.25
2000-07-18,4267.0,15.19,15.5,15.5,15.19
2000-07-19,5985.0,15.0,15.25,15.19,15.0
2000-07-20,4800.0,15.12,15.12,14.94,14.94
2000-07-21,4385.0,14.87,15.19,15.19,14.87
2000-07-24,11852.0,15.12,15.25,14.87,14.63
2000-07-25,8000.0,15.06,15.19,15.19,14.94
2000-07-26,10252.0,15.19,15.19,15.0,14.94
2000-07-27,7230.0,15.06,15.12,15.12,15.0
2000-07-28,9185.0,14.94,15.06,15.06,14.94
2000-07-31,11635.0,15.12,15.12,14.94,14.87
2000-08-01,8553.0,15.06,15.12,15.06,15.06
2000-08-02,8435.0,14.87,15.06,15.0,14.87
2000-08-03,18153.0,15.06,15.06,14.87,14.44
2000-08-04,36444.0,15.12,15.19,15.06,15.06
2000-08-07,19575.0,14.69,15.19,15.12,14.25
2000-08-08,18667.0,14.5,14.75,14.75,14.5
2000-08-09,4563.0,14.5,14.5,14.5,14.38
2000-08-10,13867.0,14.44,14.44,14.38,14.25
2000-08-11,9244.0,14.63,14.63,14.44,14.38
2000-08-14,3457.0,14.75,14.75,14.56,14.56
2000-08-15,4800.0,14.63,14.75,14.75,14.63
2000-08-16,5175.0,14.69,14.69,14.63,14.56
2000-08-17,3042.0,14.94,14.94,14.75,14.75
2000-08-18,16375.0,14.81,15.0,14.87,14.75
2000-08-21,7585.0,14.75,14.81,14.75,14.69
2000-08-22,29353.0,14.63,14.69,14.69,14.44
2000-08-23,2568.0,14.69,14.69,14.5,14.5
2000-08-24,8000.0,14.94,14.94,14.75,14.69
2000-08-25,17442.0,14.75,15.06,15.0,14.5
2000-08-28,4444.0,14.69,14.81,14.75,14.69
2000-08-29,9244.0,14.81,14.81,14.75,14.63
2000-08-30,3378.0,14.87,14.94,14.87,14.81
2000-08-31,10252.0,15.0,15.0,14.87,14.87
2000-09-01,8000.0,14.87,15.0,15.0,14.75
2000-09-05,12168.0,14.81,14.94,14.81,14.75
2000-09-06,6420.0,14.81,14.81,14.75,14.75
2000-09-07,29768.0,14.94,14.94,14.75,14.75
2000-09-08,11635.0,14.94,15.06,14.94,14.94
2000-09-11,1857.0,14.94,14.94,14.94,14.94
2000-09-12,2153.0,15.0,15.0,14.94,14.94
2000-09-13,9600.0,14.87,15.0,15.0,14.87
2000-09-14,4267.0,15.0,15.0,14.87,14.87
2000-09-15,43990.0,14.94,15.06,15.06,14.94
2000-09-18,11200.0,14.25,14.87,14.87,14.25
2000-09-19,14835.0,14.75,14.75,14.38,14.31
2000-09-20,6420.0,14.87,14.94,14.75,14.75
2000-09-21,16968.0,14.75,14.94,14.75,14.75
2000-09-22,12800.0,14.69,14.81,14.69,14.56
2000-09-25,5867.0,14.56,14.69,14.69,14.56
2000-09-26,6400.0,14.69,14.69,14.56,14.56
2000-09-27,2963.0,14.69,14.69,14.63,14.63
2000-09-28,28978.0,14.75,14.81,14.63,14.63
2000-09-29,61768.0,14.81,14.81,14.75,14.63
2000-10-02,16435.0,14.69,14.94,14.81,14.69
2000-10-03,9067.0,14.69,14.81,14.75,14.69
2000-10-04,5985.0,14.94,14.94,14.75,14.75
2000-10-05,10667.0,14.87,14.87,14.81,14.81
2000-10-06,10430.0,14.87,14.87,14.87,14.81
2000-10-09,7190.0,14.81,14.87,14.87,14.81
2000-10-10,27753.0,15.0,15.0,14.87,14.87
2000-10-11,9442.0,15.0,15.06,15.0,14.94
2000-10-12,7585.0,15.06,15.06,15.0,15.0
2000-10-13,16830.0,15.31,15.31,15.06,15.0
2000-10-16,7644.0,15.31,15.31,15.31,15.25
2000-10-17,37590.0,15.38,15.44,15.25,15.19
2000-10-18,19378.0,15.5,15.5,15.25,15.25
2000-10-19,14163.0,16.0,16.0,15.56,15.56
2000-10-20,8178.0,16.25,16.25,15.94,15.94
2000-10-23,12267.0,16.5,16.56,16.19,16.19
