date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,118600.0,5.938,6.0,5.188,5.125
2000-07-17,78700.0,5.875,6.0,5.938,5.313
2000-07-18,105500.0,5.594,6.375,5.906,5.25
2000-07-19,433600.0,6.875,7.5,6.0,6.0
2000-07-20,181000.0,6.625,7.25,7.0,6.563
2000-07-21,64500.0,6.75,7.0,6.688,6.625
2000-07-24,59100.0,6.375,6.813,6.813,6.25
2000-07-25,79500.0,6.375,6.875,6.125,6.125
2000-07-26,71500.0,5.813,6.188,6.0,5.5
2000-07-27,59800.0,5.625,5.875,5.875,5.25
2000-07-28,71200.0,5.156,5.563,5.563,5.031
2000-07-31,43600.0,5.125,5.25,5.25,5.0
2000-08-01,58900.0,5.156,5.313,5.063,5.063
2000-08-02,68400.0,4.875,5.156,5.094,4.75
2000-08-03,67500.0,4.625,4.938,4.938,4.375
2000-08-04,38200.0,4.875,5.0,4.875,4.563
2000-08-07,71600.0,5.438,5.5,5.25,5.0
2000-08-08,41800.0,4.875,5.75,5.313,4.875
2000-08-09,30900.0,5.0,5.188,4.969,4.875
2000-08-10,57700.0,4.75,5.25,5.063,4.5
2000-08-11,14900.0,4.75,4.938,4.625,4.625
2000-08-14,55300.0,4.563,4.75,4.688,4.375
2000-08-15,28900.0,4.625,4.625,4.438,4.375
2000-08-16,77900.0,4.156,4.625,4.375,4.125
2000-08-17,30800.0,4.156,4.313,4.25,4.0
2000-08-18,59100.0,4.156,4.219,4.219,4.0
2000-08-21,46100.0,4.313,4.313,4.172,4.0
2000-08-22,44600.0,4.094,4.219,4.188,4.0
2000-08-23,51500.0,4.219,4.625,4.094,4.0
2000-08-24,66200.0,4.25,4.625,4.188,4.063
2000-08-25,46300.0,4.438,4.688,4.688,4.313
2000-08-28,38600.0,4.563,4.625,4.5,4.469
2000-08-29,26900.0,4.531,4.625,4.625,4.469
2000-08-30,31500.0,4.438,4.5,4.5,4.375
2000-08-31,49600.0,4.75,4.875,4.406,4.375
2000-09-01,39100.0,4.75,4.938,4.563,4.563
2000-09-05,46800.0,4.531,4.781,4.625,4.438
2000-09-06,38600.0,4.438,4.563,4.563,4.25
2000-09-07,15400.0,4.406,4.5,4.25,4.25
2000-09-08,27100.0,4.313,4.438,4.375,4.25
2000-09-11,70200.0,4.25,4.625,4.344,4.25
2000-09-12,56500.0,4.063,4.5,4.219,4.031
2000-09-13,64800.0,4.0,4.188,4.078,3.938
2000-09-14,57700.0,4.0,4.125,4.031,3.938
2000-09-15,150600.0,3.625,4.031,4.031,3.438
2000-09-18,33700.0,3.656,3.75,3.625,3.531
2000-09-19,75900.0,4.063,4.063,3.75,3.656
2000-09-20,66600.0,3.75,4.0,3.75,3.625
2000-09-21,30800.0,3.875,4.0,3.813,3.75
2000-09-22,57600.0,3.625,3.688,3.688,3.5
2000-09-25,44800.0,3.563,3.75,3.563,3.5
2000-09-26,95000.0,3.125,3.563,3.5,3.0
2000-09-27,43700.0,3.188,3.25,3.109,3.031
2000-09-28,46600.0,3.063,3.25,3.25,3.031
2000-09-29,52100.0,3.0,3.188,3.078,3.0
2000-10-02,39800.0,3.0,3.156,3.141,3.0
2000-10-03,49300.0,2.813,3.125,3.063,2.75
2000-10-04,31600.0,2.938,2.938,2.75,2.625
2000-10-05,40700.0,3.0,3.25,2.875,2.875
2000-10-06,30900.0,2.969,3.0,2.969,2.75
2000-10-09,17100.0,2.75,3.0,3.0,2.625
2000-10-10,31900.0,2.75,2.813,2.813,2.5
2000-10-11,53500.0,2.438,2.625,2.5,2.25
2000-10-12,58700.0,2.25,2.563,2.5,2.156
2000-10-13,53100.0,2.375,2.375,2.188,2.188
2000-10-16,44000.0,3.0,3.25,2.578,2.438
2000-10-17,26600.0,2.5,3.172,3.094,2.5
2000-10-18,54000.0,2.375,2.563,2.563,2.25
2000-10-19,69000.0,2.938,3.0,2.375,2.313
2000-10-20,21300.0,2.938,3.0,2.984,2.813
2000-10-23,22900.0,2.938,2.969,2.938,2.688
2000-10-24,19300.0,2.906,2.969,2.813,2.656
2000-10-25,18300.0,2.875,2.938,2.813,2.688
2000-10-26,36800.0,3.0,3.0,2.781,2.688
2000-10-27,75600.0,2.875,3.0,3.0,2.438
2000-10-30,35300.0,2.531,2.938,2.797,2.531
2000-10-31,52500.0,2.75,2.875,2.844,2.5
2000-11-01,16300.0,2.625,2.75,2.75,2.5
2000-11-02,45700.0,2.625,2.875,2.625,2.5
2000-11-03,7800.0,2.719,2.719,2.688,2.625
2000-11-06,35900.0,2.719,2.75,2.625,2.5
2000-11-07,14800.0,2.625,2.625,2.609,2.5
2000-11-08,27800.0,2.438,2.625,2.609,2.313
2000-11-09,86300.0,2.25,2.344,2.328,2.188
2000-11-10,23900.0,2.188,2.219,2.219,2.125
2000-11-13,37600.0,2.219,2.25,2.188,2.125
2000-11-14,30400.0,2.313,2.344,2.234,2.188
2000-11-15,23100.0,2.344,2.406,2.344,2.25
2000-11-16,18500.0,2.375,2.375,2.281,2.125
2000-11-17,70000.0,2.188,2.406,2.313,2.156
2000-11-20,35200.0,2.031,2.188,2.141,2.0
2000-11-21,31200.0,2.0,2.125,2.125,2.0
2000-11-22,32400.0,1.813,1.969,1.875,1.75
2000-11-24,29200.0,1.969,2.094,1.906,1.75
2000-11-27,28900.0,1.844,2.063,2.031,1.813
2000-11-28,88200.0,1.5,1.938,1.813,1.5
2000-11-29,81900.0,1.5,1.813,1.5,1.469
2000-11-30,32600.0,1.5,1.625,1.5,1.375
2000-12-01,43200.0,1.688,1.813,1.5,1.375
2000-12-04,38200.0,1.781,1.875,1.813,1.625
2000-12-05,26500.0,1.688,1.813,1.75,1.5
2000-12-06,27000.0,1.563,1.688,1.547,1.438
2000-12-07,82700.0,1.875,2.25,1.5,1.5
2000-12-08,31800.0,1.813,1.969,1.875,1.625
2000-12-11,46500.0,1.75,1.938,1.813,1.656
2000-12-12,29200.0,1.719,1.813,1.688,1.625
2000-12-13,49400.0,1.813,1.938,1.625,1.5
2000-12-14,18200.0,1.75,1.875,1.813,1.625
2000-12-15,23100.0,1.688,1.875,1.625,1.5
2000-12-18,55100.0,1.531,1.641,1.531,1.5
2000-12-19,61800.0,1.438,1.531,1.516,1.375
2000-12-20,121000.0,1.156,1.5,1.406,1.063
2000-12-21,117200.0,1.156,1.5,1.078,1.031
2000-12-22,191300.0,0.9688,1.219,1.125,0.8438
2000-12-26,132900.0,1.06,1.25,0.94,0.88
2000-12-27,107900.0,1.031,1.063,1.016,0.9688
2000-12-28,125700.0,1.125,1.219,0.9375,0.9375
2000-12-29,272200.0,0.9063,1.063,1.031,0.75
2001-01-02,69200.0,1.031,1.219,0.9844,0.9688
2001-01-03,137500.0,1.719,1.719,1.063,1.0
2001-01-04,67100.0,1.563,1.875,1.813,1.531
2001-01-05,48500.0,1.344,1.625,1.594,1.25
2001-01-08,28300.0,1.281,1.469,1.406,1.219
2001-01-09,64000.0,1.469,1.469,1.25,1.188
2001-01-10,29600.0,1.5,1.563,1.422,1.422
2001-01-11,65000.0,1.844,1.969,1.469,1.469
2001-01-12,110500.0,2.0,2.063,1.969,1.75
