date,5. volume,4. close,2. high,1. open,3. low
2007-03-07,17100.0,5.25,5.3,5.25,5.249
2007-03-08,8400.0,5.25,5.25,5.2,5.2
2007-03-09,8108.0,5.25,5.25,5.25,5.2
2007-03-12,27228.0,5.25,5.25,5.2,5.2
2007-03-13,2889.0,5.25,5.25,5.25,5.25
2007-03-14,1800.0,5.25,5.25,5.25,5.245
2007-03-15,25900.0,5.2,5.35,5.26,5.2
2007-03-16,45104.0,5.1,5.25,5.25,5.08
2007-03-19,10501.0,5.05,5.15,5.15,5.0
2007-03-20,37700.0,5.0,5.1,5.04,4.8
2007-03-21,11200.0,5.0,5.0,4.95,4.95
2007-03-22,23600.0,5.0,5.0,4.999,4.9
2007-03-23,33537.0,5.1,5.1,5.1,5.1
2007-03-26,1700.0,5.0,5.1,5.1,5.0
2007-03-27,12448.0,5.0,5.05,5.02,5.0
2007-03-28,6200.0,5.0,5.01,5.01,5.0
2007-03-29,13753.0,4.98,5.0,4.99,4.98
2007-03-30,32600.0,5.0,5.0,5.0,5.0
2007-04-02,6870.0,5.0,5.0,4.99,4.99
2007-04-03,46097.0,4.73,4.95,4.75,4.7
2007-04-04,24800.0,4.91,5.0,4.9,4.81
2007-04-05,2265.0,5.0,5.0,4.85,4.85
2007-04-09,1000.0,4.99,4.99,4.78,4.78
2007-04-10,3900.0,4.97,5.09,5.09,4.94
2007-04-11,2600.0,4.98,4.99,4.99,4.98
2007-04-12,3200.0,4.91,4.95,4.88,4.88
2007-04-13,1500.0,4.95,4.95,4.95,4.95
2007-04-16,1800.0,4.95,4.95,4.95,4.95
2007-04-17,14300.0,4.96,5.0,4.913,4.9
2007-04-18,29664.0,4.95,4.95,4.95,4.9
2007-04-19,18718.0,5.0,5.0,4.9,4.84
2007-04-20,207.0,5.05,5.05,5.05,5.05
2007-04-23,6614.0,4.93,5.18,5.1,4.93
2007-04-24,200.0,4.99,4.99,4.99,4.99
2007-04-25,4400.0,5.0,5.0,5.0,4.9999
2007-04-26,6800.0,5.0,5.0,4.92,4.92
2007-04-27,9100.0,4.9999,5.0,4.9,4.85
2007-04-30,11080.0,5.0,5.0,4.95,4.925
2007-05-01,27360.0,4.9,5.0,5.0,4.9
2007-05-02,7454.0,5.0,5.0,5.0,4.85
2007-05-03,300.0,4.9,4.926,4.926,4.9
2007-05-04,155627.0,4.85,5.0,4.9999,4.85
2007-05-07,3650.0,5.0,5.05,4.95,4.93
2007-05-08,29800.0,5.1,5.15,4.95,4.91
2007-05-09,14048.0,5.05,5.1,5.1,5.0
2007-05-10,3100.0,5.06,5.15,5.05,5.05
2007-05-11,300200.0,5.0,5.0556,5.0556,5.0
2007-05-14,1100.0,5.07,5.1999,5.05,5.05
2007-05-15,0.0,5.07,5.07,5.07,5.07
2007-05-16,2608.0,5.07,5.07,5.07,5.0665
2007-05-17,4700.0,5.07,5.07,5.07,5.0699
2007-05-18,13151.0,5.02,5.07,5.02,5.02
2007-05-21,1100.0,5.0,5.19,5.19,5.0
2007-05-22,8300.0,5.05,5.1,5.1,5.02
2007-05-23,1000.0,5.1626,5.17,5.1,5.0912
2007-05-24,19200.0,5.18,5.23,5.17,5.16
2007-05-25,2150.0,5.44,5.5,5.22,5.22
2007-05-29,6457.0,5.35,5.5,5.5,5.35
2007-05-30,33520.0,5.36,5.45,5.4,5.15
2007-05-31,8946.0,5.36,5.38,5.38,5.36
