date,5. volume,4. close,2. high,1. open,3. low
2007-11-01,893000.0,1.4,1.65,1.4,1.4
2007-11-02,100000.0,1.65,1.65,1.4,1.4
2007-11-05,0.0,1.65,1.65,1.65,1.65
2007-11-06,0.0,1.65,1.65,1.65,1.65
2007-11-07,600.0,2.25,2.25,2.25,2.25
2007-11-08,315100.0,2.28,2.3,2.25,1.4
2007-11-09,19400.0,2.46,2.46,2.3,2.3
2007-11-12,120500.0,2.7,2.7,2.47,2.4
2007-11-13,168500.0,2.92,2.92,2.7,2.55
2007-11-14,166500.0,3.67,3.67,3.0,2.95
2007-11-15,29200.0,3.25,3.67,3.67,3.15
2007-11-16,200.0,3.25,3.25,3.25,3.25
2007-11-19,33400.0,3.0,3.35,3.15,3.0
2007-11-20,1100.0,2.75,3.0,3.0,2.75
2007-11-21,1100.0,2.75,3.0,3.0,2.75
2007-11-23,500.0,2.9,2.9,2.9,2.9
2007-11-26,6700.0,3.0,3.0,3.0,2.9
2007-11-27,1000.0,2.75,2.75,2.75,2.75
2007-11-28,300.0,3.0,3.15,3.15,3.0
2007-11-29,56000.0,3.0,3.15,2.9,2.9
2007-11-30,116600.0,3.26,3.35,3.01,3.0
2007-12-03,59500.0,3.18,3.5,3.27,3.15
2007-12-04,15200.0,3.2,3.25,3.25,3.19
2007-12-05,32100.0,3.15,3.18,3.18,3.15
2007-12-06,44500.0,3.15,3.18,3.18,3.15
2007-12-07,119800.0,3.75,3.82,3.18,3.18
2007-12-10,72400.0,3.9,3.9,3.66,3.55
2007-12-11,42900.0,3.8,3.9,3.9,3.6
2007-12-12,500.0,3.65,3.65,3.65,3.65
2007-12-13,3500.0,3.75,3.89,3.89,3.75
2007-12-14,14300.0,3.5,3.75,3.65,3.46
2007-12-17,11000.0,3.45,3.6,3.6,3.45
2007-12-18,21900.0,3.57,3.57,3.55,3.55
2007-12-19,10000.0,3.5,3.55,3.55,3.35
2007-12-20,3700.0,3.4,3.45,3.45,3.4
2007-12-21,5400.0,3.4,3.4,3.4,3.39
2007-12-24,3700.0,3.32,3.37,3.37,3.32
2007-12-26,3900.0,3.4,3.4,3.4,3.35
2007-12-27,33000.0,3.4,3.4,3.4,3.36
2007-12-28,26900.0,3.75,3.75,3.5,3.5
2007-12-31,5000.0,3.75,3.75,3.75,3.55
2008-01-02,43200.0,3.42,3.65,3.65,3.39
2008-01-03,189200.0,3.5,3.53,3.45,3.44
2008-01-04,55300.0,3.53,3.53,3.51,3.51
2008-01-07,56500.0,3.55,3.6,3.52,3.52
