date,5. volume,4. close,2. high,1. open,3. low
2016-09-21,6343768.0,30.1,30.4,28.75,27.8
2016-09-22,2272804.0,28.9,31.6999,31.0,28.41
2016-09-23,1058708.0,27.66,28.9,28.85,26.84
2016-09-26,306080.0,27.77,28.4202,27.1,27.0
2016-09-27,1015766.0,29.98,30.8483,28.33,27.34
2016-09-28,2056476.0,33.39,33.4,30.73,30.02
2016-09-29,1703342.0,28.99,33.195,32.6,28.8
2016-09-30,949302.0,29.21,30.95,29.35,29.19
2016-10-03,1080413.0,26.38,29.3166,29.12,26.19
2016-10-04,1338126.0,23.83,27.25,26.39,23.63
2016-10-05,963448.0,24.78,25.2,24.42,23.5
2016-10-06,855796.0,26.08,26.94,25.12,24.6132
2016-10-07,448552.0,26.26,26.49,25.28,25.02
2016-10-10,364534.0,25.28,26.3704,25.77,25.1011
2016-10-11,539425.0,25.52,25.9253,25.06,23.5
2016-10-12,332247.0,26.9,26.96,25.32,25.32
2016-10-13,245656.0,25.97,26.73,26.4,25.5
2016-10-14,222913.0,26.36,27.2399,26.11,26.05
2016-10-17,337580.0,26.27,27.25,27.02,26.14
2016-10-18,171606.0,25.88,26.5079,26.27,25.81
2016-10-19,111748.0,25.46,26.22,25.75,25.251
2016-10-20,104106.0,26.49,26.66,25.1,25.05
2016-10-21,235937.0,27.48,27.5,26.51,26.24
2016-10-24,273145.0,28.52,28.7,27.38,27.05
2016-10-25,280540.0,28.8,29.47,28.61,28.5682
2016-10-26,182483.0,28.18,29.09,28.95,27.89
2016-10-27,367647.0,25.52,28.5969,28.16,25.44
2016-10-28,168531.0,25.61,26.755,25.75,25.5
2016-10-31,176465.0,25.18,26.01,26.01,24.17
2016-11-01,88910.0,25.24,25.7,25.44,25.0
2016-11-02,182532.0,24.43,26.0,25.02,24.2
2016-11-03,402233.0,22.9,24.5122,24.26,22.01
2016-11-04,153741.0,23.87,24.1891,22.93,22.79
2016-11-07,206824.0,22.9,24.34,24.16,22.275
2016-11-08,577393.0,22.8,24.3,24.26,22.5501
2016-11-09,557268.0,22.95,23.5,22.15,22.0
2016-11-10,562211.0,23.43,24.34,23.9,23.185
2016-11-11,1126418.0,25.45,26.49,25.01,24.02
2016-11-14,695161.0,25.77,27.35,25.57,25.5
2016-11-15,544098.0,25.25,26.12,25.84,25.03
2016-11-16,468557.0,25.36,25.97,25.0,24.8001
2016-11-17,608123.0,25.93,26.4599,25.57,25.41
2016-11-18,825895.0,29.1,29.25,25.97,25.97
2016-11-21,748259.0,29.33,30.48,28.86,28.0
2016-11-22,383255.0,28.73,29.6,29.4,28.32
2016-11-23,527469.0,30.19,30.5,28.71,28.19
2016-11-25,257555.0,29.08,30.48,29.99,28.66
2016-11-28,905661.0,26.7,29.28,29.28,25.7101
2016-11-29,460269.0,27.12,27.78,26.65,25.5
2016-11-30,313733.0,26.58,27.838,26.94,25.8153
2016-12-01,486177.0,26.08,27.0,26.4,25.48
2016-12-02,305498.0,26.2,26.48,25.87,25.62
2016-12-05,279537.0,26.62,27.21,26.2,26.0911
2016-12-06,503285.0,28.1,28.41,26.61,26.08
2016-12-07,208217.0,27.58,28.525,28.12,27.46
2016-12-08,166374.0,27.41,28.6388,27.53,27.0
2016-12-09,362483.0,27.47,28.43,27.56,27.06
2016-12-12,497813.0,29.36,29.55,28.64,28.1
2016-12-13,563199.0,29.29,30.38,29.4,28.67
2016-12-14,502970.0,28.0,29.55,29.12,27.93
2016-12-15,431446.0,29.52,29.65,28.1,28.04
2016-12-16,1176428.0,29.23,29.97,29.69,28.64
2016-12-19,326943.0,29.22,29.9,29.36,28.76
2016-12-20,531140.0,31.1,31.43,29.39,28.93
2016-12-21,347521.0,30.36,31.22,31.22,29.84
2016-12-22,271246.0,30.32,30.915,30.2,29.5
2016-12-23,106405.0,30.15,30.74,30.46,29.55
2016-12-27,170939.0,29.94,30.63,30.46,29.6
2016-12-28,233398.0,28.49,30.225,29.85,28.44
2016-12-29,206963.0,28.38,29.12,28.6,28.12
2016-12-30,285022.0,27.67,28.73,28.35,26.93
2017-01-03,442968.0,26.93,28.76,28.05,26.45
2017-01-04,426168.0,27.1,28.65,27.01,26.4
2017-01-05,161518.0,27.45,27.71,26.9,26.52
2017-01-06,236911.0,27.7,27.9,27.51,26.9
2017-01-09,249184.0,28.44,28.94,27.56,27.33
2017-01-10,309803.0,28.86,29.0,28.42,27.75
2017-01-11,255602.0,29.75,30.1,28.79,28.29
2017-01-12,144252.0,29.37,29.74,29.63,28.5369
2017-01-13,162761.0,29.35,30.5,29.42,29.2
2017-01-17,70239.0,28.99,29.52,29.22,28.87
2017-01-18,129753.0,29.01,29.51,29.11,28.58
2017-01-19,99161.0,29.0,29.22,28.63,28.6
2017-01-20,80991.0,29.26,29.6,28.98,28.98
2017-01-23,74900.0,29.79,29.92,29.29,29.17
2017-01-24,154705.0,29.65,30.04,29.97,29.3
2017-01-25,251269.0,30.41,31.25,29.92,29.8
2017-01-26,153163.0,30.78,31.1,30.39,30.2201
2017-01-27,133750.0,30.83,31.0571,30.69,30.46
2017-01-30,309606.0,29.75,30.8953,30.7,29.3
2017-01-31,338680.0,29.66,30.1199,29.64,29.12
2017-02-01,255799.0,29.59,30.08,29.97,28.9
2017-02-02,77729.0,29.02,29.5,29.38,28.91
2017-02-03,228881.0,28.92,29.23,29.23,28.44
2017-02-06,84821.0,28.8,28.99,28.74,28.28
2017-02-07,121702.0,28.55,29.46,29.46,28.11
2017-02-08,63246.0,28.34,29.01,28.43,28.23
2017-02-09,119398.0,29.04,29.11,28.37,28.36
2017-02-10,94722.0,29.05,29.53,29.12,28.91
2017-02-13,208659.0,30.06,30.48,29.16,29.16
2017-02-14,472271.0,30.35,32.19,30.11,29.86
2017-02-15,136387.0,31.67,31.84,30.5,30.5
2017-02-16,556976.0,33.36,33.5,32.13,31.54
2017-02-17,1048617.0,32.41,35.36,34.0,31.89
2017-02-21,489079.0,35.0,35.71,33.36,32.45
2017-02-22,201500.0,34.3,35.49,34.8,33.94
2017-02-23,464326.0,36.39,36.87,36.0,34.855
2017-02-24,487863.0,37.32,38.14,37.43,36.623
2017-02-27,625209.0,36.83,37.48,37.48,35.2
2017-02-28,4408212.0,42.21,42.27,38.11,37.76
2017-03-01,817552.0,43.05,44.0,41.55,41.01
2017-03-02,453062.0,42.44,43.25,42.33,41.71
2017-03-03,656913.0,44.6,45.15,42.69,41.95
2017-03-06,724845.0,42.34,44.5,44.5,40.92
2017-03-07,423984.0,44.08,44.4,42.12,41.37
2017-03-08,263698.0,43.31,44.5,44.21,43.16
2017-03-09,261609.0,44.38,44.38,43.33,42.79
2017-03-10,509680.0,45.79,46.025,44.47,44.0
2017-03-13,366834.0,43.35,46.21,45.79,43.02
2017-03-14,479545.0,41.22,43.99,43.23,41.08
2017-03-15,789468.0,41.55,42.2,41.02,40.41
2017-03-16,459882.0,40.18,42.2,41.84,39.7
2017-03-17,628368.0,39.51,40.2,40.06,38.67
2017-03-20,682043.0,38.1,39.819,38.8,38.0
2017-03-21,1364422.0,37.55,38.75,37.68,36.551
2017-03-22,783951.0,38.64,38.807,37.23,37.05
2017-03-23,472478.0,37.02,38.78,38.41,36.8
2017-03-24,843503.0,36.02,37.39,37.0,35.88
2017-03-27,982100.0,37.22,37.93,35.63,34.79
2017-03-28,538550.0,36.49,37.3,37.26,35.75
2017-03-29,908960.0,37.98,38.33,36.25,36.25
2017-03-30,719867.0,36.73,38.68,37.78,36.42
2017-03-31,825572.0,37.25,37.8,36.85,36.11
2017-04-03,611086.0,37.02,37.67,37.19,36.83
2017-04-04,628953.0,36.33,37.38,37.01,35.39
2017-04-05,641079.0,37.05,37.5,36.5,35.97
2017-04-06,469554.0,37.71,38.3,37.45,37.32
2017-04-07,337915.0,36.99,37.96,37.66,36.9
2017-04-10,233607.0,36.9,37.72,37.11,36.68
2017-04-11,629573.0,37.55,38.14,36.8,36.68
2017-04-12,484050.0,37.21,37.705,37.69,36.95
2017-04-13,378832.0,36.85,37.579,36.98,35.67
2017-04-17,441707.0,36.44,37.44,36.65,35.931
2017-04-18,666208.0,35.19,36.4,36.32,35.04
2017-04-19,416258.0,35.86,36.05,35.32,35.3
2017-04-20,255271.0,36.23,36.715,35.99,35.83
2017-04-21,247401.0,35.98,36.49,36.29,35.65
2017-04-24,453834.0,36.47,37.22,36.37,36.16
2017-04-25,419247.0,36.2,36.9,36.56,35.97
2017-04-26,261221.0,36.33,37.09,36.2,36.2
2017-04-27,570856.0,37.69,38.07,36.4,35.56
2017-04-28,530895.0,37.35,38.44,38.1,36.61
2017-05-01,284682.0,37.59,37.938,37.61,36.87
2017-05-02,640402.0,38.28,39.0,37.76,37.5
2017-05-03,238926.0,38.06,38.77,38.33,37.55
2017-05-04,1211875.0,39.85,40.05,38.06,37.71
2017-05-05,673619.0,40.07,40.28,39.86,38.79
2017-05-08,435021.0,40.39,40.67,40.23,39.5
2017-05-09,659161.0,40.86,41.635,40.3,40.2
2017-05-10,358046.0,40.05,41.077,40.86,39.82
2017-05-11,1256198.0,39.89,40.22,40.09,39.25
2017-05-12,12461358.0,51.9,53.68,47.58,46.6
2017-05-15,3290470.0,53.57,54.5,52.02,51.68
2017-05-16,982509.0,52.2,54.26,54.23,51.91
2017-05-17,1959169.0,47.75,52.53,51.09,47.69
2017-05-18,1702795.0,51.38,51.88,47.9,47.7
2017-05-19,1522317.0,50.07,52.465,52.0,49.63
2017-05-22,1318915.0,52.51,53.147,49.0,48.77
2017-05-23,1243676.0,53.48,54.38,52.75,50.9
2017-05-24,4432139.0,51.5,53.47,52.77,51.5
2017-05-25,1697653.0,51.99,53.05,52.04,51.37
2017-05-26,896414.0,52.24,53.28,52.19,51.52
2017-05-30,1829999.0,53.49,55.17,52.72,51.315
2017-05-31,1868533.0,55.0,55.39,53.99,52.25
2017-06-01,1430272.0,54.96,56.48,55.93,53.45
2017-06-02,1378205.0,56.96,57.395,55.04,54.31
2017-06-05,834324.0,55.69,57.57,57.29,55.44
2017-06-06,811002.0,55.84,56.81,55.39,54.71
2017-06-07,847843.0,54.38,56.55,55.61,53.62
2017-06-08,800426.0,55.44,55.86,55.23,53.88
2017-06-09,2055491.0,51.36,56.459,55.55,50.69
2017-06-12,1317065.0,50.05,51.24,51.01,49.06
2017-06-13,960294.0,50.15,52.0,51.38,49.28
2017-06-14,839486.0,49.24,51.0,50.4,48.82
2017-06-15,1437083.0,48.65,49.76,49.12,47.34
2017-06-16,1612731.0,49.93,50.39,48.7,48.405
2017-06-19,1254212.0,52.07,52.25,51.22,50.2
2017-06-20,916365.0,50.89,52.29,52.29,50.0
2017-06-21,767425.0,52.35,52.5,50.92,50.89
2017-06-22,953554.0,51.85,52.719,52.51,51.3
2017-06-23,2143394.0,54.21,54.3,52.0,51.81
2017-06-26,745824.0,53.08,55.082,54.6,51.99
2017-06-27,734422.0,50.51,53.1,52.75,50.08
2017-06-28,828418.0,52.54,52.74,50.51,50.12
2017-06-29,636210.0,50.84,52.28,52.28,50.07
2017-06-30,399420.0,50.11,51.252,50.9,50.07
2017-07-03,546871.0,49.72,50.63,50.63,48.09
2017-07-05,451889.0,49.88,50.66,50.09,48.874
2017-07-06,816192.0,48.64,50.3391,49.14,48.35
2017-07-07,609494.0,49.9,50.5,48.81,48.22
2017-07-10,407569.0,50.15,50.64,50.07,49.61
2017-07-11,895228.0,51.17,52.605,50.15,49.92
2017-07-12,803966.0,51.51,52.8,51.94,51.45
2017-07-13,612777.0,50.8,52.0,51.79,50.65
2017-07-14,616892.0,51.01,51.46,50.51,50.29
2017-07-17,464657.0,50.39,51.4,51.4,50.06
2017-07-18,546957.0,49.89,50.39,50.18,49.28
2017-07-19,2335425.0,54.69,55.36,50.1,50.05
2017-07-20,1209006.0,54.52,55.75,55.0,53.26
2017-07-21,1248275.0,52.33,54.99,54.7,51.9
2017-07-24,847088.0,54.11,54.5,52.03,52.01
2017-07-25,1929463.0,55.68,57.07,53.87,53.41
2017-07-26,761975.0,54.97,56.7,56.0,54.58
2017-07-27,1763226.0,53.1,57.87,55.57,51.1
2017-07-28,719347.0,53.41,53.9,52.79,52.2
2017-07-31,488117.0,53.31,54.87,54.33,52.445
2017-08-01,515497.0,53.42,53.889,53.49,52.75
2017-08-02,413258.0,53.01,54.37,53.73,52.53
2017-08-03,496735.0,54.48,55.137,52.83,52.698
2017-08-04,401412.0,53.39,54.72,54.45,53.26
2017-08-07,858605.0,55.51,56.82,53.86,53.31
2017-08-08,859530.0,54.52,56.6,55.7,54.22
2017-08-09,935447.0,53.99,54.83,54.15,53.304
2017-08-10,2246651.0,50.06,54.44,54.07,49.3
2017-08-11,3902404.0,54.45,56.58,55.56,50.55
2017-08-14,1718610.0,53.64,56.28,55.5,52.35
2017-08-15,2014484.0,51.02,53.75,53.45,49.8
2017-08-16,1187130.0,50.57,51.73,50.72,50.12
2017-08-17,1761129.0,48.37,51.9,50.3,47.69
2017-08-18,1372148.0,49.51,50.26,48.37,46.49
2017-08-21,808338.0,50.02,50.2,49.31,48.03
2017-08-22,736532.0,50.28,50.63,50.03,49.02
2017-08-23,456641.0,49.99,50.22,49.37,49.25
2017-08-24,885308.0,51.0,51.88,50.49,50.06
2017-08-25,1054567.0,51.04,51.68,51.38,50.303
2017-08-28,586536.0,51.4,51.58,51.29,50.24
2017-08-29,756477.0,51.75,52.19,50.5,50.5
2017-08-30,609585.0,53.0,53.33,51.76,51.75
2017-08-31,478386.0,52.97,53.98,53.33,52.554
2017-09-01,791213.0,53.69,54.39,53.06,52.6
2017-09-05,772981.0,53.51,53.63,53.15,51.6
2017-09-06,843088.0,54.85,54.98,53.57,53.57
2017-09-07,1083747.0,57.08,57.57,54.99,54.865
2017-09-08,1370290.0,56.23,59.2,57.06,55.79
2017-09-11,1677629.0,60.57,60.89,56.95,55.35
2017-09-12,1337154.0,61.68,62.86,61.9,60.1
2017-09-13,865210.0,60.12,62.55,61.76,59.95
2017-09-14,813915.0,59.7,60.589,59.99,59.01
2017-09-15,1310692.0,59.88,60.798,59.7,59.14
2017-09-18,644102.0,60.09,61.18,60.39,59.36
2017-09-19,1214692.0,61.72,62.04,60.14,59.76
2017-09-20,1443512.0,59.81,62.675,62.03,58.5
2017-09-21,925600.0,59.54,61.7,60.02,58.31
2017-09-22,494955.0,59.8,60.145,58.92,58.76
2017-09-25,1078507.0,56.36,59.8,59.73,55.61
2017-09-26,806411.0,56.01,58.2,56.96,55.666
2017-09-27,663371.0,57.79,58.63,56.44,56.25
2017-09-28,418535.0,58.32,58.77,57.3,56.901
2017-09-29,1133741.0,61.51,61.72,58.32,58.32
2017-10-02,730777.0,59.56,62.396,62.01,59.42
2017-10-03,853917.0,60.53,60.54,59.99,59.2
2017-10-04,788978.0,60.14,61.92,60.38,59.1
2017-10-05,930925.0,60.96,61.17,60.61,58.57
2017-10-06,1612285.0,64.28,65.24,60.35,60.03
2017-10-09,1048588.0,64.18,66.42,65.0,64.18
2017-10-10,488339.0,64.12,65.21,64.51,63.96
2017-10-11,397052.0,64.86,65.25,64.1,63.76
2017-10-12,676113.0,65.31,66.48,64.85,64.26
2017-10-13,634966.0,66.51,67.3,66.5,65.54
2017-10-16,1055765.0,64.53,66.889,66.82,63.02
2017-10-17,493376.0,63.89,64.9,64.29,63.32
2017-10-18,361314.0,64.07,64.41,63.17,63.1
2017-10-19,576393.0,63.24,63.36,63.0,61.51
2017-10-20,978872.0,63.62,64.64,63.91,62.66
2017-10-23,656805.0,63.46,64.8,64.76,63.32
2017-10-24,517910.0,63.31,64.35,64.35,63.111
2017-10-25,502831.0,62.57,64.78,63.42,61.69
2017-10-26,489880.0,62.68,64.48,63.09,62.11
2017-10-27,507947.0,63.97,64.13,63.01,62.36
2017-10-30,379666.0,64.2,64.8,64.4,62.91
2017-10-31,641675.0,65.92,66.78,64.64,64.2
2017-11-01,714005.0,65.07,66.66,66.34,63.38
2017-11-02,590049.0,64.06,64.76,64.76,62.98
2017-11-03,770608.0,64.62,64.91,64.28,62.81
2017-11-06,746581.0,65.38,65.58,65.18,64.0
2017-11-07,660713.0,64.66,65.66,65.38,64.05
2017-11-08,1656631.0,61.65,64.77,64.4,60.17
2017-11-09,2399964.0,59.28,61.02,60.5,56.865
2017-11-10,9841275.0,50.995,53.47,51.35,49.251
2017-11-13,4906944.0,48.405,51.37,51.07,46.84
2017-11-14,2064809.0,47.05,49.309,48.21,46.32
2017-11-15,1824483.0,48.24,48.25,46.07,45.13
2017-11-16,1554661.0,48.9,50.14,48.5,48.057
2017-11-17,1087152.0,50.01,50.33,49.16,48.89
2017-11-20,1057230.0,50.4,51.05,50.2,49.82
2017-11-21,1003805.0,51.92,52.2,50.75,50.48
2017-11-22,724402.0,51.12,52.31,52.11,51.01
2017-11-24,377705.0,51.19,51.51,51.07,50.21
2017-11-27,879790.0,49.89,51.26,51.15,49.75
2017-11-28,893635.0,50.14,50.36,49.91,48.563
2017-11-29,1144920.0,48.41,50.0,49.64,46.81
2017-11-30,1083686.0,49.14,49.24,48.34,47.628
2017-12-01,793886.0,48.0,49.4189,48.39,46.41
2017-12-04,1697810.0,45.25,49.0,48.58,44.96
2017-12-05,956871.0,45.07,46.5,45.0,44.81
2017-12-06,1060366.0,44.18,44.99,44.74,43.44
2017-12-07,1182028.0,45.34,45.53,44.05,43.8
2017-12-08,891171.0,45.25,46.45,45.63,44.8166
2017-12-11,1572795.0,48.3,49.29,46.99,46.82
2017-12-12,846259.0,46.86,49.07,48.15,46.79
2017-12-13,887025.0,49.0,49.098,47.0,46.86
2017-12-14,887566.0,48.97,49.49,49.05,47.93
2017-12-15,894190.0,49.25,49.91,49.07,48.35
2017-12-18,803756.0,49.8,50.32,49.67,49.08
2017-12-19,547967.0,48.94,50.38,49.75,48.36
2017-12-20,559451.0,49.59,50.9,49.79,49.18
2017-12-21,1837701.0,46.16,49.86,49.86,45.99
2017-12-22,886564.0,46.22,47.19,46.39,45.57
2017-12-26,391063.0,46.48,46.49,46.21,45.29
2017-12-27,570192.0,47.01,47.639,46.3,46.02
2017-12-28,595167.0,46.42,47.14,46.95,46.07
2017-12-29,774299.0,45.73,46.5,46.27,45.58
2018-01-02,690155.0,46.41,46.71,45.69,45.45
2018-01-03,821804.0,47.91,48.66,46.41,45.9
2018-01-04,564732.0,47.65,48.59,48.43,47.152
2018-01-05,584130.0,48.35,48.89,48.1,47.5
2018-01-08,573199.0,47.87,48.78,48.5,47.19
2018-01-09,443454.0,47.42,48.75,48.01,47.29
2018-01-10,573595.0,47.9,48.459,47.67,46.73
2018-01-11,877607.0,48.96,49.82,48.19,47.39
2018-01-12,848838.0,49.13,49.99,48.99,48.12
2018-01-16,906052.0,48.33,50.0,49.65,48.18
2018-01-17,517165.0,49.48,49.66,48.77,48.45
2018-01-18,864936.0,48.36,50.25,49.5,48.25
2018-01-19,1490470.0,47.36,49.869,49.18,46.9
2018-01-22,714513.0,48.65,48.89,47.57,46.92
2018-01-23,576519.0,49.4,49.79,48.77,48.019
2018-01-24,876960.0,48.8,50.47,49.75,48.17
2018-01-25,475849.0,49.48,49.79,49.16,48.71
2018-01-26,897033.0,51.24,51.949,49.83,49.55
2018-01-29,613856.0,50.55,51.49,51.44,49.5
2018-01-30,717350.0,48.69,50.0,49.59,48.47
2018-01-31,775239.0,48.48,49.365,49.11,47.62
2018-02-01,2368000.0,45.83,48.185,47.86,43.43
2018-02-02,1699344.0,46.76,47.365,45.97,45.22
2018-02-05,830944.0,45.1,46.96,45.84,45.0
2018-02-06,1159554.0,45.47,45.93,44.04,43.55
2018-02-07,1157767.0,44.2,45.6119,45.2,44.17
2018-02-08,584437.0,43.34,44.99,44.51,43.03
2018-02-09,970349.0,42.8,44.17,43.64,40.7
2018-02-12,776245.0,43.88,44.33,43.85,42.09
2018-02-13,714422.0,45.22,45.36,43.76,43.62
2018-02-14,1144488.0,47.21,47.905,44.98,44.36
2018-02-15,551828.0,48.31,48.44,47.39,46.92
2018-02-16,495011.0,48.41,49.11,48.18,47.71
2018-02-20,963481.0,50.2,50.39,48.0,48.0
2018-02-21,997066.0,49.81,51.74,50.26,49.64
2018-02-22,1880932.0,48.4,50.94,49.97,48.0
2018-02-23,6229493.0,59.94,60.19,54.75,54.6907
2018-02-26,2158816.0,57.37,60.93,59.9,56.38
2018-02-27,1197407.0,55.56,57.58,56.87,55.545
2018-02-28,1004591.0,56.26,56.944,55.77,55.05
2018-03-01,1220244.0,54.32,56.4509,55.82,53.23
2018-03-02,1365784.0,56.91,57.11,54.0,53.15
2018-03-05,1052602.0,58.24,58.8,56.92,56.65
2018-03-06,624653.0,57.99,58.95,58.16,57.13
2018-03-07,595093.0,58.69,59.12,57.01,57.0
2018-03-08,631580.0,57.92,59.9,59.27,57.61
2018-03-09,558057.0,58.86,59.11,58.49,58.1
2018-03-12,498237.0,59.53,59.91,59.0,58.67
2018-03-13,556080.0,57.95,59.9,59.9,57.7
2018-03-14,823221.0,58.57,59.9,58.01,57.73
2018-03-15,557825.0,58.39,59.3,59.0,57.81
2018-03-16,769122.0,57.91,58.58,58.28,57.32
2018-03-19,962365.0,55.6,58.26,57.66,55.01
2018-03-20,738071.0,57.0,57.27,55.6,55.53
2018-03-21,490489.0,56.51,57.45,56.73,55.65
2018-03-22,632680.0,54.52,56.69,55.64,54.48
2018-03-23,656613.0,53.34,55.2501,54.65,53.3
2018-03-26,591882.0,55.22,55.33,54.25,54.09
2018-03-27,1010999.0,52.24,56.23,55.58,51.62
2018-03-28,1118888.0,50.96,52.51,52.07,50.36
