date,5. volume,4. close,2. high,1. open,3. low
2000-07-14,648500.0,115.0,121.5,118.7,112.3
2000-07-17,523500.0,120.3,122.0,119.0,117.2
2000-07-18,391900.0,122.6,126.9,120.1,119.5
2000-07-19,218400.0,115.8,123.4,123.1,115.1
2000-07-20,466300.0,118.5,120.8,116.8,114.0
2000-07-21,593500.0,120.2,126.9,119.1,117.9
2000-07-24,456000.0,115.2,122.8,121.3,107.4
2000-07-25,429700.0,109.9,116.8,115.9,108.6
2000-07-26,606400.0,108.0,110.9,108.1,101.5
2000-07-27,324200.0,106.9,109.0,109.0,104.0
2000-07-28,193500.0,98.88,106.0,105.5,98.5
2000-07-31,172100.0,97.94,100.6,100.1,93.75
2000-08-01,679900.0,105.2,108.7,97.47,94.5
2000-08-02,236700.0,100.5,113.0,106.3,100.0
2000-08-03,463900.0,103.6,105.5,96.88,92.0
2000-08-04,550000.0,117.3,119.0,107.8,107.1
2000-08-07,808900.0,120.7,121.3,120.0,114.0
2000-08-08,376300.0,119.8,123.0,119.8,117.4
2000-08-09,456700.0,123.8,125.9,120.5,119.5
2000-08-10,406300.0,114.0,123.9,122.0,110.3
2000-08-11,527100.0,122.0,125.0,113.1,113.1
2000-08-14,467600.0,123.6,125.0,122.3,120.8
2000-08-15,303600.0,124.1,124.5,123.8,119.5
2000-08-16,757000.0,128.5,129.4,123.3,123.1
2000-08-17,816000.0,138.0,139.8,128.8,128.0
2000-08-18,789800.0,143.2,147.1,138.0,137.0
2000-08-21,637300.0,135.3,143.5,142.5,131.1
2000-08-22,732500.0,139.9,140.1,135.9,133.0
2000-08-23,1200000.0,145.1,150.3,137.8,136.0
2000-08-24,2092200.0,78.38,78.56,71.63,70.0
2000-08-25,1020100.0,79.56,84.44,77.94,77.0
2000-08-28,1279300.0,77.0,80.5,80.38,75.13
2000-08-29,717200.0,76.25,80.75,76.38,75.0
2000-08-30,468100.0,79.5,80.31,75.88,75.5
2000-08-31,1050200.0,85.0,86.38,84.75,81.52
2000-09-01,918700.0,86.0,89.0,89.0,83.13
2000-09-05,765200.0,81.88,88.94,88.88,80.5
2000-09-06,1390800.0,79.0,82.0,82.0,76.0
2000-09-07,512000.0,85.75,86.13,79.75,79.63
2000-09-08,1253900.0,86.19,89.0,87.13,83.25
2000-09-11,1022200.0,74.11,83.44,83.25,73.5
2000-09-12,2181600.0,77.88,78.5,77.75,75.5
2000-09-13,3575500.0,75.75,76.56,76.38,73.5
2000-09-14,2854200.0,76.88,78.25,77.31,75.88
2000-09-15,1197900.0,80.38,80.5,78.72,77.25
2000-09-18,1288900.0,79.81,82.5,79.88,77.63
2000-09-19,629700.0,82.88,83.38,80.0,79.75
2000-09-20,1056300.0,86.31,87.0,82.75,82.25
2000-09-21,701500.0,85.19,86.0,84.06,84.0
2000-09-22,1050700.0,88.81,89.0,82.0,80.0
2000-09-25,1307600.0,85.88,90.0,89.38,85.13
2000-09-26,992400.0,84.38,87.13,86.44,80.56
2000-09-27,893100.0,87.25,88.0,85.31,85.13
2000-09-28,1682300.0,93.25,96.0,87.0,86.19
2000-09-29,1096300.0,84.5,94.19,91.69,84.5
2000-10-02,787600.0,82.0,88.5,87.38,80.13
2000-10-03,938700.0,75.5,85.63,82.88,75.38
2000-10-04,1608600.0,76.94,77.0,74.5,68.5
2000-10-05,935500.0,72.0,80.56,78.25,69.5
2000-10-06,1769200.0,66.13,74.0,73.0,63.5
2000-10-09,1136800.0,73.0,73.44,65.5,64.0
2000-10-10,1204000.0,72.31,74.06,73.94,70.19
2000-10-11,919500.0,74.5,75.13,71.75,69.38
2000-10-12,938700.0,66.88,76.75,75.75,64.81
2000-10-13,1169400.0,70.25,70.25,65.81,63.0
2000-10-16,837100.0,74.0,76.5,71.75,70.5
2000-10-17,1219200.0,78.88,79.88,74.63,74.56
2000-10-18,1445500.0,80.38,85.19,76.13,72.5
2000-10-19,773100.0,80.0,83.38,81.88,77.56
2000-10-20,555700.0,79.75,82.5,79.69,73.0
2000-10-23,1811700.0,92.94,93.63,81.0,80.5
2000-10-24,1871200.0,92.94,96.81,92.56,91.13
2000-10-25,1333000.0,96.06,97.13,89.0,87.0
2000-10-26,1304200.0,94.94,98.88,96.63,89.63
2000-10-27,886100.0,91.0,96.0,94.25,83.75
2000-10-30,729500.0,90.5,91.25,90.13,86.44
2000-10-31,7193400.0,93.11,96.38,90.69,89.0
2000-11-01,1662200.0,94.81,99.25,92.69,91.5
2000-11-02,1414300.0,97.25,98.5,95.5,95.38
2000-11-03,1043800.0,93.88,98.75,97.25,93.75
2000-11-06,968000.0,91.69,95.25,93.88,91.0
2000-11-07,1177600.0,96.86,98.5,91.0,89.75
2000-11-08,502600.0,93.25,98.88,96.88,92.0
2000-11-09,961600.0,91.0,93.38,92.5,88.5
2000-11-10,679900.0,88.81,90.13,86.63,86.0
2000-11-13,2323700.0,71.19,82.06,79.5,68.56
2000-11-14,1991000.0,73.25,78.0,77.95,71.0
2000-11-15,1734600.0,73.63,77.5,74.44,72.13
2000-11-16,1330100.0,67.75,72.63,72.56,67.13
2000-11-17,1744900.0,63.13,68.5,68.38,59.0
2000-11-20,1747100.0,55.0,62.69,61.88,51.5
2000-11-21,1224000.0,55.63,57.81,56.31,53.81
2000-11-22,1656100.0,55.0,59.19,52.69,52.63
2000-11-24,618900.0,64.94,65.25,59.5,57.25
2000-11-27,1656300.0,73.63,74.63,69.09,68.63
2000-11-28,1662500.0,62.63,72.5,71.81,62.0
2000-11-29,831100.0,61.25,66.25,65.5,60.25
2000-11-30,1204600.0,55.88,61.48,57.88,55.63
2000-12-01,2033900.0,65.69,70.31,59.13,58.63
2000-12-04,733600.0,61.94,64.63,64.38,58.13
2000-12-05,1627200.0,70.06,70.63,64.75,64.38
2000-12-06,1096900.0,70.69,73.5,70.13,68.0
2000-12-07,989800.0,70.13,72.5,69.88,67.0
2000-12-08,1776600.0,78.45,79.0,73.0,72.38
2000-12-11,1097700.0,81.81,84.5,78.25,78.13
2000-12-12,1411200.0,75.19,81.69,81.63,72.75
2000-12-13,1262900.0,75.81,77.63,75.75,72.81
2000-12-14,791500.0,75.13,77.63,74.31,73.06
2000-12-15,1028700.0,74.75,75.25,74.63,70.06
2000-12-18,884600.0,81.19,81.44,75.91,75.63
2000-12-19,1029400.0,80.0,83.25,80.75,78.63
2000-12-20,1371400.0,73.0,76.63,73.38,71.75
2000-12-21,1878600.0,64.44,73.5,67.75,63.0
2000-12-22,935400.0,71.94,74.38,66.25,66.25
2000-12-26,501100.0,71.94,71.94,71.94,71.94
2000-12-27,523200.0,70.56,70.75,69.0,67.13
2000-12-28,793500.0,70.75,75.0,71.5,67.25
2000-12-29,1021900.0,71.5,77.13,70.94,68.5
2001-01-02,1281200.0,63.13,72.56,71.0,62.13
2001-01-03,2616600.0,62.63,70.13,56.25,56.0
2001-01-04,1410400.0,59.88,65.5,63.0,58.56
2001-01-05,2136400.0,54.44,60.75,60.13,52.38
2001-01-08,3299600.0,47.0,50.75,50.5,45.25
2001-01-09,2120500.0,48.0,48.88,46.88,45.19
2001-01-10,1505700.0,53.38,55.75,46.88,46.5
2001-01-11,1255500.0,55.13,56.88,53.75,51.5
2001-01-12,1337200.0,58.5,60.5,55.88,53.5
2001-01-16,939100.0,57.88,59.75,59.47,57.0
2001-01-17,1732300.0,54.88,62.25,59.38,53.88
2001-01-18,694000.0,57.02,57.5,54.75,53.75
2001-01-19,698300.0,57.38,61.56,61.56,53.94
2001-01-22,1103400.0,60.81,62.0,56.81,56.75
2001-01-23,1609700.0,69.0,69.31,60.31,60.31
2001-01-24,1565100.0,70.13,75.17,68.25,68.19
2001-01-25,680600.0,68.75,71.06,69.94,66.31
2001-01-26,582800.0,71.75,72.44,66.81,66.25
2001-01-29,465400.0,74.19,74.75,72.06,69.88
2001-01-30,620000.0,68.11,74.63,73.81,67.75
2001-01-31,647700.0,67.31,71.88,69.5,67.25
2001-02-01,636300.0,63.44,67.94,67.0,62.81
2001-02-02,648600.0,59.88,63.88,63.13,59.88
2001-02-05,513800.0,61.13,61.63,59.88,58.64
2001-02-06,1046700.0,66.75,69.0,62.31,62.25
2001-02-07,723300.0,62.88,67.06,66.88,62.27
2001-02-08,786900.0,65.44,65.75,64.06,62.63
2001-02-09,396800.0,63.55,64.88,64.88,61.19
2001-02-12,492000.0,68.06,68.25,62.81,61.88
2001-02-13,614600.0,60.88,69.25,68.0,60.25
2001-02-14,858700.0,62.94,63.5,60.63,58.38
2001-02-15,404100.0,63.31,64.69,63.38,60.25
2001-02-16,1337900.0,58.81,61.0,58.88,56.0
2001-02-20,1090900.0,54.88,59.38,59.13,52.69
2001-02-21,1039900.0,54.63,56.25,51.0,50.63
2001-02-22,1576600.0,47.75,54.5,54.31,45.5
2001-02-23,2268300.0,48.94,49.13,46.06,44.75
2001-02-26,1720900.0,56.13,56.75,50.63,49.75
2001-02-27,879900.0,49.81,56.25,55.0,49.5
2001-02-28,1049100.0,49.75,54.13,49.88,47.19
2001-03-01,906100.0,48.0,49.88,49.13,45.64
2001-03-02,508800.0,47.06,49.5,46.81,45.5
2001-03-05,535000.0,46.0,49.19,47.06,45.13
2001-03-06,1041100.0,45.13,48.56,48.56,43.19
2001-03-07,1137800.0,42.94,45.0,44.81,41.19
2001-03-08,793000.0,39.81,42.38,42.13,38.75
2001-03-09,1262300.0,36.5,41.0,38.0,36.25
2001-03-12,1255900.0,32.0,36.13,35.06,31.88
2001-03-13,1421700.0,35.75,36.19,32.25,32.13
2001-03-14,957000.0,34.63,36.73,31.75,31.75
2001-03-15,1172600.0,33.75,35.63,35.38,31.64
2001-03-16,1180900.0,31.63,34.5,33.56,30.88
2001-03-19,1130100.0,34.31,34.63,31.69,31.13
2001-03-20,1045700.0,32.06,35.44,34.5,31.75
2001-03-21,1529400.0,29.94,32.13,31.5,29.25
2001-03-22,2267900.0,29.19,29.5,29.13,25.63
2001-03-23,1595300.0,31.13,32.88,29.69,28.38
2001-03-26,1355800.0,34.88,35.8,32.63,32.13
2001-03-27,802300.0,34.63,35.13,34.19,32.5
2001-03-28,439300.0,33.38,34.5,33.56,32.13
2001-03-29,1424300.0,34.7,37.38,33.19,32.63
2001-03-30,936400.0,36.63,38.0,36.0,35.31
2001-04-02,679900.0,33.25,36.88,36.69,32.06
2001-04-03,1110300.0,31.56,33.88,31.19,29.75
2001-04-04,815400.0,31.0,32.94,32.0,30.0
2001-04-05,1059500.0,35.19,35.75,32.31,31.88
2001-04-06,917100.0,35.81,37.75,34.81,33.25
2001-04-09,498100.0,37.3,37.73,36.0,35.62
2001-04-10,1093800.0,40.49,40.7,37.73,37.72
2001-04-11,1051000.0,39.52,42.06,41.38,38.8
2001-04-12,447600.0,43.61,43.97,39.98,38.98
2001-04-16,978900.0,39.83,43.6,43.35,39.82
2001-04-17,668900.0,42.15,42.63,39.0,38.02
2001-04-18,1447000.0,44.99,46.0,43.56,42.62
2001-04-19,804600.0,44.7,45.81,44.57,43.04
2001-04-20,837000.0,41.73,44.71,44.62,41.24
2001-04-23,531800.0,39.49,41.65,41.62,38.95
2001-04-24,930200.0,36.84,41.39,39.89,36.26
2001-04-25,1221600.0,38.75,39.82,37.57,36.0
2001-04-26,1120900.0,39.76,40.25,39.44,37.05
